Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WELL
2018-09-24,-0.36760893331250977,-0.7134155864438544,-0.0,-0.5993128221146338,-0.4432297360612213,0.0,1.0
2018-09-25,-0.36506937671082024,-0.722681936884498,-0.0,-0.6063933549381745,-0.45215995972689804,0.0,1.0
2018-09-26,-0.3678772797429679,-0.7258638611522349,-0.0,-0.6072384792263836,-0.4489243078086119,0.0,1.0
2018-09-27,-0.3668357641090678,-0.7394102726696259,-0.0,-0.6112238427393786,-0.4530754597336715,0.0,1.0
2018-09-28,-0.3661467250015852,-0.7399657599391288,-0.0,-0.6110899752710672,-0.45320525014266694,0.0,1.0
2018-10-01,-0.36663266607165623,-0.7488206043605763,-0.0,-0.6142419992349867,-0.45786051255896976,0.0,1.0
2018-10-02,-0.36557214566614443,-0.7634044185823449,-0.0,-0.6123349426095853,-0.45592607986699496,0.0,1.0
2018-10-03,-0.3650945807770961,-0.7593622188139059,-0.0,-0.6130495910020449,-0.4577901329243354,0.0,1.0
2018-10-04,-0.3756787148594377,-0.7536706827309236,-0.0,-0.6282409638554216,-0.45526104417670676,0.0,1.0
2018-10-05,-0.3562736181387306,-0.744251585217447,-0.0,-0.6369691923397169,-0.4649650931915712,0.0,1.0
2018-10-08,-0.35295621604346433,-0.7401725790987536,-0.0,-0.6393416426973474,-0.4634387983381272,0.0,1.0
2018-10-09,-0.3463672814755413,-0.7431275060144346,-0.0,-0.6457097032878909,-0.47249398556535677,0.0,1.0
2018-10-10,-0.3514964477448806,-0.7436589835085351,-0.0,-0.6503359372488507,-0.4692191468158292,0.0,1.0
2018-10-11,-0.2746026799626052,-0.7339358055468993,-0.0,-0.628762854471798,-0.47893424742910556,0.0,1.0
2018-10-12,-0.27054455445544556,-0.7304764851485148,-0.0,-0.623391089108911,-0.4696472772277228,0.0,1.0
2018-10-15,-0.24579384434908777,-0.7530330626987313,-0.0,-0.6188065322754915,-0.46942240607538666,0.0,1.0
2018-10-16,-0.24172430830039526,-0.760066699604743,-0.0,-0.6177742094861659,-0.4684103260869565,0.0,1.0
2018-10-17,-0.22478552156910298,-0.7267105223269773,-0.0,-0.6100585078970504,-0.46994270470185223,0.0,1.0
2018-10-18,-0.22400097022618398,-0.725213752956158,-0.0,-0.6123340003638348,-0.47040810138863626,0.0,1.0
2018-10-19,-0.20671920115495668,-0.7133962945139558,-0.0,-0.6173905197305102,-0.47016361886429253,0.0,1.0
2018-10-22,-0.20719741569302294,-0.701778220571808,-0.0,-0.6289587295836729,-0.481085650454367,0.0,1.0
2018-10-23,-0.20371436361983822,-0.7050019692792439,-0.0,-0.6352591874450875,-0.48568485472778505,0.0,1.0
2018-10-24,-0.20258044930176075,-0.7010321797207042,-0.0,-0.6400121432908318,-0.492167577413479,0.0,1.0
2018-10-25,-0.16163037944356262,-0.668563385343356,-0.0,-0.6882393459315385,-0.47641580066484984,0.0,1.0
2018-10-26,-0.14544325139763956,-0.6545685804715,-0.0,-0.6911290561126394,-0.4668263969000503,0.0,1.0
