Date,IWF,IWM,MTUM,SPY,TMUS,VLUE,VXX
2018-09-24,-0.3671937136130818,-0.6402506919479528,-0.08347914612031941,-0.5544491458021824,1.0,-0.5359653866955111,0.0
2018-09-25,-0.368071235490539,-0.6391159166799173,-0.08510096994752743,-0.5534425186834154,1.0,-0.5344569883924312,0.0
2018-09-26,-0.36942756228720525,-0.6409775034206256,-0.08763165430998822,-0.5531549304737964,1.0,-0.5307856301906005,0.0
2018-09-27,-0.36951956729239577,-0.6405027044225262,-0.08784600699968183,-0.5530384982500796,1.0,-0.5307349665924276,0.0
2018-09-28,-0.37781191001887937,-0.6418994592173051,-0.08716521071325717,-0.5581581389395539,1.0,-0.5348948833637324,0.0
2018-10-01,-0.37895713965622096,-0.640952594347172,-0.08703306552287057,-0.5589769853717871,1.0,-0.5350020805992126,0.0
2018-10-02,-0.3794924312734022,-0.6352929881268601,-0.08928857170288347,-0.5599897590168655,1.0,-0.5362434793740198,0.0
2018-10-03,-0.379456,-0.634528,-0.089408,-0.560064,1.0,-0.536544,0.0
2018-10-04,-0.3856950586425687,-0.6275395757226174,-0.0901429212330962,-0.5687367813881946,1.0,-0.5323976158431071,0.0
2018-10-05,-0.374289364420313,-0.6206962631747046,-0.07761098690514212,-0.5779623123602683,1.0,-0.5433088470137337,0.0
2018-10-08,-0.3728040809819863,-0.6180137095488603,-0.07492427865455126,-0.5799139167862267,1.0,-0.5426111908177906,0.0
2018-10-09,-0.37138848140825304,-0.6186300146693028,-0.07089100070157535,-0.5822756553351617,1.0,-0.5457937368454621,0.0
2018-10-10,-0.37143677061411895,-0.6185192270901091,-0.0707225304508641,-0.582392704546904,1.0,-0.5455009246859257,0.0
2018-10-11,-0.3384352154300824,-0.6136568673199564,-0.024918338777414836,-0.5757038419660911,1.0,-0.5582205630735728,0.0
2018-10-12,-0.3478194008734699,-0.6072461093682722,-0.02155994340899305,-0.5598203850648951,1.0,-0.5391831211170572,0.0
2018-10-15,-0.35584848578396566,-0.5997283363689686,-0.028123359985181985,-0.5632698422498689,1.0,-0.5401166918778749,0.0
2018-10-16,-0.3570126941964975,-0.5965963492602774,-0.030855236742131763,-0.5635481977947309,1.0,-0.5405998085060382,0.0
2018-10-17,-0.34593590056056545,-0.5696136972946625,-0.020807945405800634,-0.5622410431391665,1.0,-0.5479831830368024,0.0
2018-10-18,-0.34508179242696563,-0.5682517439912268,-0.021415298382429098,-0.5634690955615804,1.0,-0.5480549547628476,0.0
2018-10-19,-0.3359866828087167,-0.5585351089588377,-0.010986682808716706,-0.5699152542372881,1.0,-0.5512409200968522,0.0
2018-10-22,-0.34038228155339806,-0.5492111650485436,-0.0,-0.5823422330097088,1.0,-0.5620449029126213,0.0
2018-10-23,-0.34091736439752457,-0.5491445212959593,-0.0,-0.581816527120495,1.0,-0.5617340128625167,0.0
2018-10-24,-0.3396969696969697,-0.5459393939393938,-0.0,-0.582030303030303,1.0,-0.5626666666666666,0.0
2018-10-25,-0.32750544499806067,-0.5265686069755646,-0.0,-0.5799445057731897,1.0,-0.5495420234507861,0.0
2018-10-26,-0.3122874463995268,-0.5164867662280053,-0.0,-0.5858346887475973,1.0,-0.5426585834688747,0.0
2018-10-29,-0.3035188023105033,-0.5180655428504067,-0.0,-0.5816043852410704,1.0,-0.5438818814098786,0.0
2018-10-30,-0.2979112040774239,-0.5180449577232419,-0.0,-0.5817694369973191,1.0,-0.5483899478537548,0.0
2018-10-31,-0.3074818323575274,-0.4966312630556945,-0.0,-0.588572773544382,1.0,-0.549471887963753,0.0
2018-11-01,-0.3605435944418995,-0.4944877080470301,-0.0,-0.6221102458390594,1.0,-0.5767598106581157,0.0
2018-11-02,-0.3656854703970352,-0.4695768401227255,-0.0,-0.6298794009538565,1.0,-0.5725872596372915,0.0
2018-11-05,-0.36396210372889587,-0.47403741042147457,-0.0,-0.6299951415037046,1.0,-0.5685655289687841,0.0
