Date,INTC,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.4708967912310531,-0.6535108345693303,-0.32731613790109615,-0.5499041348623521,-0.6159968165539196,0.0
2018-09-25,1.0,-0.47359473341532227,-0.6514866526803155,-0.3314041814367359,-0.5480358822252768,-0.6126383563625841,0.0
2018-09-26,1.0,-0.47322757469052895,-0.6533197807383744,-0.32518967582676883,-0.5534177950412024,-0.6250045376992049,0.0
2018-09-27,1.0,-0.47456827746335806,-0.6491800899724278,-0.32633144681468584,-0.553221593382673,-0.6246553475547816,0.0
2018-09-28,1.0,-0.4739896974533846,-0.6494594790684176,-0.3265617064499746,-0.5531089022709134,-0.6245374736994849,0.0
2018-10-01,1.0,-0.4738398627186097,-0.6622731753623717,-0.32735769834605133,-0.5571579831319142,-0.6305085983424003,0.0
2018-10-02,1.0,-0.47359941413401685,-0.6837056023434639,-0.32142072500915414,-0.5552544855364335,-0.6277187843280849,0.0
2018-10-03,1.0,-0.4784602300040676,-0.6666420145693894,-0.31560847539104386,-0.578744961727619,-0.6583589098842584,0.0
2018-10-04,1.0,-0.47815794340669504,-0.667690031440725,-0.31577584612539306,-0.5782874052154615,-0.6589975957092659,0.0
2018-10-05,1.0,-0.46893092893756677,-0.6615038536711288,-0.30700298705609025,-0.5832872367887303,-0.6669985617878084,0.0
2018-10-08,1.0,-0.4691062008926925,-0.6621417241506511,-0.30694603268287285,-0.5832380390276292,-0.667379836954517,0.0
2018-10-09,1.0,-0.46777585125613313,-0.6625963773195116,-0.30350094071642014,-0.5851256133102152,-0.6700852178404103,0.0
2018-10-10,1.0,-0.4673776662484317,-0.6635545058675917,-0.30260535832902796,-0.5852461436268359,-0.6714886707506089,0.0
2018-10-11,1.0,-0.4303994216519067,-0.6611964576179288,-0.25389481294053856,-0.5772275438279414,-0.6919573468281222,0.0
2018-10-12,1.0,-0.44067735930116,-0.6545539166547328,-0.2530431046828011,-0.5586066160675927,-0.6732063582987254,0.0
2018-10-15,1.0,-0.42901058049756935,-0.6732913926222476,-0.23663139834143548,-0.5585859307978267,-0.6769373748927652,0.0
2018-10-16,1.0,-0.42847951962256065,-0.675244835227679,-0.23514904567874761,-0.5585817427979127,-0.6767817570948603,0.0
2018-10-17,1.0,-0.4174942569358544,-0.6490899452200035,-0.2249867467750486,-0.5575189962890971,-0.6851387170878248,0.0
2018-10-18,1.0,-0.41691992366951725,-0.6482083539472754,-0.2253869531415648,-0.5581666548872712,-0.6851367587815393,0.0
2018-10-19,1.0,-0.40876656472986744,-0.6397412914337938,-0.21793384653239128,-0.5607578473760062,-0.6878624907729621,0.0
2018-10-22,1.0,-0.4075338848794226,-0.6467523323358564,-0.22443231825382853,-0.557120225312445,-0.6846681922196796,0.0
2018-10-23,1.0,-0.41436288528757553,-0.6493309324577199,-0.23535642410761573,-0.5500123574480105,-0.6816368322564701,0.0
2018-10-24,1.0,-0.41439057096478227,-0.6482108829134025,-0.23276166278495306,-0.5504269884960125,-0.6830404403980521,0.0
2018-10-25,1.0,-0.3926609308593345,-0.6158391209702498,-0.2299160360733907,-0.5536090667219515,-0.6632459141011022,0.0
2018-10-26,1.0,-0.3895392879278286,-0.611803594793747,-0.2270160457268783,-0.5546449969010399,-0.6602851043316577,0.0
2018-10-29,1.0,-0.3643284204671858,-0.6589265850945495,-0.19358314794215797,-0.560344827586207,-0.6989015572858732,0.0
2018-10-30,1.0,-0.3597122302158273,-0.6595766864769055,-0.190421575782852,-0.5614291175755048,-0.7043408751259862,0.0
2018-10-31,1.0,-0.3593859036985345,-0.6682135380321005,-0.18883461270062804,-0.5647243545010467,-0.7080251221214235,0.0
2018-11-01,1.0,-0.3367941073307611,-0.7119256401262715,-0.1563311118905647,-0.5803928446159242,-0.7220975096457383,0.0
2018-11-02,1.0,-0.33967410308413176,-0.6997692146303937,-0.1545212951954682,-0.5832226029792292,-0.7195608084481432,0.0
2018-11-05,1.0,-0.3431863551991034,-0.693062025006129,-0.15402934893005987,-0.5842468392112913,-0.7277694112702694,0.0
2018-11-06,1.0,-0.33941030045927845,-0.6908459839427831,-0.15608456333485257,-0.587385618623567,-0.7322161063001789,0.0
2018-11-07,1.0,-0.3354723332632022,-0.691808682235781,-0.16305491268672417,-0.5846833578792342,-0.7315379760151484,0.0
2018-11-08,1.0,-0.32429981514422235,-0.6934184367479334,-0.15227930661644168,-0.581040075337449,-0.7368072268145512,0.0
2018-11-09,1.0,-0.322845083196707,-0.6934454250531971,-0.1533121707887118,-0.5823071824746224,-0.7364216695154707,0.0
2018-11-12,1.0,-0.32237643048453857,-0.6832585481234129,-0.15294445024174752,-0.5853073150370447,-0.7344951128734911,0.0
2018-11-13,1.0,-0.3121993424467901,-0.6820903270462018,-0.1425160062294515,-0.5876103132029763,-0.7363903789582973,0.0
2018-11-14,1.0,-0.3152987661167337,-0.682067101067517,-0.14175793705808956,-0.5899764314432275,-0.7368986552058783,0.0
2018-11-15,1.0,-0.3153995291510871,-0.6829732723999447,-0.1402506578036283,-0.5925079628860268,-0.7309929372663067,0.0
2018-11-16,1.0,-0.3146265560165975,-0.6795643153526971,-0.13966113416320886,-0.5917704011065006,-0.7322268326417704,0.0
2018-11-19,1.0,-0.3145775623268698,-0.6830678670360111,-0.13292936288088641,-0.5967451523545706,-0.7353185595567867,0.0
2018-11-20,1.0,-0.29240270494065695,-0.6814104333425339,-0.10795611371791333,-0.6082321280706597,-0.7602470328457079,0.0
2018-11-21,1.0,-0.2960463204056462,-0.6751062080306977,-0.11453336987803209,-0.6046663012196795,-0.7357133068384267,0.0
2018-11-23,1.0,-0.2958281956432388,-0.6571105630908344,-0.11991368680641183,-0.6137484586929716,-0.7385600767228387,0.0
2018-11-26,1.0,-0.29577368312898145,-0.6573737927255291,-0.11980272621412424,-0.6135694225631892,-0.738406740187684,0.0
2018-11-27,1.0,-0.2931617220306579,-0.6605100542828856,-0.11163838721791676,-0.6120651394626335,-0.736642654740364,0.0
2018-11-28,1.0,-0.2947767567382913,-0.6512144296792266,-0.11382502647490864,-0.6167799678884979,-0.7394868991903802,0.0
2018-11-29,1.0,-0.2751966901790559,-0.6467037438958221,-0.09203743895822031,-0.6246608790016278,-0.7526451437873034,0.0
2018-11-30,1.0,-0.27396654881697036,-0.648762578188741,-0.09192276312211042,-0.6255779167799836,-0.759246668479739,0.0
2018-12-03,1.0,-0.27500341110656296,-0.6502933551644154,-0.09605676081320781,-0.6279506071769683,-0.7618024287078728,0.0
2018-12-04,1.0,-0.26931063829787233,-0.6516765957446808,-0.09790638297872341,-0.6247829787234043,-0.7605446808510637,0.0
2018-12-06,1.0,-0.25262313707144285,-0.6078326538795695,-0.12444028603889594,-0.6153177838668715,-0.7413954420904898,0.0
2018-12-07,1.0,-0.2576223589194972,-0.6068133190692698,-0.12867745386466972,-0.6144356779887671,-0.7355910671302488,0.0
2018-12-10,1.0,-0.2493424338272016,-0.6074912601964375,-0.1256866988513401,-0.6146162810054935,-0.7323455968037289,0.0
2018-12-11,1.0,-0.2613609842296536,-0.6023738872403561,-0.13403127396392492,-0.6191778081552363,-0.7171673390457775,0.0
2018-12-12,1.0,-0.2619611242623279,-0.602073817224019,-0.13459807288367287,-0.6192778314940153,-0.7162004467709133,0.0
2018-12-13,1.0,-0.26098544158310294,-0.5991937901855615,-0.13628943598627447,-0.620648299297065,-0.7143285471566113,0.0
2018-12-14,1.0,-0.2626144879267277,-0.5808492922564529,-0.1456119900083264,-0.628609492089925,-0.7129392173189009,0.0
2018-12-17,1.0,-0.25256618941633724,-0.5825000830482011,-0.13593329568481546,-0.6206025977477327,-0.7302926618609441,0.0
2018-12-18,1.0,-0.24609943144254925,-0.5745074705804575,-0.12838820573846357,-0.6206862356207854,-0.7358852307285468,0.0
2018-12-19,1.0,-0.25332451207409856,-0.5736023817399933,-0.12712537214687394,-0.6186238835593781,-0.7353291432351967,0.0
2018-12-20,1.0,-0.25612464777059507,-0.5779214321233218,-0.12358693850488979,-0.6198242996850655,-0.7376761147024699,0.0
2018-12-21,1.0,-0.25412246786292586,-0.5820032384917881,-0.11922937113776809,-0.6281352235550709,-0.72109315620766,0.0
2018-12-24,1.0,-0.2344628126335163,-0.5637098629506688,-0.12741972590133763,-0.623032175370559,-0.7379301278469781,0.0
2018-12-26,1.0,-0.23683522801515744,-0.5682412125963674,-0.1234156539918986,-0.6080295309029139,-0.730171174702731,0.0
2018-12-27,1.0,-0.20886197003506535,-0.547497609180746,-0.1272234619062799,-0.5684730634364042,-0.7357347784507492,0.0
2018-12-28,1.0,-0.20630874621634537,-0.5511550103552652,-0.12585630078062768,-0.568615580691413,-0.7342679624024214,0.0
2018-12-31,1.0,-0.2045577689243028,-0.5540398406374503,-0.1264382470119522,-0.5685099601593626,-0.7337051792828686,0.0
2019-01-02,1.0,-0.20416029561671764,-0.554822884811417,-0.12101809378185527,-0.5688391946992865,-0.736684505606524,0.0
2019-01-03,1.0,-0.20527756557168325,-0.5519162210338681,-0.12837407690348868,-0.5697097020626433,-0.7278456837280367,0.0
2019-01-04,1.0,-0.21175456518963096,-0.5511109692248755,-0.12651640914314902,-0.5749904226790958,-0.7280679351296131,0.0
2019-01-07,1.0,-0.20183108407780526,-0.5397579674333144,-0.137014509282139,-0.569410124817842,-0.7199835265792308,0.0
2019-01-08,1.0,-0.20304841412895677,-0.5255035891597887,-0.14065711665559877,-0.5765740125857761,-0.7164721879644562,0.0
2019-01-09,1.0,-0.20105502558594984,-0.5169941247078148,-0.13986985911933794,-0.5778002400657022,-0.7230399898919705,0.0
2019-01-10,1.0,-0.2018058975816127,-0.5146808107596135,-0.14024120729936224,-0.5788028035612804,-0.7216013133800594,0.0
2019-01-11,1.0,-0.2005209910946871,-0.5260192645544315,-0.14533228327376266,-0.5183255588538196,-0.6388198945901739,0.0
2019-01-14,1.0,-0.20115151515151514,-0.5252424242424243,-0.14748484848484847,-0.5181515151515151,-0.6382727272727273,0.0
2019-01-15,1.0,-0.20200551364779304,-0.5243721409312612,-0.14774758399224455,-0.5178890605592414,-0.6374625102244842,0.0
2019-01-16,1.0,-0.19667866541637677,-0.5205541607429142,-0.14961130100728998,-0.514897607308146,-0.6431833993768717,0.0
2019-01-17,1.0,-0.19527682864140788,-0.5164948141876569,-0.15593722596837106,-0.5140757763599528,-0.642042877445496,0.0
