Date,IWF,IWM,LAZ,MTUM,SPY,VLUE,VXX
2018-09-24,-0.30213754373585017,-0.4405927494046044,1.0,-0.21716503484166885,-0.506453794360648,-0.4738760989091764,0.0
2018-09-25,-0.30377402856974894,-0.43912762330256894,1.0,-0.2197695608723767,-0.5050261595438246,-0.4715772147434013,0.0
2018-09-26,-0.30341076154072333,-0.43887092031755365,1.0,-0.21840635107321374,-0.5057336077624227,-0.47391943546015874,0.0
2018-09-27,-0.3034900473376261,-0.438652200758578,1.0,-0.21851753844344474,-0.5056893358031225,-0.4738760989091764,0.0
2018-09-28,-0.30104142151094376,-0.44166274417510004,1.0,-0.2189632854789362,-0.5058837373499647,-0.4743174864674041,0.0
2018-10-01,-0.3006562877071132,-0.4428029076782719,1.0,-0.2192236381294329,-0.5057241237234763,-0.4745872450631272,0.0
2018-10-02,-0.3010917223317541,-0.43921960980490243,1.0,-0.22061030515257626,-0.5063414059971162,-0.47538475119912893,0.0
2018-10-03,-0.30153121319199055,-0.44228504122497053,1.0,-0.22105418138987043,-0.5057126030624264,-0.47402826855123675,0.0
2018-10-04,-0.30235501913453044,-0.4406535178098322,1.0,-0.22131292316750073,-0.506535178098322,-0.47294671769208124,0.0
2018-10-05,-0.2932582291850026,-0.4341078448629936,1.0,-0.21390013495276655,-0.5124977996831545,-0.48002112304171796,0.0
2018-10-08,-0.2920084368408718,-0.4318314975392548,1.0,-0.2118877431450668,-0.5142078743848136,-0.47952308413405204,0.0
2018-10-09,-0.29359008177261936,-0.4320759694012134,1.0,-0.21518801840616666,-0.5128520765555848,-0.4772121105542366,0.0
2018-10-10,-0.2939142664596091,-0.4313340560813385,1.0,-0.21574027952767444,-0.5130534149843242,-0.4759881625597,0.0
2018-10-11,-0.28055072463768116,-0.4261739130434783,1.0,-0.201768115942029,-0.5111014492753623,-0.47892753623188405,0.0
2018-10-12,-0.28013264129181087,-0.4220299884659746,1.0,-0.20023068050749712,-0.5074106113033449,-0.47370242214532876,0.0
2018-10-15,-0.2720310925579387,-0.43368360443356846,1.0,-0.18969339283143805,-0.5077875341874191,-0.47568734705628324,0.0
2018-10-16,-0.27127475817595575,-0.4367227084292953,1.0,-0.18741363426992172,-0.5078592814371258,-0.4755872869645325,0.0
2018-10-17,-0.26247294680487526,-0.4155370771158446,1.0,-0.17986103200820136,-0.5075464175874245,-0.4822872764551771,0.0
2018-10-18,-0.2638599891685432,-0.41823675284325745,1.0,-0.1785195108742126,-0.5068266681868712,-0.48296895932502926,0.0
2018-10-19,-0.2625623485820151,-0.41869744905230155,1.0,-0.17625765996864756,-0.508707424825424,-0.483996009690751,0.0
2018-10-22,-0.26624450909920705,-0.4116036282731474,1.0,-0.1665810941867762,-0.516971875178276,-0.49098636545153745,0.0
2018-10-23,-0.26542381591343817,-0.4127387443971793,1.0,-0.16378793502155478,-0.5199988580238102,-0.4929911211351243,0.0
2018-10-24,-0.2645624103299857,-0.42169296987087523,1.0,-0.16740315638450504,-0.5224390243902439,-0.49334289813486376,0.0
2018-10-25,-0.2421132329435518,-0.38983763775553126,1.0,-0.16471775889627324,-0.5330473065814195,-0.47446790611592493,0.0
2018-10-26,-0.23547596501977386,-0.38405837464490616,1.0,-0.1553222302679218,-0.5391856514231604,-0.47097978053807166,0.0
2018-10-29,-0.24597862767154105,-0.38388638920134976,1.0,-0.1577052868391451,-0.5527840269966253,-0.4717941507311586,0.0
2018-10-30,-0.22966412644651424,-0.3908552074513124,1.0,-0.14403048264182897,-0.5613886536833192,-0.4965283657917019,0.0
2018-10-31,-0.23209973605885326,-0.37763239175605096,1.0,-0.14558881338799348,-0.5595552310888976,-0.4930083674959286,0.0
2018-11-01,-0.2358729266235592,-0.37391059881922967,1.0,-0.14917064942367164,-0.5595164464436323,-0.49291537812763564,0.0
2018-11-02,-0.23299869547955307,-0.3944189212183087,1.0,-0.15019000623901083,-0.5588735749532074,-0.49943281719698257,0.0
2018-11-05,-0.2290608957086536,-0.40655756303712737,1.0,-0.14978585812746406,-0.5604560796437587,-0.4904557960121394,0.0
2018-11-06,-0.22965000850870723,-0.4068863803959385,1.0,-0.1497248851324522,-0.5600147484258892,-0.48995972545237954,0.0
2018-11-07,-0.23016030642644347,-0.4071783231664066,1.0,-0.14892892608880692,-0.5606752730883814,-0.49033905518513266,0.0
2018-11-08,-0.213184641445511,-0.41558441558441556,1.0,-0.12910784867306604,-0.5612648221343873,-0.5040937323546019,0.0
