Date,IWF,IWM,MTUM,SPY,VLUE,VPG,VXX
2018-09-24,-0.7104015001103022,-1.6028568277079196,-0.16556364438561658,-1.0336421795720274,-1.00264725347452,1.0,0.0
2018-09-25,-0.7188415409274305,-1.6021113137677556,-0.17537169070911401,-1.0327198364008179,-0.9980102802188692,1.0,0.0
2018-09-26,-0.7206215782779407,-1.6046010064701652,-0.17856550351158548,-1.032516728418957,-0.9937510368854726,1.0,0.0
2018-09-27,-0.7205515866422993,-1.6097358365176937,-0.17821343523287367,-1.0341141939414078,-0.9954588248324748,1.0,0.0
2018-09-28,-0.719047619047619,-1.6101882613510519,-0.17901439645625689,-1.0336655592469546,-0.9952380952380953,1.0,0.0
2018-10-01,-0.7204807266282677,-1.6087173238812584,-0.17916482055826316,-1.0346145325653522,-0.9954031900753212,1.0,0.0
2018-10-02,-0.7205939387223669,-1.6122222837830351,-0.17906809241509225,-1.03385229098565,-0.9946811457698487,1.0,0.0
2018-10-03,-0.7197187776793622,-1.6025243578387955,-0.17814437555358725,-1.0360938883968114,-0.9993356953055803,1.0,0.0
2018-10-04,-0.7240787872081442,-1.593670465862565,-0.17937368595772932,-1.0414960717052117,-0.9941905499612702,1.0,0.0
2018-10-05,-0.7017369178006417,-1.5895010510012169,-0.15145480694767122,-1.066102444960726,-1.0227348157982077,1.0,0.0
2018-10-08,-0.6987020160176747,-1.5849212924606462,-0.14404860535763603,-1.0730185031759183,-1.0226456779895057,1.0,0.0
2018-10-09,-0.7097777777777778,-1.594277777777778,-0.1582222222222222,-1.0741666666666667,-1.0190555555555556,1.0,0.0
2018-10-10,-0.7106841403820525,-1.5927920924033763,-0.15931808085295426,-1.0744669035984007,-1.015826299422479,1.0,0.0
2018-10-11,-0.6284305317324185,-1.5931067753001713,-0.047598627787307037,-1.0521548027444254,-1.0390222984562607,1.0,0.0
2018-10-12,-0.6747046447645249,-1.6245347143550737,-0.03765442088795382,-1.0408911905917895,-1.0168851486216754,1.0,0.0
