Date,EAT,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.4609295985224924,-1.3609339958664965,-0.008179059847851899,-0.8032628292511323,-0.7640385207334769,0.0
2018-09-25,1.0,-0.46085847479989445,-1.361113554402322,-0.00809218049080834,-0.8034567684053127,-0.7644032016888028,0.0
2018-09-26,1.0,-0.4605841984867148,-1.3611648777054373,-0.006906563434805561,-0.8041527362308639,-0.7662766144641915,0.0
2018-09-27,1.0,-0.46223140132706425,-1.3545722195368457,-0.008612734543217471,-0.8034011512941073,-0.7653908687436833,0.0
2018-09-28,1.0,-0.45937032802743816,-1.3580599771348167,-0.009673731422038518,-0.803887081171401,-0.7662035001319144,0.0
2018-10-01,1.0,-0.4595022425468296,-1.3576642335766422,-0.01006947498021282,-0.8037991381584733,-0.7661595286254507,0.0
2018-10-02,1.0,-0.4649029982363316,-1.3323192239858905,-0.02037037037037037,-0.814373897707231,-0.7772045855379189,0.0
2018-10-03,1.0,-0.4673033558827431,-1.3426625989300083,-0.022239908033779898,-0.8143431931732767,-0.7749480479285493,0.0
2018-10-04,1.0,-0.4759900770798264,-1.3339239833436698,-0.023478337910870915,-0.8261717019580048,-0.7703109772304421,0.0
2018-10-05,1.0,-0.45585825027685495,-1.3305869324473973,-0.0,-0.8480177187153931,-0.7951716500553709,0.0
2018-10-08,1.0,-0.4512545913174315,-1.326149488870204,-0.0,-0.8535203788113467,-0.7944417400539895,0.0
2018-10-09,1.0,-0.4445971711080566,-1.3280716534385668,-0.0,-0.8588214428235711,-0.8025096439498072,0.0
2018-10-10,1.0,-0.44343025067901504,-1.3360345518500378,-0.0,-0.8618371254285587,-0.8112560666102676,0.0
2018-10-11,1.0,-0.3268602777898724,-1.3459311185614142,-0.0,-0.8378978534418948,-0.8433404449862846,0.0
2018-10-12,1.0,-0.3223828108247202,-1.3367071235579193,-0.0,-0.8132692885019513,-0.8164000514645967,0.0
2018-10-15,1.0,-0.30005984952120385,-1.353625170998632,-0.0,-0.8069425444596444,-0.8143382352941176,0.0
2018-10-16,1.0,-0.2915255690342492,-1.3737408375841227,-0.0,-0.8069784388529299,-0.8142226413476789,0.0
2018-10-17,1.0,-0.26705333501450007,-1.3281217164712311,-0.0,-0.7938889589375027,-0.8138948430210565,0.0
2018-10-18,1.0,-0.26604114949299446,-1.3262927588673372,-0.0,-0.7993436277191064,-0.8158791601800817,0.0
2018-10-19,1.0,-0.24280830484449265,-1.3142249645626616,-0.0,-0.7990494455098808,-0.8129742349703994,0.0
2018-10-22,1.0,-0.24595509845729335,-1.3241774321668967,-0.0,-0.7981939044274426,-0.8124921610435218,0.0
2018-10-23,1.0,-0.24834907631864916,-1.3239989969071304,-0.0,-0.7960377831647579,-0.811209562818691,0.0
2018-10-24,1.0,-0.24587079238971357,-1.3275768346226218,-0.0,-0.7966548191511603,-0.8113736148860548,0.0
