Date,FRO,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.636067101584343,-1.8172180801491145,-0.013338769804287045,-1.1784715750232992,-1.1796947809878844,0.0
2018-09-25,1.0,-0.6551501263293965,-1.8260767377636757,-0.029731476584993245,-1.1852047711381397,-1.1796815324049592,0.0
2018-09-26,1.0,-0.6548297959903581,-1.8265036157328474,-0.027632429890058208,-1.1867246751719678,-1.183549885354812,0.0
2018-09-27,1.0,-0.6609262959915363,-1.8128599976489947,-0.031914893617021274,-1.1879040789937698,-1.1839073704008463,0.0
2018-09-28,1.0,-0.6633535258483798,-1.8119743574663294,-0.0326412985943657,-1.188790213491737,-1.1846144797976828,0.0
2018-10-01,1.0,-0.6632707143277781,-1.8157941228431778,-0.03386137447735705,-1.1895648077262824,-1.1864436723396738,0.0
2018-10-02,1.0,-0.6880689985625299,-1.7798873981792045,-0.058996166746526114,-1.2332894106372785,-1.2292165788212746,0.0
2018-10-03,1.0,-0.688852911195059,-1.7631468489536488,-0.05642501648977634,-1.2434490615818192,-1.244528392396714,0.0
2018-10-04,1.0,-0.6905380109896745,-1.7839502445504496,-0.05826942817462714,-1.2459996377030373,-1.2595857738059295,0.0
2018-10-05,1.0,-0.667247386759582,-1.7750210260723298,-0.032320076895350235,-1.2577796467619848,-1.2750811005647003,0.0
2018-10-08,1.0,-0.6658048223197642,-1.7736155372497142,-0.022367867235884794,-1.2719018700018037,-1.279177439721003,0.0
2018-10-09,1.0,-0.6713071777255469,-1.7779183993250165,-0.030193455071415656,-1.2713192310010246,-1.2758994756825168,0.0
2018-10-10,1.0,-0.6939860652731941,-1.7966018824104635,-0.041743063195208416,-1.2989854541009658,-1.2804058183596139,0.0
2018-10-11,1.0,-0.5713113793507559,-1.765557248330013,-0.0,-1.2448142505566622,-1.2778624165006445,0.0
2018-10-12,1.0,-0.5651473296500921,-1.746834714548803,-0.0,-1.2064917127071824,-1.236590699815838,0.0
2018-10-15,1.0,-0.5689396561670705,-1.748182762201454,-0.0,-1.2118956963193723,-1.2399907695857852,0.0
2018-10-16,1.0,-0.5587248322147651,-1.7741263596389727,-0.0,-1.2124508215690812,-1.2403957417264522,0.0
2018-10-17,1.0,-0.5143100028336639,-1.698384811561349,-0.0,-1.20068007934259,-1.253896287900255,0.0
2018-10-18,1.0,-0.5132332105412298,-1.6964579200906773,-0.0,-1.2032303768773023,-1.2544063474071976,0.0
2018-10-19,1.0,-0.48697799730579255,-1.6806241580601706,-0.0,-1.1978558599012123,-1.2474741805118994,0.0
2018-10-22,1.0,-0.4892345846015106,-1.6631721339195131,-0.0,-1.2179010258144516,-1.2660353962349227,0.0
2018-10-23,1.0,-0.4863628663391496,-1.6662149189677564,-0.0,-1.2237845163476198,-1.2704274662600938,0.0
2018-10-24,1.0,-0.48482102401449934,-1.6772768463978251,-0.0,-1.2282510194834617,-1.273448119619393,0.0
2018-10-25,1.0,-0.4115497480759648,-1.609213221859255,-0.0,-1.2809921931233044,-1.2349814517468578,0.0
