Date,CSWI,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3142691556857003,-0.7050085407515861,-0.10416666666666666,-0.498993411420205,-0.42780014641288433,0.0
2018-09-25,1.0,-0.3181235502380662,-0.7032718837748749,-0.10932731046270297,-0.4972225613478208,-0.4242156024905384,0.0
2018-09-26,1.0,-0.3176067958198375,-0.7033551304772964,-0.10664303611807126,-0.49899162745217873,-0.4290472407260283,0.0
2018-09-27,1.0,-0.3195114503816794,-0.6980458015267176,-0.10815267175572518,-0.4989312977099236,-0.42882442748091604,0.0
2018-09-28,1.0,-0.317922252420069,-0.6994228478944636,-0.10862063700491648,-0.4988243197850185,-0.42895532415183074,0.0
2018-10-01,1.0,-0.319572192513369,-0.6983651642475172,-0.10835752482811306,-0.5001375095492743,-0.4293353705118412,0.0
2018-10-02,1.0,-0.3195573760469524,-0.7011065598826192,-0.10781316867396223,-0.49954148071162197,-0.42880723849116587,0.0
2018-10-03,1.0,-0.32005628976994616,-0.7043869309838473,-0.10841899167890356,-0.498929270680372,-0.42740455212922174,0.0
2018-10-04,1.0,-0.3199094191811004,-0.7050309076442867,-0.10869698267947855,-0.4985311218556827,-0.4280249709284534,0.0
2018-10-05,1.0,-0.3128355295265983,-0.7023548072230356,-0.10120790629575402,-0.5021961932650073,-0.43167398731088336,0.0
2018-10-08,1.0,-0.3114569375076136,-0.7000852722621513,-0.09861128030210745,-0.5042331587282252,-0.4310817395541479,0.0
2018-10-09,1.0,-0.3109507278153359,-0.7002862537304342,-0.0973567208721603,-0.5048419513977709,-0.4318167976125221,0.0
2018-10-10,1.0,-0.31029959118921224,-0.7036731954359631,-0.09512477881505887,-0.5057660626029654,-0.43596314601256936,0.0
2018-10-11,1.0,-0.2775706231542523,-0.7057244280046536,-0.051218566357426255,-0.5003132177907705,-0.44822957372550193,0.0
2018-10-12,1.0,-0.2772999584791506,-0.705528204519841,-0.04671095557269115,-0.49531407556794593,-0.4409217628566345,0.0
2018-10-15,1.0,-0.25448851774530273,-0.7600357888458098,-0.00787354607813898,-0.5041753653444677,-0.45586042350134215,0.0
2018-10-16,1.0,-0.25370552622945935,-0.7630550833557006,-0.005576928812143986,-0.5042199755450181,-0.4557573588619487,0.0
2018-10-17,1.0,-0.24105539032362555,-0.7377131246503137,-0.0,-0.5028416620041815,-0.46311728849494976,0.0
2018-10-18,1.0,-0.242826780021254,-0.743003896563939,-0.0,-0.5016235683079466,-0.46448813319164006,0.0
2018-10-19,1.0,-0.23528547068854003,-0.7407244075968719,-0.0,-0.501322984653378,-0.4626330334568119,0.0
2018-10-22,1.0,-0.23593423722831683,-0.7420369989117969,-0.0,-0.5008087997411841,-0.46230993206082177,0.0
2018-10-23,1.0,-0.23825207316355937,-0.7420749279538906,-0.0,-0.49900017643945194,-0.4613303534670352,0.0
2018-10-24,1.0,-0.2367508813160987,-0.7395417156286722,-0.0,-0.4991774383078731,-0.4622502937720329,0.0
2018-10-25,1.0,-0.21806826685086056,-0.715938525297876,-0.0,-0.49988487883497384,-0.4441374546710413,0.0
2018-10-26,1.0,-0.21162870550532217,-0.7092823623669451,-0.0,-0.5006867345770859,-0.4398248826828431,0.0
2018-10-29,1.0,-0.1838418564675548,-0.731814926228334,-0.0,-0.49365420426872936,-0.45557942988110584,0.0
2018-10-30,1.0,-0.18592921622008882,-0.7319673305631179,-0.0,-0.49376701533170947,-0.454076515260066,0.0
2018-10-31,1.0,-0.1886953795285466,-0.7190947182396032,-0.0,-0.4920331784625032,-0.45056010033349486,0.0
