Date,APEI,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.4531810458750236,-2.5382291863318858,-0.5667358882386256,-1.9764017368321691,-1.9046630168019631,0.0
2018-09-25,1.0,-1.4571967909391221,-2.53487494100991,-0.5731949032562529,-1.9735724398301087,-1.8995752713544123,0.0
2018-09-26,1.0,-1.4585536253776434,-2.5367258308157097,-0.5755287009063444,-1.9735649546827796,-1.896714501510574,0.0
2018-09-27,1.0,-1.4725878231228102,-2.5256131048196195,-0.5836568506770192,-1.9828614714515673,-1.9041757409336237,0.0
2018-09-28,1.0,-1.4703710715638016,-2.525937145020826,-0.58434305187429,-1.981919727375994,-1.9035403256342294,0.0
2018-10-01,1.0,-1.4702707820488543,-2.5268888468093165,-0.585021776178754,-1.981916303730354,-1.903900776368112,0.0
2018-10-02,1.0,-1.4712796208530805,-2.537914691943128,-0.5843601895734598,-1.9815165876777252,-1.9035071090047393,0.0
2018-10-03,1.0,-1.469279560730853,-2.528069677175045,-0.5835463410016094,-1.9810659850421282,-1.9050459149862726,0.0
2018-10-04,1.0,-1.4775525667740104,-2.5171433983709037,-0.586095851487024,-1.991380943360485,-1.8994127675696155,0.0
2018-10-05,1.0,-1.4469047394704608,-2.501177800810327,-0.5497974182606238,-2.005841892019222,-1.9187788561198529,0.0
2018-10-08,1.0,-1.441289837360158,-2.492432076713359,-0.5394378114129924,-2.01156341073611,-1.9164238037040517,0.0
2018-10-09,1.0,-1.448991137092212,-2.500377145012257,-0.5478031303036017,-2.014614369224967,-1.9167452385442203,0.0
2018-10-10,1.0,-1.4587155963302751,-2.5049654781046056,-0.5547148396859926,-2.0245909391847157,-1.9150666792774045,0.0
2018-10-11,1.0,-1.3227819065969353,-2.5279383429672446,-0.3388384255436278,-2.0103679236627214,-1.9752270850536746,0.0
2018-10-12,1.0,-1.3205462222621507,-2.494025694007726,-0.31183182104033774,-1.9506782858682956,-1.9068367621956697,0.0
2018-10-15,1.0,-1.2828072714117753,-2.606945826173465,-0.23758704892828073,-1.973320068734738,-1.9434747218956316,0.0
2018-10-16,1.0,-1.2801559949210957,-2.639488481770361,-0.21975331035733722,-1.9802285506983495,-1.9498458189733356,0.0
2018-10-17,1.0,-1.223360113004326,-2.5303257702833934,-0.1640328418822283,-1.9566522468438245,-1.9540919925840912,0.0
2018-10-18,1.0,-1.2219966457763263,-2.5281136905287314,-0.16471003619030805,-1.958160473122076,-1.9540118280519023,0.0
2018-10-19,1.0,-1.1952012656002813,-2.516259448057655,-0.1238354719634382,-1.9824222183160485,-1.9711724380383195,0.0
2018-10-22,1.0,-1.1963831094723907,-2.5054867878149416,-0.11877798261785621,-1.9849003599332806,-1.973224475463085,0.0
2018-10-23,1.0,-1.2014584431558601,-2.5065893516078015,-0.12765770514848004,-1.979616939026533,-1.9703918467756105,0.0
2018-10-24,1.0,-1.2030907015541312,-2.5020633945034683,-0.11098428308016507,-1.9856879445078583,-1.9785758187724998,0.0
2018-10-25,1.0,-1.1084367874334937,-2.381302254877122,-0.06029896123638206,-1.9976353348534752,-1.8975593277594798,0.0
2018-10-26,1.0,-1.0700414937759337,-2.3413278008298755,-0.016016597510373445,-2.001161825726141,-1.8702074688796682,0.0
2018-10-29,1.0,-1.0239907346128392,-2.3732627399073465,-0.0,-1.986101919258769,-1.889228987425546,0.0
2018-10-30,1.0,-0.998757146408153,-2.378987488607175,-0.0,-1.9920457370121798,-1.915983097191151,0.0
2018-10-31,1.0,-0.9931383760823395,-2.319637314164352,-0.0,-1.9685508903773894,-1.8871916353537004,0.0
2018-11-01,1.0,-0.9606773589513963,-2.3372954489945457,-0.0,-1.9610030122934137,-1.8824391435317107,0.0
2018-11-02,1.0,-0.9755820556501987,-2.270219842621887,-0.0,-1.989291798491117,-1.8770990508639571,0.0
2018-11-05,1.0,-0.9680695482612935,-2.301511212219695,-0.0,-1.9943126421839457,-1.8609034774130646,0.0
2018-11-06,1.0,-0.9713380967846703,-2.3030204611886975,-0.0,-1.990012991230919,-1.855147775251705,0.0
2018-11-07,1.0,-0.9680557807686071,-2.3009567050429705,-0.0,-1.9863791146424516,-1.85219717853089,0.0
2018-11-08,1.0,-0.9035080741388912,-2.275713944793573,-0.0,-1.9428048683477848,-1.832789754196166,0.0
2018-11-09,1.0,-0.9218435259044396,-2.3057771331883004,-0.0,-1.968334541938603,-1.861413262428491,0.0
2018-11-12,1.0,-0.916800128122998,-2.2647341447789877,-0.0,-1.9756566303651504,-1.8505765534913516,0.0
2018-11-13,1.0,-0.8525524337158686,-2.2519192718638705,-0.0,-1.9734072022160667,-1.8367233874159083,0.0
2018-11-14,1.0,-0.8532995727172021,-2.250593448330432,-0.0,-1.9729387561322995,-1.8358126285804717,0.0
2018-11-15,1.0,-0.8492858833741024,-2.248559930561035,-0.0,-1.9731713090823009,-1.8197743233646333,0.0
2018-11-16,1.0,-0.8396441785405022,-2.2275840352672596,-0.0,-1.9721325671101315,-1.8328741242226245,0.0
2018-11-19,1.0,-0.8423870256652496,-2.2270508581325776,-0.0,-1.9709494567784602,-1.8324673279798458,0.0
2018-11-20,1.0,-0.7482042473454091,-2.206433479075578,-0.0,-1.9775140537164273,-1.8754684572142413,0.0
2018-11-21,1.0,-0.7464431285088056,-2.1787279858494193,-0.0,-1.955318003537645,-1.8101207413673766,0.0
2018-11-23,1.0,-0.7488093409125827,-2.153556613919189,-0.0,-1.965970195114457,-1.8133353817790752,0.0
2018-11-26,1.0,-0.7481333230698176,-2.1715803248402743,-0.0,-1.9657455161265491,-1.8121776614579324,0.0
2018-11-27,1.0,-0.7292573026724674,-2.2202454940957117,-0.0,-1.9884244872591672,-1.8308732131758856,0.0
2018-11-28,1.0,-0.7295470437417451,-2.2225934270841425,-0.0,-1.9871804832569344,-1.8301608266645948,0.0
2018-11-29,1.0,-0.6567402894135568,-2.1773038842345773,-0.0,-1.9604722010662607,-1.8216298552932217,0.0
2018-11-30,1.0,-0.656311862342013,-2.1775544388609713,-0.0,-1.961397898583828,-1.8186386477843761,0.0
2018-12-03,1.0,-0.6512247071352504,-2.178153050357523,-0.0,-1.9603681728282367,-1.817130686140271,0.0
2018-12-04,1.0,-0.6306224443434802,-2.1824170831440255,-0.0,-1.9494926548538543,-1.809707708617295,0.0
2018-12-06,1.0,-0.5806544615828169,-2.0216231800490125,-0.0,-1.8951996540291192,-1.7102493873432318,0.0
