Date,IWF,IWM,MTUM,SPY,TDY,VLUE,VXX
2018-09-24,-0.26924782439997785,-0.5038246216950281,-0.16523474308519484,-0.43711545923174994,1.0,-0.396042347985145,0.0
2018-09-25,-0.26790428813606426,-0.5081566295194954,-0.16127060000555818,-0.4408748575716311,1.0,-0.4008837506600339,0.0
2018-09-26,-0.268447236041244,-0.5088518940551958,-0.1625580167310525,-0.440538061754815,1.0,-0.3988493927350546,0.0
2018-09-27,-0.26852315046412095,-0.5086710021677506,-0.1626646656661664,-0.4404980267911734,1.0,-0.39883830804291037,0.0
2018-09-28,-0.26853061337928347,-0.5086573469331035,-0.16283594119118425,-0.44042689197076235,1.0,-0.3988216002890414,0.0
2018-10-01,-0.26792022475035465,-0.510611665878557,-0.16319434786236822,-0.44037718005062443,1.0,-0.3994881922616895,0.0
2018-10-02,-0.26788546623257364,-0.5138993238166791,-0.16236747641706317,-0.4397139438461752,1.0,-0.39880902690820047,0.0
2018-10-03,-0.2686039060541052,-0.518708383250216,-0.1630401471038921,-0.43888780542166994,1.0,-0.39681832112110993,0.0
2018-10-04,-0.26820905923344945,-0.5200836236933798,-0.1631498257839721,-0.43821602787456443,1.0,-0.3977979094076655,0.0
2018-10-05,-0.26274531606160006,-0.5173736587535442,-0.15822538500027797,-0.4408461666759326,1.0,-0.40056707622171567,0.0
2018-10-08,-0.2632164718976071,-0.5187813021702838,-0.15859766277128548,-0.44070673344462996,1.0,-0.4011129660545354,0.0
2018-10-09,-0.2628401313226865,-0.5189193700962662,-0.15778198208224362,-0.44112737187691275,1.0,-0.40161927549941573,0.0
2018-10-10,-0.2627625539017944,-0.5189317012101823,-0.15765753234107666,-0.44117401585756016,1.0,-0.40150229517318126,0.0
2018-10-11,-0.25526206610427327,-0.5194578896418199,-0.14847185728115062,-0.4407135942469922,1.0,-0.40193610842207167,0.0
2018-10-12,-0.25576600599279764,-0.5170025015806691,-0.146741072655799,-0.43505511724441276,1.0,-0.39445253869203073,0.0
2018-10-15,-0.2463700491312821,-0.5321000192133506,-0.13397194850822058,-0.4354843136716713,1.0,-0.3968380314549996,0.0
2018-10-16,-0.24581434923423176,-0.534308612834166,-0.13229401108854366,-0.4354998078717682,1.0,-0.39677224570456165,0.0
2018-10-17,-0.24051115773412168,-0.522083866924607,-0.1281708945260347,-0.43448407400343314,1.0,-0.39947140404893594,0.0
