Date,GUNR,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.1890877265713167,-0.3121444528892881,-0.07323982588267809,-0.36002671641447287,-0.36864045694281306,0.0
2018-09-25,1.0,-0.19011328053048446,-0.3111530668631424,-0.0749217167065758,-0.35909007183643393,-0.3671486461595137,0.0
2018-09-26,1.0,-0.1916703159932699,-0.3134348998547952,-0.07771913245903152,-0.3588863023486298,-0.3631272040011985,0.0
2018-09-27,1.0,-0.19183701689290403,-0.31294508077711963,-0.07789633795026617,-0.35885321840934753,-0.36307068286050104,0.0
2018-09-28,1.0,-0.1909700615363341,-0.3137892092465832,-0.07819954366314043,-0.35873147571965247,-0.36304132383783905,0.0
2018-10-01,1.0,-0.19116325166524537,-0.31361928688316776,-0.07824924516560261,-0.3587941088344435,-0.3630119621084657,0.0
2018-10-02,1.0,-0.1922181499665768,-0.30505036535048297,-0.08134522739321855,-0.3609939377175391,-0.3654426849226655,0.0
2018-10-03,1.0,-0.1920160416714684,-0.2988222278562703,-0.08032359923479383,-0.36370341346486273,-0.3699725724295296,0.0
2018-10-04,1.0,-0.19382488479262672,-0.2957834101382489,-0.08066820276497695,-0.3659447004608295,-0.3679493087557604,0.0
2018-10-05,1.0,-0.18854492008083779,-0.2915441851919897,-0.07592320411537755,-0.36886827117398496,-0.37167003490722034,0.0
2018-10-08,1.0,-0.18792731611067773,-0.2904602395264534,-0.07497820401046207,-0.36952232368191623,-0.37144954802000635,0.0
2018-10-09,1.0,-0.18707841967604275,-0.29062084155462764,-0.07284449135043362,-0.3706924241728995,-0.3730785114486303,0.0
2018-10-10,1.0,-0.1878024725337737,-0.2896396706346476,-0.07378609601137641,-0.37110942911534667,-0.3713158558682539,0.0
2018-10-11,1.0,-0.17494341330918967,-0.28478949751018556,-0.058465368945224076,-0.36919420552286103,-0.3760751471253961,0.0
2018-10-12,1.0,-0.17829909392661702,-0.27906611644388624,-0.057638826590113934,-0.3609715618552077,-0.366780299632188,0.0
2018-10-15,1.0,-0.17185400806090462,-0.2884460367218988,-0.04896999552171966,-0.3612852664576802,-0.36860725481415135,0.0
2018-10-16,1.0,-0.1705716333661858,-0.2943732640444405,-0.04464205716333662,-0.36170594032792763,-0.3686497625660783,0.0
2018-10-17,1.0,-0.16433341468284782,-0.2791249750404899,-0.03875934594990349,-0.3620571073591729,-0.3743482794577685,0.0
2018-10-18,1.0,-0.16482833618145099,-0.28005503894893363,-0.03821656050955414,-0.3616591579928538,-0.37453117024345856,0.0
2018-10-19,1.0,-0.16185188462219077,-0.27678729428419746,-0.03521500619359406,-0.3629003716156433,-0.37522119978764823,0.0
2018-10-22,1.0,-0.16404469520964707,-0.2722203783604381,-0.02953866578161301,-0.3676512888593871,-0.37917911273370947,0.0
2018-10-23,1.0,-0.163985572986967,-0.272254552696214,-0.02936295443984688,-0.3678224503794835,-0.37928440245170714,0.0
2018-10-24,1.0,-0.1630533673582603,-0.27682236769111285,-0.03153223122156885,-0.3686230999667147,-0.3789859092422057,0.0
2018-10-25,1.0,-0.15675069781753445,-0.2673465350886833,-0.030176487395327366,-0.3697004329765489,-0.3738763489307457,0.0
2018-10-26,1.0,-0.15205087301413867,-0.2635868971394856,-0.023316798146893643,-0.3747295732173685,-0.3715827888376565,0.0
2018-10-29,1.0,-0.14425715405723244,-0.26843503636917987,-0.016812578945076005,-0.371858530423799,-0.3764319003440917,0.0
2018-10-30,1.0,-0.14623997908678982,-0.2683644126873475,-0.0180158591843848,-0.3715580341582433,-0.3742811084001394,0.0
2018-10-31,1.0,-0.1465123362777947,-0.2661981637004482,-0.01831948131064793,-0.37106740350724515,-0.37361298463948484,0.0
2018-11-01,1.0,-0.14466845001196146,-0.26848045932015396,-0.016419825580130925,-0.371370783584524,-0.37389356473325935,0.0
2018-11-02,1.0,-0.14315647030578169,-0.2761638693061527,-0.017220682279503238,-0.3702337560294214,-0.37584302769714295,0.0
2018-11-05,1.0,-0.14152301985598953,-0.28058040584769806,-0.017215797512546368,-0.37056513200960073,-0.3720925158193323,0.0
2018-11-06,1.0,-0.1419594152301986,-0.28084224307222344,-0.017193977743835916,-0.3702814750163648,-0.3716997599825442,0.0
2018-11-07,1.0,-0.14171957152518708,-0.280755721360473,-0.017605864258132077,-0.3699849466588127,-0.37155573008704756,0.0
2018-11-08,1.0,-0.1358620090371915,-0.281478102189781,-0.011969933958985053,-0.3686131386861314,-0.3744786235662148,0.0
2018-11-09,1.0,-0.13757615317667535,-0.28274586597040907,-0.01077023498694517,-0.36886422976501304,-0.3758050478677111,0.0
2018-11-12,1.0,-0.13736824948386397,-0.2803216342497012,-0.010583505378680864,-0.36961860262957735,-0.3753558622188417,0.0
2018-11-13,1.0,-0.13219099543497545,-0.27837995716232883,-0.005257350554942558,-0.3718656022154432,-0.37580320633478287,0.0
2018-11-14,1.0,-0.13154019404019404,-0.27977737352737353,-0.004872661122661122,-0.37257449757449757,-0.37686243936243935,0.0
