Date,IWF,IWM,MTUM,PKI,SPY,VLUE,VXX
2018-09-24,-0.35186735890135656,-0.44356054262267625,-0.15552950371238763,1.0,-0.4416345670741919,-0.3986490258471501,0.0
2018-09-25,-0.3520332691395238,-0.44332803036646296,-0.1558793156381702,1.0,-0.44143012643389434,-0.39836445337575704,0.0
2018-09-26,-0.35200535878757433,-0.4433001200145134,-0.15576767423037205,1.0,-0.4414580367858439,-0.3984760947835552,0.0
2018-09-27,-0.3550961189698948,-0.4364554560419631,-0.15783599787952346,1.0,-0.44200775648000895,-0.39867749225747046,0.0
2018-09-28,-0.3539800786808404,-0.43737618928043304,-0.15817080996623978,1.0,-0.4418961524511035,-0.39870539326469684,0.0
2018-10-01,-0.35381438696355827,-0.43766393213907023,-0.15835147050616666,1.0,-0.4417657235336793,-0.3987666722473353,0.0
2018-10-02,-0.35350460765149405,-0.4439821278972354,-0.15668807595643677,1.0,-0.44074280927115334,-0.39759843619100815,0.0
2018-10-03,-0.3531825795644891,-0.43766052484645446,-0.15572305974316025,1.0,-0.44321608040201005,-0.4019262981574539,0.0
2018-10-04,-0.3574640413350091,-0.43175534143276084,-0.15620723362658848,1.0,-0.44915514592933947,-0.3982963273285854,0.0
2018-10-05,-0.36357773727744286,-0.43855320342072057,-0.15701668302257113,1.0,-0.4489835973643628,-0.39573811860367303,0.0
2018-10-08,-0.36385055536856276,-0.4391618983507236,-0.1570178391114103,1.0,-0.4489229215752272,-0.3959385167732526,0.0
2018-10-09,-0.36719386465151554,-0.44020563530634604,-0.16318790909346292,1.0,-0.44672303845829703,-0.3919150490209849,0.0
2018-10-10,-0.36786677151201974,-0.43928330712199504,-0.16400808807009662,1.0,-0.44700629072118625,-0.3902212985845877,0.0
2018-10-11,-0.36153610344731496,-0.43683638491764903,-0.15207758548616337,1.0,-0.44555917844104453,-0.3907978708580665,0.0
2018-10-12,-0.366909854639916,-0.43127176256010613,-0.15088708340242082,1.0,-0.43580390206157077,-0.37865472834797986,0.0
2018-10-15,-0.3703150499267004,-0.42715680579758253,-0.153652532293309,1.0,-0.43672724255248524,-0.37822587337150443,0.0
2018-10-16,-0.3724040538295398,-0.4214985878052832,-0.15855346956858835,1.0,-0.43733732070665116,-0.3792158165808273,0.0
2018-10-17,-0.37198107726782303,-0.4202008465432816,-0.15777242924724041,1.0,-0.4372700362409052,-0.3792569231194843,0.0
2018-10-18,-0.37039703195082785,-0.41799102940362143,-0.15922808571903205,1.0,-0.4408881997895786,-0.3801705520792956,0.0
2018-10-19,-0.36919592298980747,-0.4156009170510731,-0.15600917051073115,1.0,-0.441897080352457,-0.37949893655221945,0.0
2018-10-22,-0.36750456785338576,-0.4236476385582194,-0.16292010409168928,1.0,-0.43784950999390954,-0.3764741708654006,0.0
2018-10-23,-0.3676853235896584,-0.4235176880916791,-0.1634280019930244,1.0,-0.43733045452029007,-0.376155677351492,0.0
2018-10-24,-0.3683890241203806,-0.4217747289223279,-0.16065501217083425,1.0,-0.4381776941801283,-0.3771022350077451,0.0
2018-10-25,-0.3579392122120758,-0.4039525691699604,-0.15935668529371677,1.0,-0.4398528008722911,-0.36483576393621364,0.0
2018-10-26,-0.35409711478435524,-0.4002117091442065,-0.15509051923024728,1.0,-0.4422278316098038,-0.36259262275059034,0.0
2018-10-29,-0.34286874154262514,-0.41052774018944516,-0.14441136671177265,1.0,-0.43797023004059543,-0.3705548037889039,0.0
2018-10-30,-0.3367614820428158,-0.4116755527889794,-0.14016617499797018,1.0,-0.4397412649868738,-0.3781157812119408,0.0
2018-10-31,-0.33750911201706313,-0.4064634574367558,-0.1408785334377278,1.0,-0.4385917546370043,-0.37641405005534706,0.0
2018-11-01,-0.3316605962498314,-0.41416430594900855,-0.13438553891811683,1.0,-0.4399838122217726,-0.37776878456765145,0.0
2018-11-02,-0.3688517768468943,-0.38380447748772434,-0.09970316531195383,1.0,-0.5148556051821234,-0.40694093821954663,0.0
