Date,ARCB,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.9124689258144707,-1.7457804527018186,-0.3452178463953945,-1.268350124296742,-1.2701164464215622,0.0
2018-09-25,1.0,-0.9195492662473795,-1.744693396226415,-0.3538390985324948,-1.2673611111111112,-1.265985324947589,0.0
2018-09-26,1.0,-0.9235413795366543,-1.7503445560149635,-0.3593227013191573,-1.268688061954453,-1.2610093850495505,0.0
2018-09-27,1.0,-0.934342105263158,-1.738355263157895,-0.3655921052631579,-1.2748684210526318,-1.2657236842105264,0.0
2018-09-28,1.0,-0.931481603369973,-1.7419864411242019,-0.36674784440202723,-1.2752583426578028,-1.2665043111959455,0.0
2018-10-01,1.0,-0.9343214756258236,-1.7410408432147566,-0.36706192358366274,-1.2776679841897234,-1.2675230566534914,0.0
2018-10-02,1.0,-0.9386583998416991,-1.7200712354066356,-0.37589868742167404,-1.2855352549304135,-1.2757733658729635,0.0
2018-10-03,1.0,-0.9475712671938334,-1.7484882716459562,-0.38188583959067046,-1.290849890358163,-1.2761645292045982,0.0
2018-10-04,1.0,-0.9473299195318214,-1.7516126887012038,-0.3823236017822704,-1.2905499767240807,-1.2784464986366961,0.0
2018-10-05,1.0,-0.9266790303351438,-1.7426149158828983,-0.35839183997880514,-1.301960524572791,-1.2937475162273149,0.0
2018-10-08,1.0,-0.9661306876496749,-1.8091002394799864,-0.3807731782415327,-1.3438932603489566,-1.342387957577831,0.0
2018-10-09,1.0,-0.9633586740634204,-1.8122046435175674,-0.3712759400041093,-1.3505924251763577,-1.3514142866926921,0.0
2018-10-10,1.0,-0.9636450773654662,-1.8113104203751884,-0.37155963302752293,-1.3506093386279612,-1.349445433383541,0.0
2018-10-11,1.0,-0.8690783807062877,-1.8151460942158615,-0.23487709534221163,-1.327900351156165,-1.378586099516332,0.0
2018-10-12,1.0,-0.8771322135808116,-1.8049147114567676,-0.22044310829357558,-1.2936409385007515,-1.3394549375857785,0.0
2018-10-15,1.0,-0.8471786833855799,-1.8618077324973876,-0.1733934169278997,-1.296956635318704,-1.3515543364681295,0.0
2018-10-16,1.0,-0.8450538687561214,-1.8686255305256283,-0.16807051909892262,-1.2967025791707474,-1.3511589944498856,0.0
2018-10-17,1.0,-0.812224,-1.804096,-0.13395200000000002,-1.287872,-1.361856,0.0
2018-10-18,1.0,-0.8119160373736081,-1.803980545245104,-0.13381543581210803,-1.2881095609880966,-1.3618968386023294,0.0
2018-10-19,1.0,-0.7950117408136067,-1.7934251443802756,-0.11277527448118298,-1.2864758520022848,-1.3586977216475218,0.0
2018-10-22,1.0,-0.7972218698465051,-1.7847266269186859,-0.10643156158822784,-1.2914499556006598,-1.3629328935684384,0.0
2018-10-23,1.0,-0.8007740625594822,-1.784467990609733,-0.11363492164202778,-1.2861493560053296,-1.359748746906922,0.0
2018-10-24,1.0,-0.7999365280863219,-1.7887019993652808,-0.10929863535385592,-1.2879086004443034,-1.3613456045699779,0.0
2018-10-25,1.0,-0.7401257554483853,-1.7052072523044992,-0.08638056284720101,-1.2733654844026616,-1.2995543617605763,0.0
2018-10-26,1.0,-0.7191491925765244,-1.682815136177392,-0.06266570257893468,-1.2766329235960472,-1.2842853699686672,0.0
2018-10-29,1.0,-0.6971295020075509,-1.6973692095643316,-0.03973152753640558,-1.2663750224725836,-1.2920836579373165,0.0
2018-10-30,1.0,-0.6886306457409848,-1.6982748292799807,-0.0336647897448185,-1.2680004792140889,-1.3015454654366838,0.0
2018-10-31,1.0,-0.6917820429021332,-1.6639729039158595,-0.033632420226989125,-1.261928813357894,-1.2908075346128707,0.0
2018-11-01,1.0,-0.6876632628829257,-1.6679529802897173,-0.028496794110662547,-1.261873664212776,-1.2908454048919498,0.0
2018-11-02,1.0,-0.7075482877118141,-1.618734447209385,-0.013508709562744399,-1.2926887071927953,-1.2923924635620332,0.0
