Date,GOSS,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-10-09,1.0,-1.056930693069307,-1.0157251019219569,-5.353669190448456,-4.095806639487478,-2.0382935352358764,0.0
2019-10-10,1.0,-1.0137025818548968,-1.0673590076445982,-5.284292514063176,-4.057406606086831,-2.001153901629886,0.0
2019-10-11,1.0,-1.0258720930232559,-1.1082848837209303,-5.365552325581395,-4.0809593023255815,-1.9542151162790695,0.0
2019-10-14,1.0,-1.0764061358655954,-1.0422205989773559,-5.449525200876553,-4.1532505478451425,-1.887801314828342,0.0
2019-10-15,1.0,-1.0926251097453907,-1.032777290020486,-5.450248756218906,-4.158911325724319,-1.8981562774363478,0.0
2019-10-16,1.0,-1.0637155297532654,-1.0261248185776488,-5.434833091436865,-4.127721335268505,-1.8612481857764875,0.0
2019-10-17,1.0,-1.063572883328484,-1.0627000290951412,-5.41722432353797,-4.159295897585103,-1.8447774221704978,0.0
2019-10-18,1.0,-1.075912408759124,-1.0081751824817518,-5.4416058394160585,-4.182919708029197,-1.8900729927007298,0.0
2019-10-21,1.0,-1.0290280017592728,-1.0013194546254214,-5.467819967746665,-4.208473830816595,-1.953965694179739,0.0
2019-10-22,1.0,-1.0312408759124085,-0.9870072992700729,-5.4515328467153275,-4.188905109489051,-1.93970802919708,0.0
2019-10-23,1.0,-0.9402408205738071,-1.0206629998513455,-5.4523561766017545,-4.311282889846886,-2.1410732867548683,0.0
2019-10-24,1.0,-0.9382918467729916,-1.0211655984498436,-5.480250409897153,-4.3127142644209275,-2.15292890147563,0.0
2019-10-25,1.0,-0.9205170108453425,-1.027187639280939,-5.437082157183183,-4.311543604219285,-2.160303075323132,0.0
2019-10-28,1.0,-0.9250481410161457,-1.037031550881351,-5.426455339949637,-4.312842541845652,-2.111094652644053,0.0
2019-10-29,1.0,-0.9065034655655508,-1.0325910632650053,-5.412623506857396,-4.307181831588261,-2.0883350538268695,0.0
2019-10-30,1.0,-0.8938902007083825,-1.0441263282172373,-5.4223730814639906,-4.309917355371901,-2.0876623376623376,0.0
2019-10-31,1.0,-0.9112470167064438,-1.0272971360381862,-5.514468973747017,-4.374105011933174,-2.0893496420047732,0.0
2019-11-01,1.0,-0.9056687992858204,-1.0199375092992113,-5.5023062044338635,-4.3755393542627585,-2.0752864157119473,0.0
2019-11-04,1.0,-0.9037069856741987,-0.9821296706542608,-5.502879929109437,-4.355634322847437,-2.024368630926008,0.0
