Date,IWF,IWM,MTUM,ON,SPY,VLUE,VXX
2018-09-24,-0.5346150979953797,-0.7861241523213354,-0.34872196139801775,1.0,-0.5042849690737015,-0.5523138832997988,0.0
2018-09-25,-0.5357395612172683,-0.7847431742839052,-0.3507282005438224,1.0,-0.5031102171564793,-0.55045256453235,0.0
2018-09-26,-0.5369409996242015,-0.7917324314167606,-0.34002254791431796,1.0,-0.515370161593386,-0.5738819992484029,0.0
2018-09-27,-0.5400938967136151,-0.783924882629108,-0.34230985915492956,1.0,-0.5157183098591549,-0.5738591549295775,0.0
2018-09-28,-0.5366834548598061,-0.7879801548522889,-0.34289258062091255,1.0,-0.5163496955573931,-0.5746448169585807,0.0
2018-10-01,-0.5358687883233645,-0.7905428281232366,-0.34337734642440654,1.0,-0.516457886619268,-0.5755558063423992,0.0
2018-10-02,-0.5363697908831051,-0.7843764104107116,-0.34553181886565365,1.0,-0.5178275913946141,-0.5769896193771625,0.0
2018-10-03,-0.5378024383799495,-0.76812742988714,-0.3416374136564375,1.0,-0.5311969199411165,-0.5958177631827275,0.0
2018-10-04,-0.5456882537522211,-0.7594041813163963,-0.34229329703980943,1.0,-0.5424369589051453,-0.5907905183168878,0.0
2018-10-05,-0.54413264342637,-0.7599048230539713,-0.33859576235978395,1.0,-0.5424708237338067,-0.5917588850700608,0.0
2018-10-08,-0.5433347168245104,-0.7584047089008792,-0.3371693770516545,1.0,-0.5431083273591669,-0.5911783571671132,0.0
2018-10-09,-0.548634747749792,-0.7607215793056501,-0.3464185765070721,1.0,-0.5403524695560095,-0.5857726344452009,0.0
2018-10-10,-0.5481893517992962,-0.762326408597268,-0.34513944072350244,1.0,-0.5405078139781284,-0.5878079237143831,0.0
2018-10-11,-0.5125602074842535,-0.7618006669136718,-0.2964801778436458,1.0,-0.5294553538347536,-0.6048165987402743,0.0
2018-10-12,-0.5408800384231721,-0.7673181364761518,-0.296190933609192,1.0,-0.5094764842797502,-0.5807071341485941,0.0
2018-10-15,-0.5318136549739958,-0.7823761572793331,-0.2829847663310095,1.0,-0.5086496256132197,-0.5827523883294603,0.0
2018-10-16,-0.530945706698141,-0.7856668633815284,-0.28046621422248447,1.0,-0.5087046326349954,-0.58262024195928,0.0
2018-10-17,-0.5179748679657621,-0.7539974503733381,-0.2672008741577126,1.0,-0.5087233655071935,-0.5944272445820433,0.0
2018-10-18,-0.5182500364272185,-0.7545898295206178,-0.2668658021273496,1.0,-0.5084875418913012,-0.5945286317936762,0.0
2018-10-19,-0.5180547466511357,-0.756260920209668,-0.26295864880605707,1.0,-0.5077897495631917,-0.5950058241118229,0.0
