Date,IWF,IWM,MTUM,SNA,SPY,VLUE,VXX
2018-09-24,-0.29968155878550934,-0.7060882176750639,-0.014787022732288676,1.0,-0.547718888923921,-0.5846076236718479,0.0
2018-09-25,-0.2989296877466612,-0.708521453604016,-0.012629053136741073,1.0,-0.5498374009408644,-0.5873456887569855,0.0
2018-09-26,-0.2984951947395043,-0.7087443095599393,-0.009831815882650481,1.0,-0.5518146181082448,-0.5925012645422357,0.0
2018-09-27,-0.30194343498182963,-0.7009638173487123,-0.012197819560752094,1.0,-0.5523463422341602,-0.5926370674672145,0.0
2018-09-28,-0.30054040388079517,-0.7021458142401162,-0.012767436715861329,1.0,-0.5521916379610025,-0.5925797174730588,0.0
2018-10-01,-0.3015551902895436,-0.7012264508787458,-0.012738652168415729,1.0,-0.552819572638766,-0.5925843975218107,0.0
2018-10-02,-0.30248727916311113,-0.6928984545368351,-0.01592870010429506,1.0,-0.5545968837900193,-0.5945450523055529,0.0
2018-10-03,-0.30259994939271256,-0.6823127530364372,-0.01410678137651822,1.0,-0.5604124493927126,-0.6035867914979757,0.0
2018-10-04,-0.30697924576056695,-0.6760630220197418,-0.014838015692229813,1.0,-0.5661857757529739,-0.5996899519109086,0.0
2018-10-05,-0.30439866017822154,-0.67695759337673,-0.00922707451178664,1.0,-0.5678442773178285,-0.6015610187701447,0.0
2018-10-08,-0.3029241979748273,-0.6744897637298508,-0.00675057569161856,1.0,-0.5693826693164253,-0.600927415538942,0.0
2018-10-09,-0.30240040374727944,-0.6746680124909314,-0.005393811311232376,1.0,-0.5700091473992999,-0.6018357884111915,0.0
2018-10-10,-0.3022206800832755,-0.6749416440603115,-0.004889281433348053,1.0,-0.5701848463819317,-0.602107122579017,0.0
2018-10-11,-0.26919507517168845,-0.6651611705747695,-0.0,1.0,-0.5564251685949391,-0.6026727711439708,0.0
2018-10-12,-0.27211570803901786,-0.6581353392655108,-0.0,1.0,-0.5410818579335229,-0.5864599578020365,0.0
