Date,HAS,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,1.0,-0.0,-0.32051718271520924,-0.0,-0.0,-0.0,-0.45516409415694886,-0.0,-0.5594358006743171,-0.07797952302885953,-0.0,-0.0,-0.0,-0.0,-0.38067988493303223,-0.0,-0.29942157196325275,-0.0,-0.0
2019-01-03,1.0,-0.0,-0.3111791921970739,-0.0,-0.016568713267475305,-0.0,-0.49593597599099665,-0.0,-0.5530198824559209,-0.06561835688383144,-0.0,-0.0,-0.0,-0.0,-0.3715768413154933,-0.0,-0.312242090784044,-0.0,-0.0
2019-01-04,1.0,-0.0,-0.3168104119313759,-0.0,-0.013793318180402902,-0.0,-0.4848833950867142,-0.0,-0.5410218887193697,-0.06784568919886665,-0.0,-0.0,-0.0,-0.0,-0.3762182021982128,-0.0,-0.31301180060404143,-0.0,-0.0
2019-01-07,1.0,-0.0,-0.28523855655122304,-0.0,-0.06296924194720271,-0.0,-0.5257326229111166,-0.0,-0.4997275369338823,-0.04050617582949867,-0.0,-0.0,-0.0,-0.0,-0.35108379752966823,-0.0,-0.2621094696052313,-0.0,-0.0
2019-01-08,1.0,-0.0,-0.34873007585762106,-0.0,-0.05838272780320014,-0.0,-0.5318018488375664,-0.0,-0.4776880316943583,-0.030987991769294555,-0.0,-0.0,-0.0,-0.0,-0.35250760111790175,-0.0,-0.2710911827032339,-0.0,-0.0
2019-01-09,1.0,-0.0,-0.35184387120605803,-0.0,-0.05747091054608139,-0.0,-0.5303515360462969,-0.0,-0.47777504155636275,-0.03198300806501262,-0.0,-0.0,-0.0,-0.0,-0.35270578095179467,-0.0,-0.2761189435449117,-0.0,-0.0
2019-01-10,1.0,-0.0,-0.35010469269614486,-0.0,-0.055979800468037945,-0.0,-0.5300221702180071,-0.0,-0.4785687892597611,-0.032824239438354476,-0.0,-0.0,-0.0,-0.0,-0.35533932750338715,-0.0,-0.27635792585293756,-0.0,-0.0
2019-01-11,1.0,-0.0,-0.34611027768422986,-0.0,-0.05847595138229801,-0.0,-0.523987386339283,-0.0,-0.468144383553256,-0.04038208370327282,-0.0,-0.0,-0.0,-0.0,-0.3667146312341181,-0.0,-0.2577534213023911,-0.0,-0.0
2019-01-14,1.0,-0.0,-0.3657593566347046,-0.0,-0.04942777605938757,-0.0,-0.5516857407980205,-0.0,-0.4580884627281164,-0.021280544386019177,-0.0,-0.0,-0.0,-0.0,-0.3999690689761832,-0.0,-0.24689143210640274,-0.0,-0.0
2019-01-15,1.0,-0.0,-0.34050586285223156,-0.0,-0.0868991343851679,-0.0,-0.5558659217877094,-0.0,-0.4477868500214869,-0.024065320154705628,-0.0,-0.0,-0.0,-0.0,-0.4148505126158757,-0.0,-0.19958254036466325,-0.0,-0.0
2019-01-16,1.0,-0.0,-0.3415773142032013,-0.0,-0.0846416172539863,-0.0,-0.5586961196964577,-0.0,-0.4451135211527236,-0.025407846631232908,-0.0,-0.0,-0.0,-0.0,-0.4160496482226797,-0.0,-0.20083566315401394,-0.0,-0.0
2019-01-17,1.0,-0.0,-0.32229064039408867,-0.0,-0.07626231527093597,-0.0,-0.5696120689655173,-0.0,-0.44310344827586207,-0.03799261083743843,-0.0,-0.0,-0.0,-0.0,-0.43703817733990147,-0.0,-0.19248768472906408,-0.0,-0.0
2019-01-18,1.0,-0.0,-0.3218754803996926,-0.0,-0.07597232897770946,-0.0,-0.5696848578016911,-0.0,-0.43812451960030746,-0.04012298232129132,-0.0,-0.0,-0.0,-0.0,-0.4379707916986933,-0.0,-0.19077632590315144,-0.0,-0.0
2019-01-22,1.0,-0.0,-0.34070173290061845,-0.0,-0.029116404384299795,-0.0,-0.5577123262506888,-0.0,-0.43129630763578464,-0.05379339905700814,-0.0,-0.0,-0.0,-0.0,-0.42737738044210394,-0.0,-0.22163370277386563,-0.0,-0.0
2019-01-23,1.0,-0.0,-0.34426481435947875,-0.0,-0.013123924268502583,-0.0,-0.5979223014507008,-0.0,-0.4333353823457094,-0.03393164494713548,-0.0,-0.0,-0.0,-0.0,-0.4078866486353578,-0.0,-0.2430538480452422,-0.0,-0.0
2019-01-24,1.0,-0.0,-0.33826956095168015,-0.0,-0.03246872700515085,-0.0,-0.5756377238165318,-0.0,-0.4487981358842286,-0.042709099828305126,-0.0,-0.0,-0.0,-0.0,-0.37966028942850133,-0.0,-0.24840569045867056,-0.0,-0.0
2019-01-25,1.0,-0.0,-0.37147968783737934,-0.0,-0.02473857922823036,-0.0,-0.5638668681945772,-0.0,-0.4374903605910115,-0.05549214966531972,-0.0,-0.0,-0.0,-0.0,-0.33205836083778034,-0.0,-0.2994540238748882,-0.0,-0.0
2019-01-28,1.0,-0.0,-0.37110761349257787,-0.0,-0.02592352559948153,-0.0,-0.5642378792087153,-0.0,-0.4339413017313212,-0.05582816405888343,-0.0,-0.0,-0.0,-0.0,-0.33311730395333766,-0.0,-0.30197821189396046,-0.0,-0.0
2019-01-29,1.0,-0.0,-0.37280227420202083,-0.0,-0.01785990173964095,-0.0,-0.5683033093347342,-0.0,-0.4384327781726045,-0.04656552235577666,-0.0,-0.0,-0.0,-0.0,-0.3541080863949572,-0.0,-0.2918765256620215,-0.0,-0.0
2019-01-30,1.0,-0.0,-0.3745327608044237,-0.0,-0.014889870563158382,-0.0,-0.5643013808655896,-0.0,-0.4270180099471749,-0.058570943128108496,-0.0,-0.0,-0.0,-0.0,-0.35547249080967536,-0.0,-0.29443019987025426,-0.0,-0.0
2019-01-31,1.0,-0.0,-0.3654035433070866,-0.0,-0.061546505905511806,-0.0,-0.545767716535433,-0.0,-0.4177842027559055,-0.05244217519685039,-0.0,-0.0,-0.0,-0.0,-0.3516547736220472,-0.0,-0.281126968503937,-0.0,-0.0
2019-02-01,1.0,-0.0,-0.3708081363386476,-0.0,-0.04859202247877344,-0.0,-0.588907213975933,-0.0,-0.4585547614684503,-0.0,-0.0,-0.0,-0.0,-0.0,-0.33113432288803374,-0.0,-0.2561847168774052,-0.0,-0.0
2019-02-04,1.0,-0.0,-0.3699337222442809,-0.0,-0.05024281481933967,-0.0,-0.5901774533459577,-0.0,-0.45850768150025967,-0.0,-0.0,-0.0,-0.0,-0.0,-0.3298005558779512,-0.0,-0.2556122293149263,-0.0,-0.0
2019-02-05,1.0,-0.0,-0.36520385742187494,-0.0,-0.047760009765625,-0.0,-0.588226318359375,-0.0,-0.465087890625,-0.0,-0.0,-0.0,-0.0,-0.0,-0.3280029296875,-0.0,-0.257476806640625,-0.0,-0.0
2019-02-06,1.0,-0.0,-0.3679570482901681,-0.0,-0.04542265336627925,-0.0,-0.5873219242854093,-0.0,-0.46209694640187915,-0.0,-0.0,-0.0,-0.0,-0.0,-0.3309844117019005,-0.0,-0.25676458924376927,-0.0,-0.0
2019-02-07,1.0,-0.0,-0.36724232623421005,-0.0,-0.046866418502471474,-0.0,-0.5870812229206078,-0.0,-0.4625617867822055,-0.0,-0.0,-0.0,-0.0,-0.0,-0.3304753768230915,-0.0,-0.2569719899920669,-0.0,-0.0
2019-02-08,1.0,-0.0,-0.36725852706083345,-0.0,-0.04551833546891207,-0.0,-0.5874977118799194,-0.0,-0.46320702910488737,-0.0,-0.0,-0.0,-0.0,-0.0,-0.3311062297882726,-0.0,-0.256238940752944,-0.0,-0.0
2019-02-11,1.0,-0.0,-0.3625336103642141,-0.0,-0.06960400879980445,-0.0,-0.5766927401613297,-0.0,-0.46550354436568075,-0.0,-0.0,-0.0,-0.0,-0.0,-0.32360669762894156,-0.0,-0.2575470545098998,-0.0,-0.0
2019-02-12,1.0,-0.0,-0.347265601077837,-0.0,-0.06470083899810154,-0.0,-0.5947394206626249,-0.0,-0.4704513442341846,-0.004562434931716578,-0.0,-0.0,-0.0,-0.0,-0.3196154081695144,-0.0,-0.2607324392185682,-0.0,-0.0
2019-02-13,1.0,-0.0,-0.34989616418275105,-0.0,-0.059675054971903244,-0.0,-0.6170596139750794,-0.0,-0.447898851698021,-0.0047947715612020525,-0.0,-0.0,-0.0,-0.0,-0.3143476667481065,-0.0,-0.26029196188614706,-0.0,-0.0
2019-02-14,1.0,-0.0,-0.3496441552887993,-0.0,-0.06252481749595283,-0.0,-0.6177952900210757,-0.0,-0.44702037325513916,-0.004245700846085708,-0.0,-0.0,-0.0,-0.0,-0.31445676410397383,-0.0,-0.25877393933840376,-0.0,-0.0
2019-02-15,1.0,-0.0,-0.3551290657228291,-0.0,-0.05830841520717642,-0.0,-0.6168609263440532,-0.0,-0.4451699517910539,-0.006804174040397877,-0.0,-0.0,-0.0,-0.0,-0.3045096723012144,-0.0,-0.26441691584792826,-0.0,-0.0
2019-02-19,1.0,-0.0,-0.27754840774523926,-0.0,-0.06973915826532245,-0.0,-0.6601376220195231,-0.0,-0.45956152984477516,-0.07322771643462954,-0.0,-0.0,-0.0,-0.0,-0.2974555928948632,-0.0,-0.36287405984957594,-0.0,-0.0
2019-02-20,1.0,-0.0,-0.27866119517825083,-0.0,-0.06825468068735574,-0.0,-0.6571556809438318,-0.0,-0.46268273916388825,-0.07271095152603232,-0.0,-0.0,-0.0,-0.0,-0.3000128238009746,-0.0,-0.3664721723518851,-0.0,-0.0
2019-02-21,1.0,-0.0,-0.2719298245614035,-0.0,-0.08983998457682668,-0.0,-0.6789730737099158,-0.0,-0.42664353190668985,-0.08158216052952895,-0.0,-0.0,-0.0,-0.0,-0.3117408906882591,-0.0010282115545273442,-0.3514555619818778,-0.0,-0.0
