Date,CVNA,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.5095512704991891,-2.4135880338799782,-0.28167237340061274,-2.024869345828077,-1.7809515227969004,0.0
2018-09-25,1.0,-1.5104448046101207,-2.4100486223662885,-0.2847109670448406,-2.0218800648298214,-1.7770574464253557,0.0
2018-09-26,1.0,-1.5104025938935421,-2.4104296136179406,-0.28334684319553277,-2.0228766999909933,-1.779428983157705,0.0
2018-09-27,1.0,-1.5267816818715565,-2.3934603920151747,-0.2922951856200885,-2.0327883660012644,-1.787191762261765,0.0
2018-09-28,1.0,-1.5224245718945368,-2.409712784271088,-0.2952795143607865,-2.038959862281417,-1.7940563558938116,0.0
2018-10-01,1.0,-1.5280878482620928,-2.4100190579907435,-0.2953988565205554,-2.044559397404483,-1.7972592794264453,0.0
2018-10-02,1.0,-1.5289624443029919,-2.431935982540693,-0.2920796580885696,-2.043921069382559,-1.796489951805038,0.0
2018-10-03,1.0,-1.5358480226504703,-2.4571193716321122,-0.2950041099643803,-2.0484975796876426,-1.7967850945291806,0.0
2018-10-04,1.0,-1.5438772714820566,-2.442881928590996,-0.2975070769792713,-2.058716098986394,-1.788695096338234,0.0
2018-10-05,1.0,-1.515476082418081,-2.4242534265226467,-0.2606880275937188,-2.072524280657166,-1.8039393664336933,0.0
2018-10-08,1.0,-1.512111040551574,-2.418670053524449,-0.2482082917536061,-2.0869091898757146,-1.8061326317699355,0.0
2018-10-09,1.0,-1.5165304268846502,-2.422343324250681,-0.2533151680290645,-2.0869209809264304,-1.803542234332425,0.0
2018-10-10,1.0,-1.5169121658483362,-2.427623204218949,-0.24977268594289873,-2.08983451536643,-1.808419712675032,0.0
2018-10-11,1.0,-1.3887589850177535,-2.3608729540140296,-0.10123841690482377,-2.016714298086083,-1.7927600242487225,0.0
2018-10-12,1.0,-1.3927631020130808,-2.328038732693451,-0.07738044678501656,-1.9658540728786207,-1.7298904272487896,0.0
2018-10-15,1.0,-1.3819291405322935,-2.344634683844719,-0.05238175962027462,-1.9669435497541956,-1.7300389896592643,0.0
2018-10-16,1.0,-1.4028752353243197,-2.3389525928461405,-0.07461920246448742,-1.9889611500941295,-1.751839808317645,0.0
2018-10-17,1.0,-1.3564613324405757,-2.235269501171744,-0.026447941078004685,-1.9794944760629394,-1.7719283562102444,0.0
2018-10-18,1.0,-1.357896499748786,-2.238486015742757,-0.02445151565901859,-1.9798191257745772,-1.7731535756154748,0.0
2018-10-19,1.0,-1.3297167467285076,-2.208133178731158,-0.0,-1.980205400033129,-1.764204074871625,0.0
2018-10-22,1.0,-1.3343606830487296,-2.238733860891295,-0.00941274468971262,-1.9807580174927113,-1.766597251145356,0.0
2018-10-23,1.0,-1.3456140350877193,-2.244945697577277,-0.02606516290726817,-1.9731829573934838,-1.7644110275689222,0.0
2018-10-24,1.0,-1.3491692410453369,-2.238791016114219,-0.008766803039158387,-1.979961593053352,-1.7726475745178258,0.0
2018-10-25,1.0,-1.2531887755102042,-2.09359056122449,-0.0,-1.9587850765306125,-1.6663743622448979,0.0
2018-10-26,1.0,-1.206341731418256,-2.051094890510949,-0.0,-1.9565183266619575,-1.6347225492504514,0.0
2018-10-29,1.0,-1.1685761047463175,-2.0571272698932273,-0.0,-1.934767360299275,-1.6330761437144414,0.0
2018-10-30,1.0,-1.1634465565596759,-2.056637581801184,-0.0,-1.9343253349953258,-1.636179495169835,0.0
2018-10-31,1.0,-1.1810632518432287,-2.0051222351571596,-0.0,-1.9420256111757859,-1.6328288707799767,0.0
2018-11-01,1.0,-1.1516066589237322,-2.023770809136663,-0.0,-1.9372822299651569,-1.6301974448315915,0.0
2018-11-02,1.0,-1.156294089982756,-2.0736008778805455,-0.0,-1.951716569995297,-1.6566076187490204,0.0
2018-11-05,1.0,-1.1436790668348045,-2.1366645649432536,-0.0,-1.9687894073139975,-1.632250945775536,0.0
2018-11-06,1.0,-1.151603498542274,-2.1425419588684895,-0.0,-1.9624143093530848,-1.6230399495705619,0.0
2018-11-07,1.0,-1.1530482977038798,-2.159065716547902,-0.0,-1.9704671417260493,-1.6350752177355503,0.0
2018-11-08,1.0,-1.0809602259355142,-2.1653722444496744,-0.0,-1.9482231113203108,-1.6504275515807643,0.0
2018-11-09,1.0,-1.091195731263643,-2.24302692214407,-0.0,-2.034036704664888,-1.7164685908319186,0.0
2018-11-12,1.0,-1.0855834136933462,-2.2130343940855033,-0.0,-2.0336708453873356,-1.7037929926068787,0.0
2018-11-13,1.0,-1.0533822006214644,-2.2011791889092502,-0.0,-2.0266911003107317,-1.686319815154171,0.0
2018-11-14,1.0,-1.0594249201277954,-2.2040734824281145,-0.0,-2.03370607028754,-1.6900958466453675,0.0
2018-11-15,1.0,-1.057482261022084,-2.2049748863908154,-0.0,-2.038427808339313,-1.6716893885035478,0.0
2018-11-16,1.0,-1.0512392755004767,-2.1896250397203687,-0.0,-2.031537972672387,-1.6717508738481093,0.0
2018-11-19,1.0,-1.0690177930264102,-2.1956435011569457,-0.0,-2.0348679486156547,-1.6794063671906168,0.0
2018-11-20,1.0,-1.0165452818239393,-2.178198226725776,-0.0,-2.0315864471184297,-1.6901519949335024,0.0
2018-11-21,1.0,-1.0281061614342752,-2.15869412041024,-0.0,-2.020590307680263,-1.6216237375714397,0.0
2018-11-23,1.0,-1.0311962470680218,-2.130023455824863,-0.0,-2.0323690383111805,-1.6250195465207191,0.0
