Date,IWF,IWM,KW,MTUM,SPY,VLUE,VXX
2018-09-24,-0.2524973266216322,-0.5706945567408258,1.0,-0.0,-0.424480321327039,-0.3605018126809421,0.0
2018-09-25,-0.25571145420404756,-0.5697371166284164,1.0,-0.0,-0.4238472772793657,-0.35862194867515124,0.0
2018-09-26,-0.25518428672040067,-0.5694498787072542,1.0,-0.0,-0.4240290059211728,-0.35978297728043407,0.0
2018-09-27,-0.2552886245663458,-0.5693194563998226,1.0,-0.0,-0.4240290059211728,-0.35980906174192034,0.0
2018-09-28,-0.25541294934001146,-0.5692857515521469,1.0,-0.0,-0.4240361037199353,-0.3599154797307873,0.0
2018-10-01,-0.25535523260364756,-0.5696506379314843,1.0,-0.0,-0.42400918412607297,-0.36008557935658936,0.0
2018-10-02,-0.25426121509986405,-0.5797343929729164,1.0,-0.0,-0.4221217191257973,-0.3581250653560598,0.0
2018-10-03,-0.25360690015682175,-0.5726607422895975,1.0,-0.0,-0.42467328802927345,-0.36275483533716674,0.0
2018-10-04,-0.2624750499001996,-0.566734951150331,1.0,-0.0,-0.43746717092131526,-0.35964912280701755,0.0
2018-10-05,-0.2744957346727258,-0.583937920221106,1.0,-0.0,-0.4406176087592017,-0.3584735177655532,0.0
2018-10-08,-0.2729516026321376,-0.5819624283591595,1.0,-0.0,-0.4409891742729781,-0.3574347272341329,0.0
2018-10-09,-0.27685236842804384,-0.5836720597221116,1.0,-0.0,-0.4406631067187375,-0.3554900241757658,0.0
2018-10-10,-0.27576942515893915,-0.5855877423988509,1.0,-0.0,-0.4408267496608411,-0.3579123773042854,0.0
2018-10-11,-0.23191819829148333,-0.5756665803779446,1.0,-0.0,-0.4229355423246182,-0.3581413409267409,0.0
2018-10-12,-0.23531367484207563,-0.5701644459220991,1.0,-0.0,-0.4098104907802869,-0.3421651620163167,0.0
2018-10-15,-0.21072405244460346,-0.595471158023871,1.0,-0.0,-0.4060111943159455,-0.3435734914509162,0.0
2018-10-16,-0.20654119572444124,-0.6028742392471743,1.0,-0.0,-0.4051040761008541,-0.34263284406484934,0.0
2018-10-17,-0.19518102687019048,-0.5811025608679198,1.0,-0.0,-0.40118582061309455,-0.3455784029267062,0.0
2018-10-18,-0.19552212434056085,-0.5823510109296514,1.0,-0.0,-0.40058560718883307,-0.34571017492490597,0.0
2018-10-19,-0.18814141971746168,-0.5777984091536397,1.0,-0.0,-0.4000200737711088,-0.34326148596090633,0.0
2018-10-22,-0.18863898790099903,-0.5786686078618405,1.0,-0.0,-0.3997188613886239,-0.3431397158491892,0.0
2018-10-23,-0.18777621534752914,-0.5788971474487746,1.0,-0.0,-0.40066291683406996,-0.3437374447569305,0.0
2018-10-24,-0.18663923939492763,-0.5778290645460703,1.0,-0.0,-0.4004967012016155,-0.34360183628929086,0.0
2018-10-25,-0.166239159643337,-0.5498961768657628,1.0,-0.0,-0.40354220105044586,-0.32319530963722976,0.0
2018-10-26,-0.15205542501392894,-0.5414113030207601,1.0,-0.0,-0.41089120903078896,-0.31803977616821294,0.0
2018-10-29,-0.1624185088966227,-0.5444586049703446,1.0,-0.0,-0.42451350423998824,-0.31946963384147836,0.0
2018-10-30,-0.13723892756628647,-0.5519676097368291,1.0,-0.0,-0.43247913889300355,-0.3470843825606083,0.0
2018-10-31,-0.13701305121613605,-0.5538609847735811,1.0,-0.0,-0.43311251730274863,-0.34785940280798894,0.0
2018-11-01,-0.13385204396690134,-0.5559095961467211,1.0,-0.0,-0.43265406940842294,-0.3476349265159936,0.0
2018-11-02,-0.13155916403548337,-0.5819175061394276,1.0,-0.0,-0.43469653686162485,-0.3577156317345762,0.0
2018-11-05,-0.1381416241861404,-0.5714682279311564,1.0,-0.0,-0.43872709836975726,-0.3752839045071418,0.0
2018-11-06,-0.1410693109277622,-0.5735624353442837,1.0,-0.0,-0.4365301642570585,-0.3720132213054777,0.0
2018-11-07,-0.14041769661504314,-0.5742571760076679,1.0,-0.0,-0.4355546587297584,-0.3720678000302679,0.0
2018-11-08,-0.12325715286990913,-0.575058199203985,1.0,-0.0,-0.42939748178928133,-0.37547873538761917,0.0
2018-11-09,-0.12257773771969355,-0.5751589805217565,1.0,-0.0,-0.4304741875719794,-0.3754443943718392,0.0
2018-11-12,-0.12210883505077472,-0.5667307068539634,1.0,-0.0,-0.4329199830335088,-0.37333765812520275,0.0
