Date,IWF,IWM,MTUM,NWLI,SPY,VLUE,VXX
2018-09-24,-0.17060482435725433,-0.7373435917093338,-0.0,1.0,-0.40593598554335625,-0.4241163102702407,0.0
2018-09-25,-0.1793033349815944,-0.7384759079171473,-0.0,1.0,-0.40717542992143285,-0.4221471347728147,0.0
2018-09-26,-0.17786583016895052,-0.7383192999834901,-0.0,1.0,-0.40850806229706677,-0.42691651532661934,0.0
2018-09-27,-0.1808507713036544,-0.7326147331371848,-0.0,1.0,-0.4091071575879231,-0.42717298649874885,0.0
2018-09-28,-0.17977064598630474,-0.7337678409372164,-0.0,1.0,-0.40917966064406125,-0.42732997827461977,0.0
2018-10-01,-0.18036303630363038,-0.7331133113311332,-0.0,1.0,-0.4094884488448845,-0.42731023102310234,0.0
2018-10-02,-0.1797174098658661,-0.7408488721183243,-0.0,1.0,-0.4080204919161594,-0.42567548957501306,0.0
2018-10-03,-0.17912502409074643,-0.7340381597422979,-0.0,1.0,-0.4102585281242257,-0.4298064480603508,0.0
2018-10-04,-0.1802619991193307,-0.7318912373403786,-0.0,1.0,-0.41135512989872297,-0.42861074416556577,0.0
2018-10-05,-0.16328992460589445,-0.7251816312542838,-0.0,1.0,-0.41644962302947225,-0.4366826593557231,0.0
2018-10-08,-0.16190684811478329,-0.7238575066400154,-0.0,1.0,-0.41647271432874244,-0.4358862024588593,0.0
2018-10-09,-0.16052019164955508,-0.723832991101985,-0.0,1.0,-0.41681040383299106,-0.4366598220396988,0.0
2018-10-10,-0.1626098622785642,-0.7230786080004381,-0.0,1.0,-0.4182843687539358,-0.4340278728472469,0.0
2018-10-11,-0.10654647947245266,-0.7164167198468411,-0.0,1.0,-0.3971229525632844,-0.43892256966602844,0.0
2018-10-12,-0.09883247352701602,-0.738175400488732,-0.0,1.0,-0.4179473255498235,-0.46024979636166163,0.0
2018-10-15,-0.05687151758021574,-0.7964482749155984,-0.0,1.0,-0.41956468037219,-0.4718524414679,0.0
2018-10-16,-0.04777694879659565,-0.8209124319544614,-0.0,1.0,-0.42139876758130923,-0.4731824587581862,0.0
2018-10-17,-0.02725909772386534,-0.7875971105356413,-0.0,1.0,-0.42251601471991274,-0.4885375494071146,0.0
2018-10-18,-0.028804897379136947,-0.7924899565466919,-0.0,1.0,-0.4216610641961138,-0.48995654669180944,0.0
2018-10-19,-0.014911614792321873,-0.7861945559049995,-0.0,1.0,-0.4211853378158551,-0.48888406897299647,0.0
2018-10-22,-0.015124410473247682,-0.7800726405377568,-0.0,1.0,-0.42394427278148206,-0.4912993982761425,0.0
2018-10-23,-0.018323259154853225,-0.780391944271271,-0.0,1.0,-0.4216789092781829,-0.4901742878052747,0.0
2018-10-24,-0.016452985661236548,-0.7821809015260348,-0.0,1.0,-0.42170601469113383,-0.49020139321822576,0.0
2018-10-25,-0.001010611419909045,-0.7643413738996303,-0.0,1.0,-0.41810058243131826,-0.47602457381452623,0.0
2018-10-26,-0.0,-0.7507710151039882,-0.0,1.0,-0.4194322165695759,-0.4657722012810713,0.0
2018-10-29,-0.0,-0.7529649454240134,-0.0,1.0,-0.40659109991603687,-0.46428946263643994,0.0
2018-10-30,-0.0,-0.7522035676810074,-0.0,1.0,-0.40550891920251836,-0.46558237145855197,0.0
2018-10-31,-0.0,-0.7386251107520717,-0.0,1.0,-0.4047532183249075,-0.46255277010475837,0.0
2018-11-01,-0.0,-0.7410579476232624,-0.0,1.0,-0.401598375592232,-0.4605872858853543,0.0
2018-11-02,-0.0,-0.7228104693608098,-0.0,1.0,-0.40818598389727395,-0.45786625935226655,0.0
2018-11-05,-0.0,-0.72851966873706,-0.0,1.0,-0.40763457556935817,-0.4518633540372671,0.0
2018-11-06,-0.0,-0.7336922758335059,-0.0,1.0,-0.40663180782770764,-0.4482035618140402,0.0
2018-11-07,-0.0,-0.73348855258052,-0.0,1.0,-0.40571724227137496,-0.44778165825895744,0.0
