Date,AVNS,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.48985257155718953,-0.9759537832464269,-0.11726750947218369,-0.6194995685936153,-0.548748921484038,0.0
2018-09-25,1.0,-0.4933403369226729,-0.9738115784339475,-0.12231268525119122,-0.6174914643754925,-0.5449667954826849,0.0
2018-09-26,1.0,-0.49395917754765123,-0.9745234879183552,-0.12363049677322528,-0.6171019060483266,-0.5428110460753415,0.0
2018-09-27,1.0,-0.49527665317138997,-0.9694856800119959,-0.12498125656020394,-0.6166591692907483,-0.5422477133003449,0.0
2018-09-28,1.0,-0.4924410098660765,-0.9729526953520652,-0.1257455827737555,-0.6171362118768053,-0.5430468544847508,0.0
2018-10-01,1.0,-0.493527447375333,-0.971820944805073,-0.12569884807324302,-0.6179505459457431,-0.5432066338974147,0.0
2018-10-02,1.0,-0.49467603081105566,-1.0027941398580273,-0.11822232291194681,-0.617920253738106,-0.5422141670442531,0.0
2018-10-03,1.0,-0.49454490543244367,-1.0014723092604478,-0.11838876514779718,-0.6180301257125599,-0.5426780927932349,0.0
2018-10-04,1.0,-0.4999622299441003,-0.9939190210001511,-0.11927783653119806,-0.625472125698746,-0.5384121468499774,0.0
2018-10-05,1.0,-0.4946333747599142,-0.993371747071894,-0.11094791548977517,-0.6273867359620382,-0.5396753662486349,0.0
2018-10-08,1.0,-0.49295245254651376,-0.9904529223830107,-0.1082127419657959,-0.6286412328509678,-0.5383950385265928,0.0
2018-10-09,1.0,-0.49340299966169227,-0.9908281020937488,-0.10893508250949141,-0.6282374168326881,-0.5375709506446642,0.0
2018-10-10,1.0,-0.4939691128395897,-0.990042460451659,-0.1095329350317514,-0.6283771089317252,-0.5356404764588736,0.0
2018-10-11,1.0,-0.4495674077319023,-0.9908005694885554,-0.047019311502938706,-0.615266673967802,-0.547950206257073,0.0
2018-10-12,1.0,-0.4515580941363604,-0.9877449208300195,-0.04121177066011135,-0.6024871665100138,-0.5321018003036657,0.0
2018-10-15,1.0,-0.43428323762054394,-1.0206595152959872,-0.014555567594900133,-0.6043269404413624,-0.537978112471557,0.0
2018-10-16,1.0,-0.4319233550253073,-1.0329356471438902,-0.00596529284164859,-0.6057483731019523,-0.5387201735357917,0.0
2018-10-17,1.0,-0.4150184974388162,-0.9979723961297667,-0.0,-0.6001707455890724,-0.5440381331815595,0.0
2018-10-18,1.0,-0.4141464455988046,-0.9961929837045472,-0.0,-0.6029673379349606,-0.5446879669821391,0.0
2018-10-19,1.0,-0.40120775505879863,-0.987851820461207,-0.0,-0.6016880319242858,-0.5406646184270933,0.0
2018-10-22,1.0,-0.4028736242347029,-0.9955055384506494,-0.0,-0.6005591534840924,-0.5400077856814242,0.0
2018-10-23,1.0,-0.4098929912833959,-0.9974842321593081,-0.0,-0.5971228119906455,-0.5388349514563107,0.0
2018-10-24,1.0,-0.41030018494807224,-1.0069355527102004,-0.0,-0.5998719590268886,-0.5395860008536065,0.0
2018-10-25,1.0,-0.37751724137931036,-0.9625517241379311,-0.0,-0.6023793103448277,-0.5058275862068965,0.0
