Date,ANTM,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.27845078122751993,-0.4398181451960982,-0.03968002762351452,-0.5278393232238943,-0.5916611515552614,0.0
2018-09-25,1.0,-0.2803636154421495,-0.43823715551464243,-0.04269029399919453,-0.5263218456935735,-0.5890915367355158,0.0
2018-09-26,1.0,-0.2799320119843282,-0.4384650841207652,-0.03987093800414842,-0.5282899285549666,-0.5942901590228163,0.0
2018-09-27,1.0,-0.28091893136803314,-0.43513933671119304,-0.04082220175034546,-0.5280400736987564,-0.5939083371718102,0.0
2018-09-28,1.0,-0.2822085889570552,-0.43474754457213627,-0.040986203519686626,-0.5282986261125032,-0.5940263256430197,0.0
2018-10-01,1.0,-0.281682426199262,-0.4368657749077491,-0.04142642988929889,-0.5282806734317342,-0.594614852398524,0.0
2018-10-02,1.0,-0.2830123399838542,-0.4264214046822743,-0.04538115557605813,-0.5309364548494984,-0.5974224426248415,0.0
2018-10-03,1.0,-0.28274590045822645,-0.42269229660797136,-0.045015706504510214,-0.5319749848698809,-0.599440906077985,0.0
2018-10-04,1.0,-0.2847760334149503,-0.4189543425032407,-0.04557107878438715,-0.5344087570214604,-0.5968889529022037,0.0
2018-10-05,1.0,-0.27631125903821874,-0.4121714679214966,-0.03666934465740847,-0.5397107769998852,-0.6043842534144381,0.0
2018-10-08,1.0,-0.2748531308210345,-0.4094855996561112,-0.0328413812867173,-0.5438888092849978,-0.604699813726895,0.0
2018-10-09,1.0,-0.2733344799908268,-0.4101020525169132,-0.028637770897832822,-0.546410962045637,-0.6081584680655888,0.0
2018-10-10,1.0,-0.2752767104433102,-0.4087572403509778,-0.030624534036818262,-0.547858003096863,-0.6049205711991742,0.0
2018-10-11,1.0,-0.2434967658835718,-0.39809033125192506,-0.0,-0.5408954722370005,-0.6176462352644695,0.0
2018-10-12,1.0,-0.24536819075576724,-0.38860117976127834,-0.0,-0.5292032457282118,-0.606220055941732,0.0
2018-10-15,1.0,-0.2340701851340149,-0.39607626416137054,-0.0,-0.5266095606521138,-0.6064106106659298,0.0
2018-10-16,1.0,-0.23861717733676546,-0.3914583852307011,-0.0,-0.5290486866506131,-0.6087353649422901,0.0
2018-10-17,1.0,-0.23797139141742527,-0.3908087319812965,-0.0,-0.5290374346346457,-0.6089699250200592,0.0
2018-10-18,1.0,-0.23728625975319573,-0.3894084444690388,-0.0,-0.5308228653643959,-0.6093464667146257,0.0
2018-10-19,1.0,-0.2222375082544574,-0.3771186440677966,-0.0,-0.5375027514858024,-0.6145993836671804,0.0
2018-10-22,1.0,-0.22287680660701997,-0.3792704748795595,-0.0,-0.5368479008947006,-0.6139022711631108,0.0
2018-10-23,1.0,-0.2203782323427248,-0.3803550752605172,-0.0,-0.5400562386282185,-0.616005954678282,0.0
