Date,CHUY,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.5798623853211009,-1.2603669724770643,-0.0,-0.9098165137614679,-0.8370642201834863,0.0
2018-09-25,1.0,-0.5969998070615474,-1.3427069264904496,-0.0,-0.9764615087786996,-0.9072930735095504,0.0
2018-09-26,1.0,-0.603385731559855,-1.3507134220072552,-0.0,-0.9797339782345829,-0.9029746070133011,0.0
2018-09-27,1.0,-0.6067822810492247,-1.3418192357857108,-0.0,-0.979614511376262,-0.9024684797835854,0.0
2018-09-28,1.0,-0.6096122231892467,-1.341311285175515,-0.0,-0.9807562131321922,-0.9034909583212455,0.0
2018-10-01,1.0,-0.6104292990540868,-1.349114722289595,-0.0,-0.983652680087315,-0.9076885762794082,0.0
2018-10-02,1.0,-0.6099922163845106,-1.3667542323409223,-0.0,-0.9820490367775832,-0.90591554777194,0.0
2018-10-03,1.0,-0.6102544145546529,-1.366201293963127,-0.0,-0.9820499100063239,-0.9060660602227952,0.0
2018-10-04,1.0,-0.6114244044725328,-1.3629557608167233,-0.0,-0.9827418570734079,-0.9043266893534273,0.0
2018-10-05,1.0,-0.5808837843099085,-1.354779053922523,-0.0,-1.0024819933813511,-0.9285088573097138,0.0
2018-10-08,1.0,-0.5763239875389408,-1.3510514018691586,-0.0,-1.0110494548286604,-0.9292250778816198,0.0
2018-10-09,1.0,-0.5684231126767455,-1.357600665394589,-0.0,-1.0222613630803856,-0.9443710553353882,0.0
2018-10-10,1.0,-0.5758854115569508,-1.359315216324929,-0.0,-1.0292848032963797,-0.9408417541450014,0.0
2018-10-11,1.0,-0.45186379588352465,-1.345916721995637,-0.0,-0.989708811533719,-0.9549938347718866,0.0
2018-10-12,1.0,-0.461851332398317,-1.337540906965872,-0.0,-0.9582047685834502,-0.9174848059841048,0.0
2018-10-15,1.0,-0.4352848027572074,-1.3568534302081876,-0.0,-0.9505379348889199,-0.9147221834101811,0.0
2018-10-16,1.0,-0.43613750698714365,-1.3559716787777156,-0.0,-0.950903670579467,-0.915082914104714,0.0
2018-10-17,1.0,-0.3990301033946381,-1.2933479732820936,-0.0,-0.9475249336627322,-0.9350352273767042,0.0
2018-10-18,1.0,-0.40029318796096935,-1.2973567272893856,-0.0,-0.9471345457877135,-0.9363232397269686,0.0
2018-10-19,1.0,-0.3771977524016676,-1.280179445350734,-0.0,-0.9438100416893239,-0.9302610114192497,0.0
2018-10-22,1.0,-0.38068388504910877,-1.2924699890869407,-0.0,-0.9435703892324482,-0.9303837759185157,0.0
2018-10-23,1.0,-0.3842062193126023,-1.2925531914893618,-0.0,-0.9407164939079833,-0.9288052373158757,0.0
2018-10-24,1.0,-0.38113618818400624,-1.2908133145633713,-0.0,-0.9403296853003952,-0.928840652104809,0.0
2018-10-25,1.0,-0.32402283323892106,-1.2149113251122052,-0.0,-0.9430476273475968,-0.8755065580199572,0.0
2018-10-26,1.0,-0.3028676912509659,-1.1911651068944793,-0.0,-0.9404567699836867,-0.8584614063707392,0.0
2018-10-29,1.0,-0.277953091684435,-1.1982942430703627,-0.0,-0.9274626865671642,-0.8606823027718551,0.0
2018-10-30,1.0,-0.277813312865123,-1.1982005031768368,-0.0,-0.9274231376060722,-0.8608161698861456,0.0
2018-10-31,1.0,-0.2795498773161858,-1.1787799306201878,-0.0,-0.9200016921905406,-0.8521871562737965,0.0
2018-11-01,1.0,-0.24854928205345422,-1.2079291795501714,-0.0,-0.9226566140031344,-0.8565377610233387,0.0
