Date,CLOU,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-12-13,1.0,-0.6450311802734711,-0.16771554436752675,-0.8451284398420962,-0.20270038331712342,-0.0,0.0
2019-12-16,1.0,-0.6483305652597217,-0.1638222324036424,-0.8488918160471909,-0.20247981215279767,-0.0,0.0
2019-12-17,1.0,-0.6477695699478898,-0.16388936608830096,-0.8487659623203343,-0.20280020615014602,-0.0,0.0
2019-12-18,1.0,-0.6471868289191124,-0.16481030780243378,-0.8481889763779528,-0.20309234073013602,-0.0,0.0
2019-12-19,1.0,-0.6491182795698924,-0.16756989247311826,-0.8480286738351255,-0.2026666666666667,-0.0,0.0
2019-12-20,1.0,-0.6481683196697815,-0.1676317147279711,-0.8468726709854956,-0.2038066846299375,-0.0,0.0
2019-12-23,1.0,-0.6488739900292247,-0.16858632743109278,-0.8442496132026818,-0.203455389375967,-0.0,0.0
2019-12-24,1.0,-0.6466997219913445,-0.16861081654294804,-0.8479837207302744,-0.20277435441804476,-0.0,0.0
2019-12-26,1.0,-0.6465361575281607,-0.16867780675857721,-0.8477170454871163,-0.20330190031241943,-0.0,0.0
2019-12-27,1.0,-0.6462967209355652,-0.16879729419857828,-0.8474833753726209,-0.20373767484521899,-0.0,0.0
2019-12-30,1.0,-0.6466085660225904,-0.1705177455421134,-0.8473424688951321,-0.2023393154062267,-0.0,0.0
2019-12-31,1.0,-0.6478562421185372,-0.16995299782185028,-0.8487618938438611,-0.19938667889487563,-0.0,0.0
2020-01-02,1.0,-0.6475477971737323,-0.16994869148966663,-0.8488548743084817,-0.20001719838335194,-0.0,0.0
2020-01-03,1.0,-0.6585918888665653,-0.16385867225395367,-0.8422261129129474,-0.20553371028386094,-0.0,0.0
2020-01-06,1.0,-0.6535229847150927,-0.16701557167847209,-0.85509449112443,-0.1920507011556881,-0.0,0.0
2020-01-07,1.0,-0.6659570795696451,-0.1631091421667338,-0.8488004142454404,-0.19883781140325643,-0.0,0.0
2020-01-08,1.0,-0.6668008858465875,-0.16278869107538324,-0.848341913773764,-0.19822255457447724,-0.0,0.0
2020-01-09,1.0,-0.6661968995369438,-0.16301878109810464,-0.8481405850038827,-0.19874025712560037,-0.0,0.0
2020-01-10,1.0,-0.6651145411169556,-0.16498519732114628,-0.8467419734988935,-0.19746486160213847,-0.0,0.0
2020-01-13,1.0,-0.6649422314192102,-0.16451112260734607,-0.8487095476231534,-0.19586710352359601,-0.0,0.0
2020-01-14,1.0,-0.6647028394068284,-0.16458788366478908,-0.8483446373146339,-0.1962581905966203,-0.0,0.0
2020-01-15,1.0,-0.6640705828256122,-0.16510518450396597,-0.848172203701575,-0.19654557995171862,-0.0,0.0
2020-01-16,1.0,-0.6653740089624268,-0.1637079168102953,-0.8429277260714696,-0.2005917499712743,-0.0,0.0
2020-01-17,1.0,-0.6651266894315475,-0.16075066716405062,-0.8420901604063243,-0.2015265861287268,-0.0,0.0
