Date,IWF,IWM,MTLS,MTUM,SPY,VLUE,VXX
2018-09-24,-0.7219233724887474,-1.6374464815018115,1.0,-0.06768031617082007,-1.088099681633549,-0.9739268854978592,0.0
2018-09-25,-0.7217424784115285,-1.6420988944502501,1.0,-0.06512293053187393,-1.0922391507617843,-0.9789890545074529,0.0
2018-09-26,-0.7219777802221977,-1.6424485755142448,1.0,-0.06572434275657243,-1.0919590804091959,-0.9777802221977779,0.0
2018-09-27,-0.7265084075173095,-1.6299593361907903,1.0,-0.0693482800307726,-1.092043081657325,-0.9773051983734476,0.0
2018-09-28,-0.7245054945054945,-1.6309340659340659,1.0,-0.07032967032967033,-1.0915384615384616,-0.9771978021978023,0.0
2018-10-01,-0.7246854568430305,-1.6302400966979835,1.0,-0.07076534256359542,-1.0914235481566945,-0.9770891709246744,0.0
2018-10-02,-0.7257249560632689,-1.6181348857644993,1.0,-0.07546133567662566,-1.0932557117750439,-0.9795144991212654,0.0
2018-10-03,-0.7348375651402594,-1.6490187382193147,1.0,-0.08021953653398381,-1.0994012639982258,-0.9803747643862956,0.0
2018-10-04,-0.7368887412083956,-1.6420224843550977,1.0,-0.08140887190563216,-1.1014564988647062,-0.976241900647948,0.0
2018-10-05,-0.7147430590053541,-1.6348733233979136,1.0,-0.054424021637136395,-1.1193354308108407,-0.9963570127504554,0.0
2018-10-08,-0.7116168852639699,-1.6300011021712772,1.0,-0.0466218450347184,-1.1265843712112862,-0.9960872919651713,0.0
2018-10-09,-0.7417956656346749,-1.6646777371235575,1.0,-0.07452856740782438,-1.144159864902899,-1.003771460737405,0.0
2018-10-10,-0.741826381059752,-1.6688275084554678,1.0,-0.07237880496054115,-1.1459977452085683,-1.007891770011274,0.0
2018-10-11,-0.6587968952134541,-1.6362656317378181,1.0,-0.0,-1.0992345838723587,-0.9960112117291937,0.0
2018-10-12,-0.6806623931623932,-1.6385149572649573,1.0,-0.0,-1.0676816239316238,-0.9550213675213675,0.0
2018-10-15,-0.6862146529562981,-1.6395137103684663,1.0,-0.0,-1.0726221079691518,-0.9572086546700943,0.0
2018-10-16,-0.6998599741490736,-1.6339939681171909,1.0,-0.0,-1.083746230073244,-0.9680094786729858,0.0
2018-10-17,-0.6694006309148264,-1.57055730809674,1.0,-0.0,-1.0595688748685592,-0.9580967402733964,0.0
2018-10-18,-0.6691106656820339,-1.5705770650912545,1.0,-0.0,-1.0711045468931322,-0.9640257411119316,0.0
2018-10-19,-0.6396472514125785,-1.5642393198500288,1.0,-0.0,-1.0958969213708611,-0.9808839837355441,0.0
2018-10-22,-0.6401161256268144,-1.5605172868830826,1.0,-0.0,-1.09622591712853,-0.9815254684613355,0.0
2018-10-23,-0.654298738471324,-1.5686420014841513,1.0,-0.0,-1.094296618255062,-0.9833032969362876,0.0
2018-10-24,-0.6511590981263894,-1.564464909495078,1.0,-0.0,-1.0936805335026993,-0.9833809675029109,0.0
2018-10-25,-0.5833975841685942,-1.4914417887432536,1.0,-0.0,-1.1298380878951426,-0.9353893600616808,0.0
2018-10-26,-0.5480182926829268,-1.4685467479674796,1.0,-0.0,-1.14369918699187,-0.9209857723577235,0.0
2018-10-29,-0.5034644385571633,-1.5082025677603423,1.0,-0.0,-1.1357754228652943,-0.9472692072549419,0.0
2018-10-30,-0.47237158805756135,-1.5186152506785477,1.0,-0.0,-1.1466687151124084,-0.9834588006350181,0.0
2018-10-31,-0.4748062996910923,-1.4854914670582873,1.0,-0.0,-1.1347546462753835,-0.9690079505747707,0.0
2018-11-01,-0.5230099502487562,-1.490205223880597,1.0,-0.0,-1.1696724709784412,-0.9994817578772803,0.0
2018-11-02,-0.5258054426024399,-1.5058388072150974,1.0,-0.0,-1.1732353247836513,-1.008341153164425,0.0
