Date,IWF,IWM,MTUM,PAC,SPY,VLUE,VXX
2018-09-24,-0.45385025110333277,-0.895982346674783,-0.01065286866534774,1.0,-0.7705828640998326,-0.6735656673261299,0.0
2018-09-25,-0.45412704450361346,-0.8953594522632178,-0.011373145682769113,1.0,-0.7700266260935716,-0.6728794218333967,0.0
2018-09-26,-0.45445209387242785,-0.8957437906507931,-0.012133429690768706,1.0,-0.7697691225134077,-0.6715225742649577,0.0
2018-09-27,-0.4646198495436667,-0.885095658150991,-0.01691679077404819,1.0,-0.7757666017489594,-0.6762515752090732,0.0
2018-09-28,-0.46731401483293833,-0.8845477482987997,-0.017164920865509598,1.0,-0.7767795703035402,-0.6771159874608151,0.0
2018-10-01,-0.4669092301800077,-0.888663347376484,-0.017962466487935657,1.0,-0.7774798927613942,-0.6789352738414401,0.0
2018-10-02,-0.47034906022247797,-0.8684311469121596,-0.02596854622171078,1.0,-0.7845032604526276,-0.6865746068277715,0.0
2018-10-03,-0.4718068954914094,-0.8759272783180229,-0.027212976130991277,1.0,-0.7841027020794096,-0.6845908444478609,0.0
2018-10-04,-0.47979817432500094,-0.868235565997766,-0.028232484689750797,1.0,-0.795131533335901,-0.6802372607171743,0.0
2018-10-05,-0.4704506232023011,-0.862588686481304,-0.01622243528283797,1.0,-0.800575263662512,-0.6852540747842762,0.0
2018-10-08,-0.4691912216083487,-0.8607658072437079,-0.009323204419889503,1.0,-0.8100061387354206,-0.6874616329036219,0.0
2018-10-09,-0.4695725577469112,-0.8609853426444631,-0.00974599033074975,1.0,-0.8098380784283631,-0.6868620980738239,0.0
2018-10-10,-0.46928746928746934,-0.8624078624078625,-0.008484336609336611,1.0,-0.8104269041769042,-0.6884981572481573,0.0
2018-10-11,-0.38758738658337055,-0.8470177004313552,-0.0,1.0,-0.7852893053696267,-0.6986836233824186,0.0
2018-10-12,-0.3884591414011805,-0.8350625068739231,-0.0,1.0,-0.7666165634050665,-0.6759907614473732,0.0
2018-10-15,-0.36585633339426066,-0.8532626576494242,-0.0,1.0,-0.7615061231950283,-0.6749771522573569,0.0
2018-10-16,-0.3631213450292397,-0.8573830409356725,-0.0,1.0,-0.7604897660818714,-0.6740131578947368,0.0
2018-10-17,-0.34524878749775467,-0.8218430034129693,-0.0,1.0,-0.7512125022453746,-0.67429495239806,0.0
2018-10-18,-0.3475064860190257,-0.8285528970884982,-0.0,1.0,-0.750684635341597,-0.6765638512539638,0.0
2018-10-19,-0.3428921392031126,-0.830607392463434,-0.0,1.0,-0.7525037826932777,-0.6765617119389005,0.0
2018-10-22,-0.3427583474408385,-0.8215970896516948,-0.0,1.0,-0.7568706551885603,-0.6806901271476427,0.0
2018-10-23,-0.345133062047607,-0.8215276027224603,-0.0,1.0,-0.7548705390903526,-0.6795707443552162,0.0
2018-10-24,-0.34310481260340986,-0.8185022660240271,-0.0,1.0,-0.7550895619020215,-0.6801668944680239,0.0
2018-10-25,-0.30989492728411383,-0.7692575325307911,-0.0,1.0,-0.7543316401085519,-0.6457796952195394,0.0
2018-10-26,-0.2922859895403248,-0.7547137352050646,-0.0,1.0,-0.757982383704927,-0.6356661161574456,0.0
2018-10-29,-0.27374473765273644,-0.7605845911626793,-0.0,1.0,-0.7494951569291851,-0.6388404011363248,0.0
