Date,DIS,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.25065320514446615,-0.44836508459957886,-0.02244996321757439,-0.41028893229496965,-0.4049618223789351,0.0
2018-09-25,1.0,-0.25970941960523963,-0.450067665909149,-0.031305058345887704,-0.4107959042974236,-0.4015524857646248,0.0
2018-09-26,1.0,-0.26111622201778595,-0.45205969538996216,-0.03391086578759072,-0.4105335786568537,-0.39780742103649186,0.0
2018-09-27,1.0,-0.26749993596803523,-0.4431524216889071,-0.037112926773045105,-0.41356965397126244,-0.39996926465691673,0.0
2018-09-28,1.0,-0.26876457473797505,-0.44258514209568717,-0.037183199651487586,-0.41385849370883837,-0.4001742562078774,0.0
2018-10-01,1.0,-0.268208863356586,-0.444347558473533,-0.03757180960196964,-0.4138028313500205,-0.4007232252769799,0.0
2018-10-02,1.0,-0.2680422954522123,-0.4493121856072272,-0.03639256749820347,-0.41294528282517196,-0.3997792834411251,0.0
2018-10-03,1.0,-0.26837734296660065,-0.43876790167896534,-0.034222096521224904,-0.4197670531972334,-0.4099966574962075,0.0
2018-10-04,1.0,-0.2723461172415567,-0.4333410499781362,-0.03472490161277876,-0.42518712863646885,-0.4066157368109679,0.0
2018-10-05,1.0,-0.2665145728127964,-0.42913537207454305,-0.027915203404168056,-0.4288277665273897,-0.41096101099689825,0.0
2018-10-08,1.0,-0.26638987134143216,-0.42908401250704803,-0.027500128145983904,-0.4289814957199241,-0.4109641703829002,0.0
2018-10-09,1.0,-0.2639808966260977,-0.43134083089405845,-0.019437169414060495,-0.434627432855749,-0.4182714527807734,0.0
2018-10-10,1.0,-0.2661460206545753,-0.4301752042336741,-0.02155371730976725,-0.43623799003236907,-0.41486410111493605,0.0
2018-10-11,1.0,-0.25339618815896187,-0.4266017842660178,-0.0019261962692619628,-0.4338503649635036,-0.41866889699918897,0.0
2018-10-12,1.0,-0.2563297498241736,-0.4214056063498443,-0.0,-0.42539937707223957,-0.4086707525369236,0.0
