Date,DHIL,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.20629881582262535,-0.5779793398841018,-0.0,-0.3872260015117158,-0.34802217183169565,0.0
2018-09-25,1.0,-0.2061032154016732,-0.5781423243624634,-0.0,-0.38738534421933274,-0.34830158250176396,0.0
2018-09-26,1.0,-0.22467233668536565,-0.6081999844893106,-0.0,-0.40451878085980925,-0.34772380632319105,0.0
2018-09-27,1.0,-0.22314285714285714,-0.6176363636363637,-0.0,-0.40667532467532463,-0.34997402597402594,0.0
2018-09-28,1.0,-0.2320146712077548,-0.6199895205658895,-0.0,-0.41278490961488085,-0.3550694262509825,0.0
2018-10-01,1.0,-0.2367817908796333,-0.6212228983903686,-0.0,-0.41826707763639714,-0.35814958244421613,0.0
2018-10-02,1.0,-0.23892826092683828,-0.613299259688595,-0.0,-0.421134441604974,-0.3611981979608504,0.0
2018-10-03,1.0,-0.23833350890129568,-0.6071315706309912,-0.0,-0.4231275676814495,-0.3649267881596966,0.0
2018-10-04,1.0,-0.23756629112688318,-0.6110656710904725,-0.0,-0.4220996807472098,-0.3677211683069048,0.0
2018-10-05,1.0,-0.22607416745456457,-0.6052894211576847,-0.0,-0.4241516966067865,-0.37081100955982776,0.0
2018-10-08,1.0,-0.2235272527069187,-0.6023385680203446,-0.0,-0.42605458406522817,-0.36979262249954126,0.0
2018-10-09,1.0,-0.2164589973920603,-0.6054635020152261,-0.0,-0.4328653091330576,-0.37949474460630644,0.0
2018-10-10,1.0,-0.21935789973114028,-0.6048816490062734,-0.0,-0.43507828562391276,-0.37656175865886443,0.0
2018-10-11,1.0,-0.16133251269426063,-0.5995281325332102,-0.0,-0.417628353079961,-0.38603374878186386,0.0
2018-10-12,1.0,-0.17048307341194371,-0.596855585140104,-0.0,-0.40174971472042603,-0.36670470394319765,0.0
2018-10-15,1.0,-0.14001779133307915,-0.6317448214512644,-0.0,-0.3990596009658152,-0.3707967975600457,0.0
2018-10-16,1.0,-0.13517708121310806,-0.6409016893954814,-0.0,-0.398254630571952,-0.36991145939344594,0.0
2018-10-17,1.0,-0.12775175054153445,-0.62661830638255,-0.0,-0.3943630043826507,-0.370056924084429,0.0
2018-10-18,1.0,-0.12681781458291255,-0.6254039587962028,-0.0,-0.4001464350636235,-0.3723742678246819,0.0
2018-10-19,1.0,-0.1133186350653906,-0.6170767149371148,-0.0,-0.402715839053966,-0.37230044595881145,0.0
2018-10-22,1.0,-0.11415101436918523,-0.6197055947037139,-0.0,-0.40203626150412514,-0.37184341851192415,0.0
2018-10-23,1.0,-0.11806025940141993,-0.6203557361832367,-0.0,-0.39953839592584234,-0.37071322846892957,0.0
2018-10-24,1.0,-0.11682676632138647,-0.6212786235609842,-0.0,-0.399588673471947,-0.37039452233452885,0.0
2018-10-25,1.0,-0.09254116730000975,-0.5902513884828997,-0.0,-0.40480366364610737,-0.34831433304102116,0.0
2018-10-26,1.0,-0.08618688334300638,-0.5832124201973302,-0.0,-0.4051799187463726,-0.34365931514799763,0.0
2018-10-29,1.0,-0.07661377699660511,-0.5863770977295163,-0.0,-0.4004767293477476,-0.3442804516890184,0.0
2018-10-30,1.0,-0.07685825046350918,-0.5863812573740097,-0.0,-0.4004719366256531,-0.34410440393922614,0.0
2018-10-31,1.0,-0.0777556456838417,-0.5809834649259641,-0.0,-0.39897765725119394,-0.3421248410089035,0.0
2018-11-01,1.0,-0.07562601938021683,-0.5823419361028495,-0.0,-0.3986376283219802,-0.34196008826633406,0.0
2018-11-02,1.0,-0.08060898200734978,-0.5602300386579487,-0.0,-0.40664821266644396,-0.33880589891662294,0.0
2018-11-05,1.0,-0.08135787438229607,-0.5585953352908879,-0.0,-0.40674162668003533,-0.34059060851297474,0.0
2018-11-06,1.0,-0.08552600162360918,-0.5620075450074017,-0.0,-0.4039444152619263,-0.33618260828040686,0.0
2018-11-07,1.0,-0.0880160204598644,-0.5685091803990638,-0.0,-0.4134195478562984,-0.34279923758052455,0.0
2018-11-08,1.0,-0.07374772531366727,-0.5683842543817642,-0.0,-0.40759984675797334,-0.34465089550809314,0.0
