Date,AAWW,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.46829622458857695,-0.9618828654404646,-0.1553323652791223,-0.723136495643756,-0.7249112616973217,0.0
2018-09-25,1.0,-0.4676950411888225,-0.9642222581166209,-0.15340817315457925,-0.7252059441124212,-0.7275884348247457,0.0
2018-09-26,1.0,-0.46837896777320087,-0.9651078265083596,-0.15491478878927387,-0.724820289152734,-0.725183749293272,0.0
2018-09-27,1.0,-0.4760344618371557,-0.9538081947983659,-0.15912308376815112,-0.7282692229907373,-0.7275816041742508,0.0
2018-09-28,1.0,-0.4748634984833165,-0.9544994944388271,-0.15967644084934277,-0.7279676440849343,-0.7274418604651163,0.0
2018-10-01,1.0,-0.47498483316481294,-0.9542972699696664,-0.15991911021233568,-0.7278867542972699,-0.7274014155712841,0.0
2018-10-02,1.0,-0.4761110885211239,-0.9839791810677835,-0.15284837148782174,-0.7274021062904078,-0.7258569511649656,0.0
2018-10-03,1.0,-0.47561372134612256,-0.9748414891887498,-0.15168265322711752,-0.730653552267924,-0.7315883596163225,0.0
2018-10-04,1.0,-0.4755884385544128,-0.9752022439936583,-0.1521200048782471,-0.7303142404162771,-0.7319809748363755,0.0
2018-10-05,1.0,-0.463519313304721,-0.9694712122439063,-0.1392420438901935,-0.7365373714470806,-0.7401409020973357,0.0
2018-10-08,1.0,-0.4678667426895821,-0.978740734707176,-0.14152480247617497,-0.7391870978252015,-0.7453368086666123,0.0
2018-10-09,1.0,-0.46756261453879044,-0.978985949908369,-0.14066381592343719,-0.7395235186316433,-0.7457544288332316,0.0
2018-10-10,1.0,-0.4764868025392583,-1.019253257601069,-0.12996992983628466,-0.7647009689274976,-0.7860006682258605,0.0
2018-10-11,1.0,-0.4269247940257316,-1.0145298104630869,-0.0660741101505743,-0.7503145419862819,-0.8007224319168798,0.0
2018-10-12,1.0,-0.4295853717218703,-1.0071377014997194,-0.05990857326168899,-0.7320955970807603,-0.7812174191996151,0.0
2018-10-15,1.0,-0.4221546098722927,-1.0177348973137434,-0.04880099283398054,-0.7319348252532126,-0.7827374994995796,0.0
2018-10-16,1.0,-0.42138339604515257,-1.020374669762229,-0.04679369145784966,-0.7318469297894484,-0.7825234168601394,0.0
2018-10-17,1.0,-0.40337260155234234,-0.9792364367046217,-0.028407076159331787,-0.7318466569481108,-0.7971317126984753,0.0
2018-10-18,1.0,-0.4028915852505515,-0.9786085723290261,-0.028561298455720138,-0.732351087299086,-0.7971162937283327,0.0
2018-10-19,1.0,-0.39122271767190797,-0.9694516154267386,-0.01642806852851443,-0.7356645544864273,-0.7986388171790659,0.0
2018-10-22,1.0,-0.39404724655819773,-0.9623357321652064,-0.009269399249061326,-0.7417474968710889,-0.8037781602002503,0.0
2018-10-23,1.0,-0.39537065999374416,-0.9616046293400062,-0.012707225523928683,-0.7384657491398187,-0.8017281826712543,0.0
2018-10-24,1.0,-0.3946555029539497,-0.9646308541022732,-0.011189796157909153,-0.7395438006181776,-0.8024961852967644,0.0
2018-10-25,1.0,-0.36585273086870534,-0.9215731020842842,-0.006808154571732846,-0.7366499315381104,-0.7725543891678077,0.0
2018-10-26,1.0,-0.357027037218598,-0.9105169878200536,-0.0,-0.7382631320939704,-0.7650740978166598,0.0
2018-10-29,1.0,-0.3260533945852318,-0.9314305079640021,-0.0,-0.7280566329028129,-0.7799450239108334,0.0
2018-10-30,1.0,-0.33932550322897387,-0.9343630801767437,-0.0,-0.7304656520261339,-0.7723856641111824,0.0
2018-10-31,1.0,-0.3495218733529102,-0.9077253218884119,-0.0,-0.7359385588434605,-0.7715909946540169,0.0
2018-11-01,1.0,-0.3819598258611472,-0.9007103032154586,-0.0,-0.7520048881081495,-0.784159474528374,0.0
2018-11-02,1.0,-0.3825493113578268,-0.8975239403303955,-0.0,-0.751974361909122,-0.7831063294036854,0.0
2018-11-05,1.0,-0.37326888402961594,-0.9360110484520658,-0.0,-0.7619979284152376,-0.7650285801971841,0.0
