Date,AZN,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2302249499125054,-0.4695036899901093,-0.03248712941594177,-0.42583246684081055,-0.3780274403388197,0.0
2018-09-25,1.0,-0.23240008115236355,-0.46802089673361735,-0.03573240008115236,-0.4243761412051126,-0.3754818421586529,0.0
2018-09-26,1.0,-0.23837521409033974,-0.4783097727447021,-0.041872235997852704,-0.42792504920882435,-0.3698202919297528,0.0
2018-09-27,1.0,-0.2430973156938509,-0.4705596356099183,-0.04449960336753755,-0.4297192865733514,-0.37104327132219345,0.0
2018-09-28,1.0,-0.24811856265892687,-0.4707317699637839,-0.04405003467495441,-0.4323838389027303,-0.37323093519636297,0.0
2018-10-01,1.0,-0.24917131330780892,-0.46997456124572806,-0.04391397075828044,-0.43312691111853424,-0.3733843821466197,0.0
2018-10-02,1.0,-0.24934470884514573,-0.46921416456802184,-0.04448270545305032,-0.433160302204862,-0.3735673536516421,0.0
2018-10-03,1.0,-0.24917114292323111,-0.46176977049011797,-0.04328047495438074,-0.4366341977434527,-0.3792438767380298,0.0
2018-10-04,1.0,-0.24901013009718723,-0.462539209132514,-0.04350285391062889,-0.43623695171491744,-0.37980151180130606,0.0
2018-10-05,1.0,-0.24663895730706073,-0.46169437602627256,-0.03958846469622332,-0.4375,-0.3802596469622332,0.0
2018-10-08,1.0,-0.24649206064181822,-0.46168842828925427,-0.03922222507246748,-0.437601005566529,-0.3802170176743708,0.0
2018-10-09,1.0,-0.2524299378657798,-0.4654394513625699,-0.04828937530615928,-0.43617706963673397,-0.37587335963080415,0.0
2018-10-10,1.0,-0.25262886597938145,-0.4649226804123711,-0.04853092783505154,-0.43626288659793816,-0.37497422680412373,0.0
2018-10-11,1.0,-0.22021851061157854,-0.46404621373854077,-0.00391812131106367,-0.432676127087781,-0.39078236845410025,0.0
2018-10-12,1.0,-0.22333664349553128,-0.4578699106256207,-0.001564051638530288,-0.4220705064548163,-0.3778053624627607,0.0
2018-10-15,1.0,-0.19489501442929646,-0.4910936411583242,-0.0,-0.41986764852224107,-0.38197830629913426,0.0
2018-10-16,1.0,-0.1897621123427575,-0.5009839332419977,-0.0,-0.4190808319840578,-0.38114335533690374,0.0
2018-10-17,1.0,-0.19304796752042505,-0.5092476567590597,-0.0,-0.42195879905769135,-0.38188561976843266,0.0
2018-10-18,1.0,-0.19232408312651977,-0.5078589155448597,-0.0,-0.424205961244391,-0.38244215487202626,0.0
2018-10-19,1.0,-0.18302882461293374,-0.500547617862299,-0.0,-0.42470254393388757,-0.38089311494996764,0.0
2018-10-22,1.0,-0.1828867417073414,-0.4929275824285288,-0.0,-0.42930072716406015,-0.3851728259786832,0.0
2018-10-23,1.0,-0.1869643213075543,-0.4936964321307554,-0.0,-0.4267988837950967,-0.38406916483954556,0.0
2018-10-24,1.0,-0.18572353029020858,-0.4902931952809995,-0.0,-0.4273731893075812,-0.3855343720444024,0.0
2018-10-25,1.0,-0.1793416572077185,-0.48265311158268764,-0.0,-0.4261708532793762,-0.3794107486551843,0.0
2018-10-26,1.0,-0.16427119806077226,-0.4747680027423422,-0.0,-0.4348816140642981,-0.3745990548713303,0.0
2018-10-29,1.0,-0.14773087521642647,-0.48296632282293267,-0.0,-0.4279269393030458,-0.37998390518691927,0.0
2018-10-30,1.0,-0.14005998390675672,-0.4832849723244983,-0.0,-0.4284947940796372,-0.38650605934993054,0.0
2018-10-31,1.0,-0.14203939070534588,-0.4732948481614437,-0.0,-0.4267003007664694,-0.383501503832347,0.0
2018-11-01,1.0,-0.13846004701776496,-0.47567921281597636,-0.0,-0.42618937980174987,-0.38326749230508234,0.0
