Date,GPRO,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.1523407844791227,-2.552172079291438,-0.0415858287642345,-1.8280050611556307,-1.8610712779417966,0.0
2018-09-25,1.0,-1.1534766118836917,-2.548166877370417,-0.0450906026127265,-1.8246944795617361,-1.8568057311420143,0.0
2018-09-26,1.0,-1.1672464997878658,-2.570895205770047,-0.057276198557488334,-1.8360627916843444,-1.8538820534577853,0.0
2018-09-27,1.0,-1.202493551160791,-2.5726569217540844,-0.0709372312983663,-1.8697334479793637,-1.8827171109200342,0.0
2018-09-28,1.0,-1.2192504111486195,-2.5834848091404834,-0.07262182982775037,-1.8846187137540034,-1.8957846446810354,0.0
2018-10-01,1.0,-1.2221548588255675,-2.582106357179976,-0.07318551879438766,-1.8868872336739997,-1.8965875627923092,0.0
2018-10-02,1.0,-1.2271348071087995,-2.555093194625054,-0.08478543563068922,-1.89605548331166,-1.906198526224534,0.0
2018-10-03,1.0,-1.2270007803693748,-2.534726437180265,-0.08219890748287523,-1.9054018902280412,-1.9213561085580508,0.0
2018-10-04,1.0,-1.318667390910737,-2.607640774941155,-0.10112257830889008,-2.0394713018287165,-1.9862393626652182,0.0
2018-10-05,1.0,-1.297751798561151,-2.5957733812949644,-0.07257194244604318,-2.0392985611510794,-1.9875000000000003,0.0
2018-10-08,1.0,-1.2922276072518397,-2.5869682283252557,-0.06031233171782445,-2.0490037695207324,-1.9865374259558428,0.0
2018-10-09,1.0,-1.2892324285457488,-2.5925759482293724,-0.04745640841272695,-2.059230630954521,-1.9995506021930614,0.0
2018-10-10,1.0,-1.2912271210891715,-2.6043638986565685,-0.043368496979532954,-2.066269948606979,-2.0110900730321886,0.0
2018-10-11,1.0,-1.0745602745602745,-2.5378807378807378,-0.0,-1.9656799656799657,-2.001887601887602,0.0
2018-10-12,1.0,-1.1715772759350742,-2.6406139731827802,-0.0,-1.9958539167254763,-2.013408609738885,0.0
2018-10-15,1.0,-1.1326960182424135,-2.6562883704613225,-0.0,-1.9786002455709524,-2.0028942290826173,0.0
2018-10-16,1.0,-1.121506897771489,-2.715599575521755,-0.0,-1.9912451361867705,-2.0149451715599573,0.0
2018-10-17,1.0,-1.0418848167539267,-2.5746287872285643,-0.0,-1.9520212857265469,-2.0144193631447944,0.0
2018-10-18,1.0,-1.042332131203847,-2.5769362871372143,-0.0,-1.9521724197149237,-2.01528421775717,0.0
2018-10-19,1.0,-0.9897266089319069,-2.5384615384615388,-0.0,-1.9520292069960945,-2.010188487009679,0.0
2018-10-22,1.0,-0.9895691994572592,-2.523236092265943,-0.0,-1.9548846675712348,-2.0126356852103124,0.0
2018-10-23,1.0,-0.9933039498220038,-2.5222071537548736,-0.0,-1.9505848448889642,-2.009832174944906,0.0
2018-10-24,1.0,-0.994295930529542,-2.52136897667291,-0.0,-1.9666269368295592,-2.031244679039673,0.0
2018-10-25,1.0,-0.8872735938989514,-2.315220845249444,-0.0,-1.8675722910708612,-1.8740069907848746,0.0
2018-10-26,1.0,-0.8335938721275598,-2.2698139753009223,-0.0,-1.8713459434109738,-1.8414881975926216,0.0
2018-10-29,1.0,-0.7768447243604696,-2.295777933286681,-0.0,-1.8465904673042532,-1.8562320192831039,0.0
2018-10-30,1.0,-0.7677128651336234,-2.2942044748290864,-0.0,-1.8453231821006835,-1.8615599751398384,0.0
2018-10-31,1.0,-0.7658906417521826,-2.237861847143513,-0.0,-1.8207995098790013,-1.833588604686782,0.0
2018-11-01,1.0,-0.7506301076911328,-2.242877873672955,-0.0,-1.815015657221416,-1.8292217215305888,0.0
2018-11-02,1.0,-0.7512725062675683,-2.219478842209223,-0.0,-1.8083263693686848,-1.8178986553217353,0.0
2018-11-05,1.0,-1.0257330415754924,-2.3912472647702407,-0.0,-2.124551422319475,-2.2111159737417942,0.0
2018-11-06,1.0,-1.0268638431921595,-2.3909695484774236,-0.0,-2.123206160308015,-2.209397969898495,0.0
2018-11-07,1.0,-1.0236763934999125,-2.3886947405207057,-0.0,-2.118119867202516,-2.2061855670103094,0.0
2018-11-08,1.0,-0.9431111878453039,-2.3871719613259668,-0.0,-2.0866712707182318,-2.215728591160221,0.0
