Date,AMSC,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.500664282064384,-3.0256515074093,-0.3238630556974962,-2.2427184466019416,-2.126928972917731,0.0
2018-09-25,1.0,-1.5010743886217128,-3.0310037859408574,-0.32139568198096796,-2.2470070602680856,-2.1317916709301135,0.0
2018-09-26,1.0,-1.5147648935075624,-3.053503446856672,-0.33347052165860686,-2.2581541310834448,-2.1291285111637,0.0
2018-09-27,1.0,-1.5518892474237536,-3.0554803788903926,-0.34849588841469764,-2.293431872592901,-2.1596752368064953,0.0
2018-09-28,1.0,-1.5504682622268469,-3.0547346514047864,-0.3497398543184183,-2.292195629552549,-2.158792924037461,0.0
2018-10-01,1.0,-1.5539935436842653,-3.0537332083723836,-0.3502030615432677,-2.295220243673852,-2.160262417994377,0.0
2018-10-02,1.0,-1.5542833350681795,-3.0454876652440928,-0.3540126990735922,-2.294785052565837,-2.160403872176538,0.0
2018-10-03,1.0,-1.55192847489344,-3.025158540388814,-0.3519076827113005,-2.2983678137020482,-2.168832518972866,0.0
2018-10-04,1.0,-1.5526944242550098,-3.0160938635655694,-0.3529228532862631,-2.2984113799190116,-2.1630152632125426,0.0
2018-10-05,1.0,-1.5152236951118474,-3.0024855012427505,-0.30633802816901406,-2.3307787903893953,-2.201532725766363,0.0
2018-10-08,1.0,-1.5114906832298136,-2.996997929606625,-0.29275362318840575,-2.34648033126294,-2.2043478260869565,0.0
2018-10-09,1.0,-1.5156509121061361,-3.001762023217247,-0.29695273631840796,-2.34742951907131,-2.203047263681592,0.0
2018-10-10,1.0,-1.517716535433071,-2.9985495234148365,-0.29941980936593454,-2.348217985909656,-2.1966431827600497,0.0
2018-10-11,1.0,-1.336076817558299,-2.9302371154223006,-0.08436213991769548,-2.258377425044092,-2.1890064667842446,0.0
2018-10-12,1.0,-1.338570607396053,-2.89020885227055,-0.05815290285495305,-2.1868173979689596,-2.1066296225330525,0.0
2018-10-15,1.0,-1.294684607309858,-2.951808378662086,-0.0,-2.1833190189903617,-2.1131787384292395,0.0
2018-10-16,1.0,-1.282959124928037,-3.000671656112071,-0.0,-2.190846286701209,-2.120610247553253,0.0
2018-10-17,1.0,-1.2142111754103024,-2.89488663314676,-0.0,-2.20102457072384,-2.176643582202827,0.0
2018-10-18,1.0,-1.2143332382853342,-2.8944967208440264,-0.0,-2.213097614295219,-2.1828723505370213,0.0
2018-10-19,1.0,-1.1672841265317755,-2.8800227985180964,-0.0,-2.245369051011684,-2.206706564073335,0.0
2018-10-22,1.0,-1.1677431610942248,-2.859612462006079,-0.0,-2.2552241641337387,-2.2159004559270516,0.0
2018-10-23,1.0,-1.1671143514965465,-2.8891980046047583,-0.0,-2.29048349961627,-2.2464504988488105,0.0
2018-10-24,1.0,-1.1603294703572453,-2.8782683650991285,-0.0,-2.2901063116559714,-2.2489225170002873,0.0
2018-10-25,1.0,-1.0211933782062943,-2.6935601237038385,-0.0,-2.265690376569038,-2.1154265963252685,0.0
2018-10-26,1.0,-0.9603017783366266,-2.6517873181246636,-0.0,-2.281839410813724,-2.0874797916292436,0.0
2018-10-29,1.0,-0.8962466487935657,-2.681590705987489,-0.0,-2.2553172475424486,-2.103485254691689,0.0
2018-10-30,1.0,-0.8872321428571428,-2.679642857142857,-0.0,-2.2536607142857146,-2.1080357142857142,0.0
2018-10-31,1.0,-0.891348443425346,-2.609753946556134,-0.0,-2.2359114560366873,-2.082106005820619,0.0
2018-11-01,1.0,-0.8399258343634117,-2.6599858732120785,-0.0,-2.239537347695568,-2.0897051033021365,0.0
2018-11-02,1.0,-1.045002866424613,-2.8698643225683167,-0.0,-2.3675711828778905,-2.2723103382381042,0.0
2018-11-05,1.0,-1.0360057609217475,-2.9277004320691313,-0.0,-2.383869419107057,-2.253960633701392,0.0
2018-11-06,1.0,-1.060816681146829,-2.9592624770730764,-0.0,-2.3862341924896224,-2.2471281011680664,0.0
2018-11-07,1.0,-1.058585078660361,-2.9617797509892867,-0.0,-2.383843258372744,-2.2473699449860054,0.0
2018-11-08,1.0,-1.1876491646778042,-2.996022275258552,-0.0,-2.4516706443914082,-2.308969769291965,0.0
2018-11-09,1.0,-1.1865486021291414,-2.9975126853049447,-0.0,-2.4553775743707096,-2.30991941100388,0.0
2018-11-12,1.0,-1.176766679826293,-2.948183971575207,-0.0,-2.4539084090011842,-2.290860639557837,0.0
2018-11-13,1.0,-1.107604300226847,-2.964394910740704,-0.0,-2.48564947233455,-2.3052569286911924,0.0
2018-11-14,1.0,-1.1154226885765195,-2.9725796871906556,-0.0,-2.497426252227282,-2.3136012670758266,0.0
2018-11-15,1.0,-1.116445861141548,-2.9928279709134378,-0.0,-2.5142942524155796,-2.337583424643889,0.0
2018-11-16,1.0,-1.1037838911510578,-2.965835733439269,-0.0,-2.510974277485351,-2.350878935346112,0.0
2018-11-19,1.0,-1.1065541211519365,-2.964746772591857,-0.0,-2.5092353525322744,-2.3500496524329693,0.0
2018-11-20,1.0,-1.001962708537782,-2.9299313052011775,-0.0,-2.5010794896957798,-2.3805691854759568,0.0
2018-11-21,1.0,-0.9987434757394162,-2.8952252078097813,-0.0,-2.471776531993041,-2.2998260197177656,0.0
2018-11-23,1.0,-1.003866228494104,-2.863425478445776,-0.0,-2.4905277401894454,-2.307848443843031,0.0
