Date,CFFN,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.08796723209881839,-0.5198044219510626,-0.0174347537046171,-0.25245008685209414,-0.26683965602281745,0.0
2018-09-25,1.0,-0.08700698549167114,-0.522622246104245,-0.014701773240193445,-0.2549596990865126,-0.27009134873723806,0.0
2018-09-26,1.0,-0.08767064387831881,-0.5235085456304418,-0.016123831022250887,-0.254649037944749,-0.2678920778243577,0.0
2018-09-27,1.0,-0.08771741233633609,-0.523445058370778,-0.016189022423838496,-0.25465998753036784,-0.2679250962096618,0.0
2018-09-28,1.0,-0.08542886668963141,-0.5267611091973821,-0.016620737168446434,-0.2553608336203927,-0.26873062349293836,0.0
2018-10-01,1.0,-0.08511050794881737,-0.5277670070225324,-0.016888544224721035,-0.25530998233596136,-0.2690965490500194,0.0
2018-10-02,1.0,-0.08516234746237765,-0.5321676512440171,-0.01569574403863568,-0.2546677590444569,-0.2682937346384373,0.0
2018-10-03,1.0,-0.08533350585495245,-0.5326604990187833,-0.0158935541610058,-0.25457721420715534,-0.2680339004981562,0.0
2018-10-04,1.0,-0.08385639510891991,-0.5438177355949873,-0.015224898464478855,-0.2531980974306626,-0.27576395977673046,0.0
2018-10-05,1.0,-0.07435692187871838,-0.5405317698981027,-0.007398913960582394,-0.2583994980853688,-0.2827380308504424,0.0
2018-10-08,1.0,-0.07336357744653273,-0.5392309354072155,-0.0059408079498811835,-0.2594296824368114,-0.2823287967163534,0.0
2018-10-09,1.0,-0.06779845467406681,-0.5444335618674502,-0.0,-0.2692567199912939,-0.2950048971596474,0.0
2018-10-10,1.0,-0.06849136242983335,-0.5439493494625995,-0.0,-0.2696357860841565,-0.29365562856272576,0.0
2018-10-11,1.0,-0.03138613230200387,-0.541150470685735,-0.0,-0.25567904120359547,-0.2967551371682356,0.0
2018-10-12,1.0,-0.024472987966202953,-0.5478364769138858,-0.0,-0.2597507894512247,-0.3015703678415977,0.0
2018-10-15,1.0,-0.0,-0.5875400253583477,-0.0,-0.255431629166398,-0.3060408742182967,0.0
