Date,COMM,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.6967702003151024,-1.4314089579113214,-0.1551316677920324,-1.1689173981544003,-1.174544226873734,0.0
2018-09-25,1.0,-0.6972440944881889,-1.430033745781777,-0.15641169853768278,-1.1677727784026997,-1.17289088863892,0.0
2018-09-26,1.0,-0.6976940382452193,-1.430596175478065,-0.1574240719910011,-1.1674353205849268,-1.1712035995500563,0.0
2018-09-27,1.0,-0.701079015398449,-1.4205912105204002,-0.1602225469259301,-1.1673597841969203,-1.1705631111610657,0.0
2018-09-28,1.0,-0.6984475194060075,-1.4251884351445607,-0.16126673416582293,-1.1682416469794128,-1.1717853526830915,0.0
2018-10-01,1.0,-0.7019758817867859,-1.4395063126309233,-0.16486440582007586,-1.1750552001358772,-1.1801505972937778,0.0
2018-10-02,1.0,-0.7041732999772572,-1.4644075506026837,-0.16079144871503295,-1.1759153968614964,-1.1803502387991813,0.0
2018-10-03,1.0,-0.70324926153147,-1.4562031356509886,-0.1599636446262213,-1.177346057714156,-1.1837082481254262,0.0
2018-10-04,1.0,-0.706363171936198,-1.448884600102174,-0.1609808707498439,-1.1807912811488903,-1.1792586706022592,0.0
2018-10-05,1.0,-0.6859532150525482,-1.4394846875353147,-0.13741665724940672,-1.192790145779184,-1.1947677703695332,0.0
2018-10-08,1.0,-0.6912240840670264,-1.4498153933541609,-0.13984663447884121,-1.1978983243396761,-1.201476853166714,0.0
2018-10-09,1.0,-0.6896336268105652,-1.4504402158477705,-0.1357568872479409,-1.1999431979551263,-1.2044305595001419,0.0
2018-10-10,1.0,-0.6896080996530346,-1.4543541323019167,-0.13366702690404414,-1.201865650418065,-1.2085205619703088,0.0
2018-10-11,1.0,-0.6057220708446867,-1.4328610354223434,-0.02670299727520436,-1.170408719346049,-1.2139509536784743,0.0
2018-10-12,1.0,-0.6069227884048652,-1.417992820018218,-0.011895193698762258,-1.1408133740556181,-1.180624765578953,0.0
2018-10-15,1.0,-0.571596683605242,-1.4571275742177052,-0.0,-1.1360791655522866,-1.18422037978069,0.0
2018-10-16,1.0,-0.566108406014233,-1.4672267108994597,-0.0,-1.1345711381026273,-1.1828348226229333,0.0
2018-10-17,1.0,-0.5275351707546677,-1.4025940065896134,-0.0,-1.11678259505256,-1.182940222791695,0.0
2018-10-18,1.0,-0.5274794362655211,-1.4015822287420756,-0.0,-1.1238015403153978,-1.1863048147954103,0.0
2018-10-19,1.0,-0.49864864864864866,-1.3838357588357588,-0.0,-1.1274428274428274,-1.1876299376299377,0.0
2018-10-22,1.0,-0.49893512025349335,-1.3792530258168407,-0.0,-1.128149187055218,-1.1881980156874967,0.0
2018-10-23,1.0,-0.5044431741412462,-1.3803460998804762,-0.0,-1.1251364132411787,-1.1867692147794002,0.0
2018-10-24,1.0,-0.500908383078121,-1.375084349857254,-0.0,-1.1255644951985466,-1.1891513106670126,0.0
2018-10-25,1.0,-0.4391529131039968,-1.2930503082123683,-0.0,-1.1088188506661363,-1.1301451580831179,0.0
2018-10-26,1.0,-0.4093256603216763,-1.2736707491023562,-0.0,-1.1184398209630615,-1.117210171659043,0.0
2018-10-29,1.0,-0.38946750770133487,-1.2753410591169136,-0.0,-1.1084054569458706,-1.1165224194415921,0.0
2018-10-30,1.0,-0.38010066950105065,-1.2749841176758052,-0.0,-1.1082441479743927,-1.1234911792014854,0.0
2018-10-31,1.0,-0.3860900795961949,-1.243544942729567,-0.0,-1.1069209862162686,-1.1168705105804697,0.0
2018-11-01,1.0,-0.3818666666666667,-1.2452363636363637,-0.0,-1.1055515151515152,-1.115878787878788,0.0
2018-11-02,1.0,-0.38301868618763246,-1.2214409554999037,-0.0,-1.1042188403005202,-1.107301098054325,0.0
2018-11-05,1.0,-0.3809019588968571,-1.2257785050777301,-0.0,-1.1037204601241757,-1.1026615969581748,0.0
2018-11-06,1.0,-0.3853815802136464,-1.2291406024444231,-0.0,-1.1001347319795978,-1.097247618131075,0.0
2018-11-07,1.0,-0.3840792193433639,-1.2285247320098065,-0.0,-1.0982550593664375,-1.0961399798106044,0.0
