Date,IWF,IWM,MTUM,SPY,TER,VLUE,VXX
2018-09-24,-0.6200848024994421,-1.0518634233430038,-0.2560142825262218,-0.7837089935282303,1.0,-0.7516179424235662,0.0
2018-09-25,-0.623978931393117,-1.0493683881622997,-0.2617060215149757,-0.7813685667098157,1.0,-0.7473106280408874,0.0
2018-09-26,-0.6241541563970423,-1.0525207259690792,-0.2550750616177459,-0.7881245798790052,1.0,-0.7614160878332961,0.0
2018-09-27,-0.6251231527093596,-1.048499776085983,-0.2561576354679803,-0.7876399462606359,1.0,-0.7608598298253471,0.0
2018-09-28,-0.6242331975104106,-1.0487619218197286,-0.2566605471723459,-0.7873550351497783,1.0,-0.7607128464603949,0.0
2018-10-01,-0.6252127183161666,-1.04769368562472,-0.2566502463054187,-0.7879534258844604,1.0,-0.7607254814151365,0.0
2018-10-02,-0.6257611031518625,-1.0407414040114613,-0.2593123209169054,-0.7891296561604585,1.0,-0.7621328796561604,0.0
2018-10-03,-0.625279742189598,-1.0298540864739056,-0.2577656431832423,-0.7934383672007878,1.0,-0.7695371945215289,0.0
2018-10-04,-0.6313974835445305,-1.0212689741637935,-0.25876505619486856,-0.8017283840057313,1.0,-0.7645188734160211,0.0
2018-10-05,-0.6198188551287199,-1.0149466827287734,-0.24548253245884086,-0.808548610181591,1.0,-0.7729442734127515,0.0
2018-10-08,-0.6195191578571748,-1.0148980775235292,-0.2445247334849904,-0.8087782684330256,1.0,-0.7727820152549176,0.0
2018-10-09,-0.6205050414919248,-1.015347550637994,-0.24614080485410902,-0.8080663870795038,1.0,-0.7714821093959132,0.0
2018-10-10,-0.6201571148009285,-1.0168273522585254,-0.2448669880378504,-0.8084717014818783,1.0,-0.7731655061596144,0.0
2018-10-11,-0.5708197434224831,-1.0142204827136334,-0.17595129375951296,-0.7962600565340292,1.0,-0.7915198956294848,0.0
2018-10-12,-0.5957649092480554,-1.0160328435609336,-0.172428694900605,-0.7739844425237684,1.0,-0.7633535004321521,0.0
2018-10-15,-0.5842570627560922,-1.034418805262023,-0.15501401768384732,-0.7736898857019625,1.0,-0.7657537200776364,0.0
2018-10-16,-0.5819742859608249,-1.0443955475019415,-0.14781258089567692,-0.7743549918025714,1.0,-0.7658986970402968,0.0
