Date,IWF,IWM,MTUM,QIWI,SPY,VLUE,VXX
2018-09-24,-0.7918340753610598,-1.287436203713758,-0.17976979042241284,1.0,-1.1756433923335867,-0.9947334129655772,0.0
2018-09-25,-0.7963184187662903,-1.2846437880104258,-0.18641398783666377,1.0,-1.1728931364031279,-0.9897914856646395,0.0
2018-09-26,-0.7963184187662903,-1.2846980886185926,-0.18630538662033017,1.0,-1.1729474370112947,-0.9897914856646395,0.0
2018-09-27,-0.7966194111232279,-1.298691384950927,-0.18484187568157032,1.0,-1.177699018538713,-0.9947110141766631,0.0
2018-09-28,-0.7997380055673817,-1.2982369957971727,-0.18530647890398996,1.0,-1.1789749467823807,-0.995960919163801,0.0
2018-10-01,-0.7996061053668144,-1.304830680015318,-0.18655287488374636,1.0,-1.180644455385962,-0.9991793861808632,0.0
2018-10-02,-0.7997917922305626,-1.3178455975015069,-0.18404470987891075,1.0,-1.179442222343981,-0.9979727138239,0.0
2018-10-03,-0.799978067770589,-1.30244544357934,-0.18165369009759844,1.0,-1.1877947143327119,-1.0111854369996711,0.0
2018-10-04,-0.7996378004609813,-1.3054549445724948,-0.18247173746021295,1.0,-1.1869717923389311,-1.0133904072000879,0.0
2018-10-05,-0.790224700672462,-1.3003663003663004,-0.16817013831939207,1.0,-1.1917883111912964,-1.0166201957246734,0.0
2018-10-08,-0.7877911734220719,-1.296001309257542,-0.1651301074682232,1.0,-1.1920244394741148,-1.0143472805629807,0.0
2018-10-09,-0.7893903836707962,-1.2968400371118267,-0.1676035583692627,1.0,-1.1912896359766414,-1.0124979533919116,0.0
2018-10-10,-0.7892982072584172,-1.3009400961958897,-0.16522737210319194,1.0,-1.1932116309575862,-1.0170529077393966,0.0
2018-10-11,-0.7084988085782368,-1.302356367487424,-0.043738416732856764,1.0,-1.1854381784485042,-1.0552290177389463,0.0
2018-10-12,-0.7339242630861219,-1.2995384454001888,-0.03435434805412777,1.0,-1.158711843071436,-1.0184097346061052,0.0
2018-10-15,-0.7272870084306436,-1.3087395926061687,-0.022045347436770175,1.0,-1.159396763889616,-1.0189558569408808,0.0
2018-10-16,-0.725244802848615,-1.3165942294601245,-0.016180551919149605,1.0,-1.1595538566266952,-1.0188511284494945,0.0
2018-10-17,-0.6923551171393341,-1.249537607891492,-0.0,1.0,-1.1570078092889438,-1.0387381833127824,0.0
2018-10-18,-0.6914620363711086,-1.2477653344292612,-0.0,1.0,-1.1588924278228707,-1.0389910613377171,0.0
2018-10-19,-0.6631595076357323,-1.2287144389396802,-0.0,1.0,-1.1712549159814087,-1.044384289289545,0.0
2018-10-22,-0.6681994316714027,-1.2153965383621803,-0.0,1.0,-1.2058899509170757,-1.0771376905192456,0.0
2018-10-23,-0.6741770451139476,-1.216267893132138,-0.0,1.0,-1.2020050643377604,-1.0752415895819338,0.0
2018-10-24,-0.6754495374701175,-1.2140110175657415,-0.0,1.0,-1.215154349859682,-1.0924020372102692,0.0
2018-10-25,-0.6109942925803544,-1.1276659657554822,-0.0,1.0,-1.2315510163212176,-1.036247121257635,0.0
2018-10-26,-0.5766488413547237,-1.1066547831253715,-0.0,1.0,-1.2456922162804518,-1.0224796989502871,0.0
2018-10-29,-0.5379412490743026,-1.1284621081214514,-0.0,1.0,-1.2330782522833867,-1.037620340656628,0.0
2018-10-30,-0.524601490401224,-1.1285594433203374,-0.0,1.0,-1.2335290924344866,-1.0483640132260772,0.0
2018-10-31,-0.5365650017189725,-1.0921369284416287,-0.0,1.0,-1.2377093462992976,-1.0449388536908797,0.0
2018-11-01,-0.5416318300300005,-1.0905424679093099,-0.0,1.0,-1.2395121231495596,-1.0464269906064032,0.0
2018-11-02,-0.5439976547613231,-1.0661064152049642,-0.0,1.0,-1.238188303122099,-1.0376703962476181,0.0
2018-11-05,-0.5536864886134475,-1.056711425901333,-0.0,1.0,-1.2464217205253063,-1.0617775810338892,0.0
2018-11-06,-0.5591286817131338,-1.0608742685745194,-0.0,1.0,-1.2418744160889021,-1.0552687220337316,0.0
2018-11-07,-0.5579004329004329,-1.0639512003148368,-0.0,1.0,-1.241046831955923,-1.056473829201102,0.0
2018-11-08,-0.5125584112149533,-1.0643496884735202,-0.0,1.0,-1.2256133177570094,-1.065128504672897,0.0
2018-11-09,-0.5121179676854195,-1.063996496009344,-0.0,1.0,-1.2258613977029396,-1.064629160988904,0.0
2018-11-12,-0.5103047895500726,-1.0414126753749395,-0.0,1.0,-1.2285921625544267,-1.0576197387518143,0.0
2018-11-13,-0.47146687093067785,-1.0309268479509766,-0.0,1.0,-1.2337227116047491,-1.0514170815779396,0.0
2018-11-14,-0.4749364416942486,-1.0318511056746775,-0.0,1.0,-1.2371564253849474,-1.0528613229721302,0.0
2018-11-15,-0.5033407572383074,-1.1737193763919822,-0.0,1.0,-1.3902211633086445,-1.1121872895840887,0.0
2018-11-16,-0.498968540484786,-1.1596699329551317,-0.0,1.0,-1.3843733883445075,-1.1142341413099537,0.0
2018-11-19,-0.5083001499715571,-1.161865853027874,-0.0,1.0,-1.3844443295237112,-1.11682267156229,0.0
2018-11-20,-0.4367875115538667,-1.1466570812365204,-0.0,1.0,-1.3962206018280783,-1.155386669405361,0.0
2018-11-21,-0.45573316938210884,-1.1487857362434677,-0.0,1.0,-1.4113126344912388,-1.1075929910851523,0.0
2018-11-23,-0.45651729077143444,-1.1401677921014939,-0.0,1.0,-1.4121649273582977,-1.1067628401882545,0.0
2018-11-26,-0.4559537808681425,-1.1415716549925865,-0.0,1.0,-1.4102970499514287,-1.1049133391277672,0.0
2018-11-27,-0.4467922994869711,-1.1372479301061615,-0.0,1.0,-1.4006704932188754,-1.09483415451821,0.0
2018-11-28,-0.4458958068614994,-1.144853875476493,-0.0,1.0,-1.3980686149936465,-1.0938246505717917,0.0
