Date,BYND,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-12-30,1.0,-6.172339663203153,-4.857398781798638,-9.942314582586887,-8.336438552490145,-5.521318523826585,0.0
2019-12-31,1.0,-6.109213802917111,-4.849163998577018,-9.87513340448239,-8.270010672358591,-5.471362504446816,0.0
2020-01-02,1.0,-6.1066477070742975,-4.847493778883755,-9.867401350870956,-8.262708851759687,-5.4646285104870245,0.0
2020-01-03,1.0,-6.012433392539965,-4.914742451154529,-9.91190053285968,-8.222024866785079,-5.462877442273534,0.0
2020-01-06,1.0,-5.966029723991507,-4.928874734607218,-9.938075017692851,-8.164897381457891,-5.387473460721868,0.0
2020-01-07,1.0,-5.956429330499468,-4.936946510804108,-9.953949698901878,-8.16648955012398,-5.409493446687921,0.0
2020-01-08,1.0,-6.154441577589385,-5.088462956137118,-10.42646516771102,-8.529671949870991,-5.66015481017324,0.0
2020-01-09,1.0,-6.161158559227628,-5.140363906424063,-10.507612328258448,-8.59227627181582,-5.7318975120683255,0.0
2020-01-10,1.0,-6.064338235294119,-5.076102941176471,-10.437132352941177,-8.519485294117647,-5.66764705882353,0.0
2020-01-13,1.0,-6.135245901639345,-5.130029806259315,-10.62183308494784,-8.64344262295082,-5.727645305514159,0.0
2020-01-14,1.0,-6.024741506646971,-5.028064992614476,-10.615214180206795,-8.610782865583456,-5.648818316100443,0.0
2020-01-15,1.0,-6.021087680355161,-5.049574546799852,-10.632630410654828,-8.62190159082501,-5.671106178320385,0.0
2020-01-16,1.0,-6.145130731337628,-5.127320954907162,-10.860553239863584,-8.867752936718453,-5.892762410003789,0.0
2020-01-17,1.0,-6.073782771535581,-5.000374531835205,-10.75505617977528,-8.779775280898875,-5.843820224719101,0.0
2020-01-21,1.0,-6.077269317329332,-5.032633158289573,-10.753563390847711,-8.788447111777945,-5.85708927231808,0.0
2020-01-22,1.0,-6.370929308975377,-5.20571882446386,-11.592930897537729,-9.37450357426529,-6.169976171564733,0.0
2020-01-23,1.0,-6.410871302957633,-5.24740207833733,-11.671063149480416,-9.452438049560351,-6.185851318944843,0.0
2020-01-24,1.0,-6.423477564102564,-5.263621794871795,-11.69911858974359,-9.476362179487179,-6.201522435897436,0.0
2020-01-27,1.0,-6.37714742309229,-5.1761885737115465,-11.74111066719936,-9.426687974430683,-6.230922892528965,0.0
2020-01-28,1.0,-6.3480909829406995,-5.451259138911454,-12.16612510154346,-9.531681559707554,-6.1202274573517474,0.0
2020-01-29,1.0,-6.385537190082645,-5.588429752066116,-12.425206611570248,-9.692975206611571,-6.229752066115703,0.0
2020-01-30,1.0,-6.3769483182936835,-5.5356849876948315,-12.330188679245284,-9.642739950779328,-6.131255127153405,0.0
2020-01-31,1.0,-6.372492836676218,-5.533360622185837,-12.282848956201391,-9.619320507572656,-6.125255832992222,0.0
2020-02-03,1.0,-6.002678913126674,-5.091848450057405,-11.502104860313814,-8.970149253731343,-5.70302334481439,0.0
2020-02-04,1.0,-6.029571984435797,-5.114396887159533,-11.697276264591439,-9.169260700389104,-5.8999999999999995,0.0
2020-02-05,1.0,-5.706370147003392,-4.976630229928383,-11.461741424802112,-8.907651715039577,-5.640784018092725,0.0
2020-02-06,1.0,-5.797520661157025,-4.9004507888805415,-11.583395942900076,-8.836213373403456,-5.448159278737791,0.0
2020-02-07,1.0,-5.776735459662289,-4.915196998123827,-11.563227016885554,-8.82326454033771,-5.445028142589118,0.0
2020-02-10,1.0,-5.858712121212121,-4.8753787878787875,-11.716666666666667,-8.938257575757577,-5.489772727272728,0.0
2020-02-11,1.0,-5.769259676813228,-4.8478015783540025,-11.600150319428785,-8.871476888387823,-5.491168733558812,0.0
2020-02-12,1.0,-5.8015065913371,-4.84105461393597,-11.636911487758946,-8.905084745762712,-5.48060263653484,0.0
