Date,HCKT,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.36380597014925375,-0.9051839019189766,-0.06896321961620469,-0.5355477078891259,-0.4580557036247335,0.0
2018-09-25,1.0,-0.36297263806557484,-0.9133929468501958,-0.06336447972135703,-0.5427174386282193,-0.46662647777889416,0.0
2018-09-26,1.0,-0.36398659966499164,-0.9147738693467338,-0.06542713567839196,-0.5423450586264658,-0.4635510887772194,0.0
2018-09-27,1.0,-0.364944933552037,-0.911023332105915,-0.06644796304355104,-0.5419609680982826,-0.46312723864359123,0.0
2018-09-28,1.0,-0.3631737529293605,-0.9124204887847338,-0.06705724807499162,-0.5418814864412453,-0.463307666555072,0.0
2018-10-01,1.0,-0.36271652092337586,-0.9141622273595336,-0.06754447683184239,-0.5419640164840687,-0.46406674037591716,0.0
2018-10-02,1.0,-0.363009783814679,-0.9328581514978312,-0.06280469354133744,-0.5409340012776115,-0.46256261977608176,0.0
2018-10-03,1.0,-0.3626188955735556,-0.9246462541592445,-0.061674452996336504,-0.5440459785567842,-0.46798642153732395,0.0
2018-10-04,1.0,-0.3647173423801686,-0.9200564307547614,-0.06230895838231837,-0.5465721675455981,-0.46535218837123377,0.0
2018-10-05,1.0,-0.35220504584086193,-0.9153784380646456,-0.04911998929264538,-0.5547413504651006,-0.4745700327912735,0.0
2018-10-08,1.0,-0.350417641162713,-0.9125292348813898,-0.04477113264283328,-0.5591045773471433,-0.4743401269629135,0.0
2018-10-09,1.0,-0.349293327541849,-0.9130943232316483,-0.04179892412041832,-0.5606602292091283,-0.47642754519028363,0.0
2018-10-10,1.0,-0.35268140911980195,-0.9123816533404704,-0.04476263758321903,-0.5635141012344853,-0.47214880733331105,0.0
2018-10-11,1.0,-0.3033612899031272,-0.9132696183603147,-0.0,-0.5501592874325466,-0.4839412261881542,0.0
2018-10-12,1.0,-0.30816117028102147,-0.9082509944822276,-0.0,-0.5307968689849866,-0.46076607211600157,0.0
2018-10-15,1.0,-0.2765766343747995,-0.9421312632321807,-0.0,-0.5261435811894527,-0.46294989414255466,0.0
2018-10-16,1.0,-0.2704117684846149,-0.9541979829125715,-0.0,-0.525277831309822,-0.4620350741954134,0.0
