Date,IWF,IWM,MTUM,SPY,SWX,VLUE,VXX
2018-09-24,-0.33414323027394766,-0.7416023810970055,-0.0,-0.5779323331106117,1.0,-0.38346595395735894,0.0
2018-09-25,-0.3331103882284985,-0.7429544279937981,-0.0,-0.5789985711245554,1.0,-0.3850971331286292,0.0
2018-09-26,-0.3321570894046786,-0.7426155203358379,-0.0,-0.5795637757430109,1.0,-0.38764335472880473,0.0
2018-09-27,-0.33139340016453883,-0.746732075931625,-0.0,-0.5803040921417472,1.0,-0.3885858801304123,0.0
2018-09-28,-0.3352267521759047,-0.746373492136204,-0.0,-0.5820735990227515,1.0,-0.39022751565124447,0.0
2018-10-01,-0.33503812819649037,-0.7514164089057667,-0.0,-0.5833460937739259,1.0,-0.3927357363795057,0.0
2018-10-02,-0.33564035033992773,-0.7495865743859864,-0.0,-0.5837263428676426,1.0,-0.3934586880627182,0.0
2018-10-03,-0.33511111111111114,-0.7389425287356322,-0.0,-0.5889655172413794,1.0,-0.40214559386973187,0.0
2018-10-04,-0.3370297757627742,-0.7352040191153044,-0.0,-0.5910733978679084,1.0,-0.4000122534003186,0.0
2018-10-05,-0.31747730121365897,-0.7268502950077955,-0.0,-0.6014796245911161,1.0,-0.41129895142306866,0.0
2018-10-08,-0.3142245989304813,-0.7237891520244462,-0.0,-0.6066310160427808,1.0,-0.4111229946524064,0.0
2018-10-09,-0.3066592913555208,-0.7282812451983652,-0.0,-0.6151624104975262,1.0,-0.42294336375649183,0.0
2018-10-10,-0.30709919208675085,-0.7277055878106472,-0.0,-0.6154885878413664,1.0,-0.4215894080422696,0.0
2018-10-11,-0.24071481757259866,-0.7171407297096054,-0.0,-0.5951154132539092,1.0,-0.4254653760238273,0.0
2018-10-12,-0.23988583870303354,-0.7105363815576544,-0.0,-0.583399535116368,1.0,-0.40847971283137674,0.0
2018-10-15,-0.1978971754432861,-0.7680655796132941,-0.0,-0.5849000564317325,1.0,-0.4192580712227866,0.0
2018-10-16,-0.19076125804145816,-0.7838336907314749,-0.0,-0.5847033595425304,1.0,-0.4189897545866095,0.0
2018-10-17,-0.17131649052958225,-0.7487338622325009,-0.0,-0.580813255657367,1.0,-0.42665183407008406,0.0
2018-10-18,-0.17068672794332887,-0.7476435805866168,-0.0,-0.5821380481236461,1.0,-0.4267607282945964,0.0
