Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WDR
2018-09-24,-0.26714350590372393,-0.9139040266424464,-0.05233878292461399,-0.7132152588555859,-0.8378368150166516,0.0,1.0
2018-09-25,-0.2718494395637686,-0.9118070281732809,-0.05861860042411391,-0.7110724023023327,-0.8333459557709785,0.0,1.0
2018-09-26,-0.27311640592446684,-0.9134815712716391,-0.06113867949543544,-0.7106708587446494,-0.8296526383575135,0.0,1.0
2018-09-27,-0.2758242174192816,-0.906128165335554,-0.06324993375979408,-0.7106249290283508,-0.8293273780233923,0.0,1.0
2018-09-28,-0.27378383494226766,-0.9081961007003597,-0.06397879992428544,-0.7105053946621238,-0.8293015332197615,0.0,1.0
2018-10-01,-0.27575757575757576,-0.9069696969696969,-0.06378787878787878,-0.7118939393939393,-0.8295075757575757,0.0,1.0
2018-10-02,-0.2771300106691053,-0.9403673220545649,-0.05551745160798659,-0.7106767261088249,-0.8267032464563328,0.0,1.0
2018-10-03,-0.27682754942668847,-0.9307454954096985,-0.05420745876347567,-0.7144870671593463,-0.833111119576397,0.0,1.0
2018-10-04,-0.27855619859884256,-0.9271245811757539,-0.05490405117270789,-0.7161513859275054,-0.8307569296375267,0.0,1.0
2018-10-05,-0.25963990712192153,-0.9212439572151803,-0.03524799208252445,-0.7355639298085341,-0.8547828403943513,0.0,1.0
2018-10-08,-0.25753830944142364,-0.9182098178637971,-0.02996311646830678,-0.741397011293205,-0.8553557169474125,0.0,1.0
2018-10-09,-0.25770020533880905,-0.9184348619666894,-0.03049661571222146,-0.7410829720891323,-0.8548558825766218,0.0,1.0
2018-10-10,-0.2591536443481236,-0.9170373750047526,-0.03220409870347135,-0.7421010607961673,-0.8516406220295806,0.0,1.0
2018-10-11,-0.1905150357818236,-0.9141977826393266,-0.0,-0.7279839816085135,-0.8752271126107753,0.0,1.0
2018-10-12,-0.18870346598202825,-0.9077205208142306,-0.0,-0.7115349348982212,-0.8597469282963507,0.0,1.0
2018-10-15,-0.15958109048299096,-0.9346003149144971,-0.0,-0.7061774506572924,-0.8614376212970083,0.0,1.0
2018-10-16,-0.14852177754869114,-0.9636611317698168,-0.0,-0.7074849968705128,-0.8620816612054047,0.0,1.0
2018-10-17,-0.12674165457184325,-0.9265602322206095,-0.0,-0.703410740203193,-0.8717343976777938,0.0,1.0
2018-10-18,-0.12617997594489191,-0.9260123191311004,-0.0,-0.7152385464883186,-0.8772460545978058,0.0,1.0
2018-10-19,-0.11963783724581067,-0.9324595670110621,-0.0,-0.7172793983425213,-0.8814574130188748,0.0,1.0
2018-10-22,-0.11986126323475721,-0.922343921139102,-0.0,-0.722672508214677,-0.8860898138006572,0.0,1.0
