Date,CPAC,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.7181954367365753,-1.6609241760774374,-0.0,-1.2916570638395943,-1.0909195667204425,0.0
2018-09-25,1.0,-0.7282169648009232,-1.6615118291979225,-0.0,-1.2924985574148873,-1.0881130986728216,0.0
2018-09-26,1.0,-0.7642696095882284,-1.7252877655156045,-0.0,-1.3352319924053637,-1.1085795656817374,0.0
2018-09-27,1.0,-0.7696133578068566,-1.7098111196636865,-0.0,-1.3343596423707738,-1.1071703475635026,0.0
2018-09-28,1.0,-0.7678603137022789,-1.7105060668836936,-0.0,-1.333589819473217,-1.1069547203314591,0.0
2018-10-01,1.0,-0.771506491966562,-1.710914804055256,-0.0,-1.33722653702496,-1.109088753186696,0.0
2018-10-02,1.0,-0.775946891114931,-1.6934977179775947,-0.0,-1.3427182739612353,-1.1151087665224348,0.0
2018-10-03,1.0,-0.7903031034899167,-1.6951455138268325,-0.0,-1.3863060016906172,-1.1661635068228475,0.0
2018-10-04,1.0,-0.7920576306071797,-1.7020400750650766,-0.0,-1.3877353350687087,-1.1718021672014043,0.0
2018-10-05,1.0,-0.7682392691778251,-1.7484044550118885,-0.0,-1.4775997997747468,-1.2627956451007385,0.0
2018-10-08,1.0,-0.7649993763253087,-1.7406760633653486,-0.0,-1.4731819882749158,-1.2578894848447049,0.0
2018-10-09,1.0,-0.7587202007528232,-1.7515056461731495,-0.0,-1.4877038895859473,-1.2755959849435385,0.0
2018-10-10,1.0,-0.7739344884279752,-1.76444922220817,-0.0,-1.5068293916782598,-1.2782977108890856,0.0
2018-10-11,1.0,-0.5787484250314994,-1.7114657706845862,-0.0,-1.4286914261714765,-1.2810343793124137,0.0
2018-10-12,1.0,-0.5747020020830923,-1.6543802800601781,-0.0,-1.3558615900937392,-1.201423446360375,0.0
2018-10-15,1.0,-0.5243087557603686,-1.6942396313364054,-0.0,-1.3434331797235024,-1.1983870967741936,0.0
2018-10-16,1.0,-0.5236120709513937,-1.69488597097443,-0.0,-1.3427205712969363,-1.1978230822391156,0.0
2018-10-17,1.0,-0.46901606991824074,-1.6011277135607553,-0.0,-1.3392726247533127,-1.229207781223569,0.0
2018-10-18,1.0,-0.4723291081937529,-1.6105138071525578,-0.0,-1.3417836124943414,-1.2340425531914894,0.0
2018-10-19,1.0,-0.44694319506913216,-1.5734355044699873,-0.0,-1.3212838025431728,-1.2110611360986172,0.0
2018-10-22,1.0,-0.44896938718817714,-1.5749763875770875,-0.0,-1.3207955997555418,-1.2111228401577865,0.0
