Date,EBLU,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-10-21,1.0,-0.13565642544904596,-0.22675008804822971,-0.20945120056350866,-0.24255733493546583,-0.25732872029667075,0.0
2020-10-22,1.0,-0.13587204243152531,-0.2263083744250611,-0.2091948783822981,-0.24292462603074627,-0.2575726184063316,0.0
2020-10-23,1.0,-0.1373909800915664,-0.22442045948913428,-0.21058192289366287,-0.24312734353959936,-0.25611650887696547,0.0
2020-10-26,1.0,-0.13752382530869312,-0.2248280434242148,-0.21053285820833678,-0.24337034888538991,-0.2555108974890196,0.0
2020-10-27,1.0,-0.13709009605829744,-0.22443275919178537,-0.21149387214309373,-0.2428370321298443,-0.25436816826763825,0.0
2020-10-28,1.0,-0.13786821785662534,-0.22414970915188276,-0.21185335458629184,-0.2429047550044507,-0.25331732461134,0.0
2020-10-29,1.0,-0.13564505796532414,-0.22460788163088177,-0.21154760182678597,-0.24161517637577234,-0.25308425120373623,0.0
2020-10-30,1.0,-0.13501900512312015,-0.2241778218476285,-0.2130019831432821,-0.24142703685341266,-0.2521484052222773,0.0
2020-11-02,1.0,-0.13359362088910925,-0.2239299289373657,-0.21240290861014707,-0.24165427202115353,-0.25417286398942324,0.0
2020-11-03,1.0,-0.1323316661844335,-0.22477576158392923,-0.21192080353821355,-0.2418054809242343,-0.255879799942132,0.0
2020-11-04,1.0,-0.13155447161192982,-0.22565777235805964,-0.2117892648244218,-0.24175846888369884,-0.2560610131657814,0.0
2020-11-05,1.0,-0.12079510703363915,-0.23780890982725844,-0.19968592445656666,-0.24243739151996033,-0.26555913711877016,0.0
2020-11-06,1.0,-0.12057675225681175,-0.23762110351380938,-0.1998182156210622,-0.24243425809250346,-0.2652605920386705,0.0
