Date,HFWA,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.22584160457102465,-0.7662356787323653,-0.12646894236149972,-0.4150148735016052,-0.4116867434394604,0.0
2018-09-25,1.0,-0.2245929253228523,-0.7714471467832973,-0.12207807559325039,-0.419604598244629,-0.41744732409350155,0.0
2018-09-26,1.0,-0.22411444141689374,-0.7720649212178653,-0.11814358488330767,-0.422580263002014,-0.42483118113967544,0.0
2018-09-27,1.0,-0.2237731152204836,-0.7739153627311521,-0.11779871977240398,-0.4228603603603604,-0.42517188240872444,0.0
2018-09-28,1.0,-0.22008032128514057,-0.7824185631414547,-0.11845902127026625,-0.425732559869106,-0.42817194704744904,0.0
2018-10-01,1.0,-0.21969223442569277,-0.7836711611155759,-0.1188201327499479,-0.42569277018781443,-0.4286096972944013,0.0
2018-10-02,1.0,-0.219688161464389,-0.79414482902543,-0.11594073279074621,-0.4244104582178099,-0.427033956414155,0.0
2018-10-03,1.0,-0.22033240831915976,-0.7977202876495689,-0.11658162504102886,-0.4238056873452093,-0.4255065198579656,0.0
2018-10-04,1.0,-0.21888772298006295,-0.8079148553440263,-0.1162344476090541,-0.4222455403987408,-0.4327387198321091,0.0
2018-10-05,1.0,-0.20618741593184875,-0.8040950530563444,-0.10497683455387834,-0.43054849798236433,-0.4432820206247197,0.0
2018-10-08,1.0,-0.20577336839588814,-0.804267272292613,-0.10447047573511833,-0.4306120009562515,-0.4431628018168778,0.0
2018-10-09,1.0,-0.20274893463777682,-0.8095252385811175,-0.09165116139487425,-0.440999939979593,-0.45606506212112113,0.0
2018-10-10,1.0,-0.2032520325203252,-0.8088080880808808,-0.09246092460924608,-0.4412444124441244,-0.4542345423454234,0.0
2018-10-11,1.0,-0.16442372533497523,-0.8164013252411528,-0.044858826633828834,-0.4349547013809482,-0.4713108746005219,0.0
2018-10-12,1.0,-0.16404638051785764,-0.815989073261457,-0.04178896283165267,-0.4243119932579698,-0.45991107494696465,0.0
