Date,IWF,IWM,MTUM,RESI,SPY,VLUE,VXX
2018-09-24,-0.7225728554964052,-1.6393172712803907,-0.0,1.0,-1.1458756380001096,-0.980407222435651,0.0
2018-09-25,-0.740724332705726,-1.6497397275445786,-0.010798538044080186,1.0,-1.1539483885258612,-0.9825008306567726,0.0
2018-09-26,-0.745543399788971,-1.6574110068306769,-0.016326983950685842,1.0,-1.156383628588882,-0.9777308824346087,0.0
2018-09-27,-0.7489078077741682,-1.6805197714797802,-0.015850789738994064,1.0,-1.1670213957656548,-0.9886299988798029,0.0
2018-09-28,-0.7462042691467309,-1.6831755280407863,-0.017031766485517397,1.0,-1.16701215754384,-0.9891310437559527,0.0
2018-10-01,-0.7461340206185567,-1.6831017480950246,-0.017649036306588973,1.0,-1.1667974002689376,-0.9891864634692964,0.0
2018-10-02,-0.7480950246526221,-1.6665732855221873,-0.02409233527566114,1.0,-1.1704952935903183,-0.9936127297176154,0.0
2018-10-03,-0.7469218715021266,-1.655585404074323,-0.02322587866577121,1.0,-1.1724871278262816,-0.9983769867920304,0.0
2018-10-04,-0.7508807247106192,-1.646368059050495,-0.02454845383884136,1.0,-1.1771514846502265,-0.9929542023150479,0.0
2018-10-05,-0.74047075844416,-1.642479550386734,-0.009960491903622502,1.0,-1.178621111791219,-0.9929887040231483,0.0
2018-10-08,-0.7361942781104459,-1.6350077622532713,-0.004768241295187403,1.0,-1.1792526058993125,-0.9891882900864938,0.0
2018-10-09,-0.7308398731006847,-1.6416207491512216,-0.0,1.0,-1.1901263427394668,-1.0032281404797685,0.0
2018-10-10,-0.7311415220293724,-1.6406319537160658,-0.0,1.0,-1.1901424121050288,-1.0010569648420116,0.0
2018-10-11,-0.5939374635026808,-1.6025375590592983,-0.0,1.0,-1.1256569517439083,-0.9865689865689865,0.0
2018-10-12,-0.5851526098110046,-1.5874561541280559,-0.0,1.0,-1.102664781948589,-0.9601068006910632,0.0
2018-10-15,-0.5731223232006686,-1.5942755666980049,-0.0,1.0,-1.098819596782618,-0.9568055990807479,0.0
2018-10-16,-0.563987003458757,-1.6186458442511267,-0.0,1.0,-1.0999895189183524,-0.9579184571847815,0.0
2018-10-17,-0.5234789710085749,-1.5434871376071866,-0.0,1.0,-1.0795222539812168,-0.9576357697019191,0.0
2018-10-18,-0.5233525598489102,-1.5438211423612884,-0.0,1.0,-1.0795263131029555,-0.9576846511153081,0.0
2018-10-19,-0.49322753462043867,-1.5245122814110987,-0.0,1.0,-1.0822298594966138,-0.95410896593551,0.0
2018-10-22,-0.4947517874347143,-1.5097611682977536,-0.0,1.0,-1.0976116829775366,-0.9686628467116273,0.0
2018-10-23,-0.49185833502951354,-1.5149094239772032,-0.0,1.0,-1.1062996132709138,-0.975524119682475,0.0
2018-10-24,-0.49134099616858234,-1.5127969348659003,-0.0,1.0,-1.116066411238825,-0.9883524904214559,0.0
2018-10-25,-0.4226900700128193,-1.434030174539,-0.0,1.0,-1.1391381520560102,-0.934621832166453,0.0
2018-10-26,-0.3891620818929841,-1.410438677637665,-0.0,1.0,-1.1499099274550855,-0.9192755246117144,0.0
2018-10-29,-0.3828793774319066,-1.4128404669260701,-0.0,1.0,-1.1500000000000001,-0.9180933852140079,0.0
2018-10-30,-0.3818323283407898,-1.412468391363548,-0.0,1.0,-1.1497763081112624,-0.9187901186539584,0.0
2018-10-31,-0.39306973817935437,-1.3772443498039975,-0.0,1.0,-1.153849876591008,-0.9154043459323429,0.0
2018-11-01,-0.3652405124486343,-1.3996615905245346,-0.0,1.0,-1.153057771331883,-0.9164612037708484,0.0
2018-11-02,-0.37510202122041386,-1.3490325987805465,-0.0,1.0,-1.1686590810888664,-0.9082049066205771,0.0
2018-11-05,-0.3812783187120409,-1.3428130723994987,-0.0,1.0,-1.1734310228477778,-0.9226838908705293,0.0
2018-11-06,-0.38412989015224513,-1.344045095394103,-0.0,1.0,-1.170601271921372,-0.9191077278859126,0.0
2018-11-07,-0.3866473149492018,-1.3492985002418965,-0.0,1.0,-1.1775036284470246,-0.9244799225931302,0.0
2018-11-08,-0.3223098959642157,-1.4446901542946171,-0.0,1.0,-1.2351108207267427,-1.0237724280042217,0.0
2018-11-09,-0.3274895164957308,-1.4525337240438538,-0.0,1.0,-1.2405395847016623,-1.0317283888243318,0.0
2018-11-12,-0.3248883760598003,-1.4304419806351276,-0.0,1.0,-1.238950484121808,-1.022525460291978,0.0
2018-11-13,-0.269528287577734,-1.4574548763840438,-0.0,1.0,-1.2832802467263258,-1.0456544820263918,0.0
2018-11-14,-0.27958034800409415,-1.4730296827021494,-0.0,1.0,-1.3039406345957012,-1.0611566018423746,0.0
2018-11-15,-0.2781443404429441,-1.4774180348831263,-0.0,1.0,-1.312157945885121,-1.0470564165515832,0.0
2018-11-16,-0.27283176593521424,-1.4885579937304076,-0.0,1.0,-1.3548066875653082,-1.1084639498432602,0.0
2018-11-19,-0.2721049331103679,-1.4891826923076923,-0.0,1.0,-1.3555602006688965,-1.1089046822742474,0.0
2018-11-20,-0.18857231985026512,-1.4792554850785067,-0.0,1.0,-1.3734532598523448,-1.157845481959031,0.0
2018-11-21,-0.1931288720495622,-1.4602938917618145,-0.0,1.0,-1.3605038144488248,-1.1061389585786698,0.0
2018-11-23,-0.19435080192052304,-1.4451425068954948,-0.0,1.0,-1.3630095004596994,-1.1052712228011032,0.0
