Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WRK
2018-09-24,-0.2743795579173498,-0.4873932952682458,-0.05330996664593815,-0.5010458477019617,-0.5104867431737239,0.0,1.0
2018-09-25,-0.2732627286628533,-0.490428725151498,-0.05040493855128277,-0.5036812595571162,-0.5139604689358328,0.0,1.0
2018-09-26,-0.27316975976317887,-0.49285551633838093,-0.04406239325970625,-0.5095639303199363,-0.5267846977114881,0.0,1.0
2018-09-27,-0.273436165974159,-0.49203141897660646,-0.04436792076953725,-0.5094484603563094,-0.5266662872104274,0.0,1.0
2018-09-28,-0.27202868852459017,-0.4933117030965392,-0.044825819672131145,-0.5092782331511839,-0.5266393442622951,0.0,1.0
2018-10-01,-0.2723779706845026,-0.49295574213746973,-0.04494094208054646,-0.5093781129927423,-0.5265404866941796,0.0,1.0
2018-10-02,-0.2733585678913965,-0.48447505478555364,-0.04815436719127985,-0.5113128610866038,-0.5287019381278993,0.0,1.0
2018-10-03,-0.2731876635939456,-0.48173438033458515,-0.04794013884147035,-0.5120632752930465,-0.5301866393535904,0.0,1.0
2018-10-04,-0.2874414864593205,-0.47586226702277357,-0.04844777576749662,-0.5328680968381149,-0.5272105913098417,0.0,1.0
2018-10-05,-0.27811650207528266,-0.46975812222699304,-0.03855732073851438,-0.5400887362244168,-0.535909546300272,0.0,1.0
2018-10-08,-0.278705905951801,-0.47127260222941797,-0.03882855259764449,-0.5401037338453163,-0.5366936985987334,0.0,1.0
2018-10-09,-0.287701676912864,-0.4772707593731059,-0.052241175282131215,-0.5383727306837532,-0.5306664357664445,0.0,1.0
2018-10-10,-0.3048335123523094,-0.5489335583857604,-0.0328985729630198,-0.5842258707994477,-0.5979745281571276,0.0,1.0
2018-10-11,-0.27716900475645734,-0.5437112408934915,-0.0,-0.5800770666506112,-0.6094286230357036,0.0,1.0
2018-10-12,-0.2735642525116209,-0.5410106462738041,-0.0,-0.5775378617483881,-0.6068376068376068,0.0,1.0
2018-10-15,-0.26919158626475703,-0.5431173967759334,-0.0,-0.5770060526158087,-0.6070294241025949,0.0,1.0
2018-10-16,-0.26790101264305827,-0.5450596201090538,-0.0,-0.576487506740967,-0.6065372400982683,0.0,1.0
2018-10-17,-0.25472368654859917,-0.5209382218799976,-0.0,-0.5737724338091571,-0.612124622401232,0.0,1.0
2018-10-18,-0.2540204353620613,-0.5194728268917518,-0.0,-0.5756552643269658,-0.6124981489708278,0.0,1.0
