Date,IWF,IWM,MTUM,SPY,VLUE,VXX,ZYME
2018-09-24,-1.9234838233485052,-3.624554065690737,-0.3224258826423914,-2.8373723705252796,-2.593922991757904,0.0,1.0
2018-09-25,-1.9272929267991605,-3.6406616467102833,-0.3181088754474756,-2.850388840883842,-2.6077027527465746,0.0,1.0
2018-09-26,-1.9337125896611427,-3.65075439030423,-0.3253771951521148,-2.8541924313628493,-2.603017561216918,0.0,1.0
2018-09-27,-1.9410892923304928,-3.624428800790416,-0.3322218105471162,-2.8524144744967272,-2.6002223045572435,0.0,1.0
2018-09-28,-1.9375077341913127,-3.6381635936146512,-0.33523078826877856,-2.8575671327805963,-2.6061131048137605,0.0,1.0
2018-10-01,-1.9403317652884375,-3.6365436989353803,-0.3360980440703144,-2.859494924486259,-2.606957167615746,0.0,1.0
2018-10-02,-1.9401212421130767,-3.625634046764815,-0.34071508103426945,-2.8584683904490906,-2.6067054311518,0.0,1.0
2018-10-03,-1.9362805631020006,-3.6097801926401587,-0.33921956038528034,-2.856137317856261,-2.6071869597431467,0.0,1.0
2018-10-04,-1.9465432098765432,-3.591358024691358,-0.3424691358024691,-2.868641975308642,-2.59679012345679,0.0,1.0
2018-10-05,-1.893466601657728,-3.5454656265236473,-0.28973671379814725,-2.864212579229644,-2.59641638225256,0.0,1.0
2018-10-08,-1.8774966711051928,-3.518581285558649,-0.27647984505507806,-2.853649679215591,-2.5787434935237865,0.0,1.0
2018-10-09,-1.8869734126502369,-3.5302901541823477,-0.2842054145926915,-2.858929221804055,-2.5799441544251547,0.0,1.0
2018-10-10,-1.9045759609518,-3.543258084197682,-0.2939597315436242,-2.8795607077486274,-2.581086028065894,0.0,1.0
2018-10-11,-1.6659810307393441,-3.435264541195292,-0.01714089818306479,-2.7516855216546676,-2.5571934636041593,0.0,1.0
2018-10-12,-1.6617385504668742,-3.3673855046687415,-0.0,-2.6480658070253447,-2.4389728768341485,0.0,1.0
2018-10-15,-1.6047409040793827,-3.383902976846748,-0.0,-2.6189636163175303,-2.4178610804851157,0.0,1.0
2018-10-16,-1.5934878587196468,-3.4091611479028696,-0.0,-2.6177704194260483,-2.4169977924944814,0.0,1.0
2018-10-17,-1.4893662498664102,-3.225606497809127,-0.0,-2.563214705568024,-2.409105482526451,0.0,1.0
2018-10-18,-1.489841745081266,-3.2288280581693756,-0.0,-2.563836612489307,-2.410393498716852,0.0,1.0
2018-10-19,-1.4240826655419656,-3.172395613665121,-0.0,-2.555145508224378,-2.3924504428511177,0.0,1.0
2018-10-22,-1.4247181540406704,-3.166157412285323,-0.0,-2.553787798967443,-2.391634179749236,0.0,1.0
2018-10-23,-1.426284751474305,-3.1647009267059816,-0.0,-2.550652906486942,-2.389111204717776,0.0,1.0
2018-10-24,-1.4283447911158118,-3.164886303543099,-0.0,-2.569751454257007,-2.4134320465362245,0.0,1.0
2018-10-25,-1.272937625754527,-2.9601609657947687,-0.0,-2.5592555331991953,-2.2680080482897385,0.0,1.0
2018-10-26,-1.202222663226831,-2.9102004365945624,-0.0,-2.5757094661639215,-2.2343718991863466,0.0,1.0
2018-10-29,-1.1319263852770556,-2.995599119823965,-0.0,-2.5790158031606323,-2.2954590918183637,0.0,1.0
2018-10-30,-1.1307,-2.9952,-0.0,-2.5786999999999995,-2.2955,0.0,1.0
2018-10-31,-1.145678277265059,-2.9218021236479115,-0.0,-2.575965068968939,-2.2801428996725215,0.0,1.0
