Date,IWF,IWM,MTUM,SPY,UFS,VLUE,VXX
2018-09-24,-0.3438606565221552,-0.6892525600535936,-0.038504482087600087,-0.5332886719622293,1.0,-0.5851915653810571,0.0
2018-09-25,-0.34554790151805076,-0.6876833779818854,-0.04126801887995918,-0.5318599311136625,1.0,-0.5828230641663478,0.0
2018-09-26,-0.3451290724017997,-0.6875777784868694,-0.039503494048948595,-0.532850441941351,1.0,-0.5858514949424041,0.0
2018-09-27,-0.34676827907273367,-0.6827588405981952,-0.04084691176939511,-0.532763623608941,1.0,-0.5855361755046076,0.0
2018-09-28,-0.34438311584723863,-0.6856076316880962,-0.04154037584149571,-0.5330376798647226,1.0,-0.5859362537089622,0.0
2018-10-01,-0.3480360798362334,-0.6853569600818833,-0.04100562947799386,-0.5365916069600819,1.0,-0.5875767656090072,0.0
2018-10-02,-0.3509817110278338,-0.6676595880977547,-0.0478524070337273,-0.5426155472278275,1.0,-0.5938631049614042,0.0
2018-10-03,-0.3518619495140649,-0.6732527183500658,-0.04878596401193187,-0.5418417423100362,1.0,-0.5917182538409725,0.0
2018-10-04,-0.3607042842887952,-0.6661731097305823,-0.049795603051469406,-0.5542858982199762,1.0,-0.5878584993723243,0.0
2018-10-05,-0.3549443142792951,-0.6635427030843791,-0.0416920756170363,-0.5573065442757646,1.0,-0.5920980838976795,0.0
2018-10-08,-0.3535651337926614,-0.6612401858676494,-0.039032206377183146,-0.5591091171286653,1.0,-0.5916359557763179,0.0
2018-10-09,-0.35869495339119256,-0.6639344262295083,-0.047476695596271296,-0.5571841851494697,1.0,-0.5871423979427837,0.0
2018-10-10,-0.35951955851322837,-0.678136666125629,-0.041551696153221886,-0.5640967375426068,1.0,-0.6029540658983931,0.0
2018-10-11,-0.3204973672524266,-0.676552686671319,-0.0,-0.5559220960477067,1.0,-0.6190128782592146,0.0
2018-10-12,-0.3222473462722191,-0.6706551096036681,-0.0,-0.5423654293072043,1.0,-0.6052383644243452,0.0
2018-10-15,-0.2965774696489632,-0.6959563321517082,-0.0,-0.537691752674342,1.0,-0.6068325124698059,0.0
2018-10-16,-0.2910204081632653,-0.7064050235478807,-0.0,-0.5366091051805337,1.0,-0.6056828885400314,0.0
2018-10-17,-0.2722229109843789,-0.674435903793702,-0.0,-0.5355504587155964,1.0,-0.6171894371435657,0.0
2018-10-18,-0.2729782548003846,-0.6767999503675901,-0.0,-0.5346341160777989,1.0,-0.6176443217420976,0.0
2018-10-19,-0.25873069691458866,-0.6670159972875505,-0.0,-0.5371266528989305,1.0,-0.6194556606972229,0.0
2018-10-22,-0.25866321371315826,-0.6584350721420644,-0.0,-0.5420828708842027,1.0,-0.6238130472314712,0.0
2018-10-23,-0.2643256086647946,-0.6598265806770142,-0.0,-0.5390502052025797,1.0,-0.6225815410250871,0.0
2018-10-24,-0.2627165669893335,-0.6570688698440101,-0.0,-0.5390899562241815,1.0,-0.6238978975275911,0.0
