Date,IWF,IWM,MTUM,RYTM,SPY,VLUE,VXX
2018-09-24,-1.4690528740044142,-2.6197102005565687,-0.3815372804913156,1.0,-2.0797428269839746,-2.0459648786104982,0.0
2018-09-25,-1.472280836370612,-2.6152887013236144,-0.38758872050642623,1.0,-2.0759639363130633,-2.0401879915595624,0.0
2018-09-26,-1.5558829506197926,-2.7719975614712458,-0.3879292826661248,1.0,-2.2260719365982524,-2.2185531396057714,0.0
2018-09-27,-1.6357150351484628,-2.823838002308257,-0.41622075333123487,1.0,-2.3166509285489454,-2.2996537614101356,0.0
2018-09-28,-1.6329591943774258,-2.824819049617119,-0.4177069128291199,1.0,-2.3155355082345537,-2.2988566033777404,0.0
2018-10-01,-1.6387896616936333,-2.8256986761924776,-0.4181550745955033,1.0,-2.3213910485396094,-2.3023744484135324,0.0
2018-10-02,-1.6389997898718218,-2.8250682916579115,-0.4200462281992015,1.0,-2.3205505358268543,-2.301638999789872,0.0
2018-10-03,-1.6378911993278722,-2.8048729258559124,-0.4177693761814745,1.0,-2.327452215921025,-2.3139046418819578,0.0
2018-10-04,-1.6428496485153707,-2.791102717448326,-0.41968313922988143,1.0,-2.333018570978911,-2.3055293253593536,0.0
2018-10-05,-1.6178709206547806,-2.778333854655406,-0.38233760817433016,1.0,-2.336565530184548,-2.3113335418621626,0.0
2018-10-08,-1.61277569704536,-2.774032459425718,-0.37286724927174364,1.0,-2.3358302122347068,-2.3081564710778193,0.0
2018-10-09,-1.610438413361169,-2.7866388308977035,-0.3539665970772443,1.0,-2.3552192066805846,-2.332150313152401,0.0
2018-10-10,-1.6109136525193393,-2.794584988500941,-0.3487351034915325,1.0,-2.359816015053314,-2.33964039305875,0.0
2018-10-11,-1.4575156787376087,-2.797896014566053,-0.11966417155573539,1.0,-2.3339065344932224,-2.4064333400768763,0.0
2018-10-12,-1.4977880554996983,-2.8023325960185,-0.10255379046853007,1.0,-2.2953951337220992,-2.356223607480394,0.0
