Date,IWF,IWM,MTUM,SPY,STAG,VLUE,VXX
2018-09-24,-0.29964611966093324,-0.6231037226017063,-0.0,-0.4643513565412997,1.0,-0.3561846761583409,0.0
2018-09-25,-0.2967781054488328,-0.6286690736708651,-0.0,-0.46862166855000964,1.0,-0.3620152688586942,0.0
2018-09-26,-0.2965933520754093,-0.6285761534645279,-0.0,-0.468662146518935,1.0,-0.36235598919574447,0.0
2018-09-27,-0.29595806318112844,-0.6312043040419368,-0.0,-0.469030211063595,1.0,-0.3628086632638985,0.0
2018-09-28,-0.29621147319334457,-0.6310808200656715,-0.0,-0.4690543859165034,1.0,-0.36295907949559886,0.0
2018-10-01,-0.2960407835314327,-0.6375751530767739,-0.0,-0.4708669271049788,1.0,-0.36613747818136483,0.0
2018-10-02,-0.29471725363848456,-0.6502055327185868,-0.0,-0.4686701477613598,1.0,-0.3638762359737806,0.0
2018-10-03,-0.29448023100844073,-0.6479064860062195,-0.0,-0.46912483340737454,1.0,-0.36500444247001335,0.0
2018-10-04,-0.3033911539963188,-0.6416699202409504,-0.0,-0.48187294327625635,1.0,-0.36184393998549835,0.0
2018-10-05,-0.2975362883043212,-0.6397308269840387,-0.0,-0.482259051220733,1.0,-0.36115900116789945,0.0
2018-10-08,-0.29467485207922445,-0.6366843523431206,-0.0,-0.485930164726798,1.0,-0.3605655712658685,0.0
2018-10-09,-0.28709470215321026,-0.6404334348032508,-0.0,-0.49367442120255817,1.0,-0.37154746278660594,0.0
2018-10-10,-0.28941708795352344,-0.6396112057648801,-0.0,-0.49529369047286537,1.0,-0.36876798033684327,0.0
2018-10-11,-0.24411996628327487,-0.6298229871930827,-0.0,-0.47771705141800586,1.0,-0.36743073116349895,0.0
2018-10-12,-0.23977816441931274,-0.632938234014789,-0.0,-0.4794204001739887,1.0,-0.36640930839495434,0.0
2018-10-15,-0.22035047743055552,-0.6507432725694444,-0.0,-0.4755316840277778,1.0,-0.3660481770833333,0.0
2018-10-16,-0.2152592994841162,-0.6601954928047787,-0.0,-0.4746130871572088,1.0,-0.36510996470268803,0.0
2018-10-17,-0.20490395965232322,-0.6405193690310119,-0.0,-0.4705440497907501,1.0,-0.3667507243266445,0.0
2018-10-18,-0.20420702422795203,-0.6391296182018191,-0.0,-0.4725658018298409,1.0,-0.3671487215261195,0.0
2018-10-19,-0.19329230933162844,-0.6319028210660913,-0.0,-0.47377394176722876,1.0,-0.3649271424385306,0.0
2018-10-22,-0.1931494069039051,-0.6230041316806612,-0.0,-0.47930161268825805,1.0,-0.3701452752232441,0.0
2018-10-23,-0.1909197672556451,-0.6239790743607537,-0.0,-0.4821438103880852,1.0,-0.3720439865478033,0.0
2018-10-24,-0.18972743532929337,-0.6199044288422009,-0.0,-0.48434288155049526,1.0,-0.3755839718091781,0.0
2018-10-25,-0.15758953060105008,-0.5875976281900582,-0.0,-0.5109578664159027,1.0,-0.35598046130136096,0.0
2018-10-26,-0.14964752228903172,-0.5796703296703296,-0.0,-0.5116887829151979,1.0,-0.3507412398921833,0.0
2018-10-29,-0.14541502794452496,-0.5808838749741254,-0.0,-0.5113330573380253,1.0,-0.34982405299109914,0.0
2018-10-30,-0.12689103977995173,-0.5844253574486857,-0.0,-0.5152710382230065,1.0,-0.36832135350442435,0.0
2018-10-31,-0.13041460396039603,-0.5696163366336634,-0.0,-0.5137427805280528,1.0,-0.3646091171617162,0.0
2018-11-01,-0.108158363678624,-0.5905064435319336,-0.0,-0.5159990702719455,1.0,-0.3678882260272204,0.0
2018-11-02,-0.1150096463022508,-0.5633440514469453,-0.0,-0.5284887459807074,1.0,-0.3655048231511254,0.0
2018-11-05,-0.11835860930568451,-0.5570772722583307,-0.0,-0.529763747033942,1.0,-0.37398122356339625,0.0
2018-11-06,-0.11798245614035088,-0.5566047471620227,-0.0,-0.5303405572755417,1.0,-0.3750257997936016,0.0
2018-11-07,-0.11771228178747326,-0.5564580593589644,-0.0,-0.5296665893091979,1.0,-0.3747453649983239,0.0
2018-11-08,-0.10137399892536397,-0.5564055983419901,-0.0,-0.5237571322569915,1.0,-0.377120487168334,0.0
2018-11-09,-0.10093902719852621,-0.5563544251976562,-0.0,-0.5243456234168309,1.0,-0.37701814087966634,0.0
2018-11-12,-0.10040017332347768,-0.5458160222261871,-0.0,-0.5280248770167971,1.0,-0.3746335992659241,0.0
2018-11-13,-0.07985838917688708,-0.5438867113415097,-0.0,-0.5330888860791503,1.0,-0.37193071184726256,0.0
2018-11-14,-0.07853031417197048,-0.547328650759439,-0.0,-0.5352080533509141,1.0,-0.37464817303547426,0.0
2018-11-15,-0.07805570338832712,-0.5495831115841759,-0.0,-0.5399782052256773,1.0,-0.36665906383841457,0.0
