Date,ITT,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.28528255288727133,-0.6908653689922984,-0.05114873428005069,-0.5865206512202256,-0.6357846163844929,0.0
2018-09-25,1.0,-0.28681415066757626,-0.6893415196699477,-0.05369846993470422,-0.5851281551505702,-0.6335314946561413,0.0
2018-09-26,1.0,-0.28671669427931,-0.6893090342071923,-0.05340610076990547,-0.5852256115388365,-0.6339213202092064,0.0
2018-09-27,1.0,-0.2891276823686004,-0.6830503522384183,-0.05525435834171996,-0.5853001331039184,-0.633704509301042,0.0
2018-09-28,1.0,-0.2880794701986755,-0.683839761069991,-0.05577197766523829,-0.585053889105311,-0.6335865472016622,0.0
2018-10-01,1.0,-0.2880332445945068,-0.6839815596389844,-0.056035322381663526,-0.5849295500292189,-0.6335302902408935,0.0
2018-10-02,1.0,-0.2879828186521753,-0.7002375451498486,-0.05180436692590543,-0.583026910936839,-0.6310240473788682,0.0
2018-10-03,1.0,-0.2878156730018225,-0.6905753709971362,-0.05027987503254361,-0.5874772194740954,-0.6382452486331684,0.0
2018-10-04,1.0,-0.2887956275619754,-0.6884637907476089,-0.050784045806493594,-0.5883922181013729,-0.636866419415707,0.0
2018-10-05,1.0,-0.2784083538720975,-0.6834544039434427,-0.040147879102347905,-0.595148527694902,-0.6457711765468932,0.0
2018-10-08,1.0,-0.27829133015471447,-0.6840193311926308,-0.039732736531413196,-0.5953099153449452,-0.6461029483312251,0.0
2018-10-09,1.0,-0.28117287959475257,-0.6849915573451097,-0.045233147161969085,-0.5932913365372127,-0.6425185088972594,0.0
2018-10-10,1.0,-0.2828199637621479,-0.7058804150881238,-0.036468456596936254,-0.6039532202273101,-0.6652281337506177,0.0
2018-10-11,1.0,-0.26621026894865524,-0.705721271393643,-0.013724531377343113,-0.6023145884270579,-0.6720130399348002,0.0
2018-10-12,1.0,-0.27430028730993966,-0.7014236368918876,-0.010007424863608484,-0.5871130193369274,-0.6553572005035995,0.0
2018-10-15,1.0,-0.2567606768734891,-0.7226752618855761,-0.0,-0.5856244963738919,-0.658146655922643,0.0
2018-10-16,1.0,-0.25743021081812906,-0.7218425633421442,-0.0,-0.5858745406485719,-0.6584037134936497,0.0
2018-10-17,1.0,-0.24098955680081505,-0.6928489556800814,-0.0,-0.5833863983698421,-0.6667091186958736,0.0
2018-10-18,1.0,-0.2418177762197648,-0.6955925937729054,-0.0,-0.5822046591669587,-0.6671978074508429,0.0
2018-10-19,1.0,-0.2322998318047666,-0.6908698549712798,-0.0,-0.5825267366951223,-0.6678302814890038,0.0
2018-10-22,1.0,-0.23363624809354347,-0.6963967971530249,-0.0,-0.5810244026436198,-0.6664018810371124,0.0
