Date,ACC,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-02-04,1.0,-0.0,-0.0,-0.0,-0.1386100292701807,-0.0,-0.07063547739422822,-0.0,-0.010305038825322336,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7009603522097778,-0.49848811050097974,-0.0,-0.0
2019-02-05,1.0,-0.0,-0.0,-0.0,-0.14067226484040365,-0.0,-0.07252619606514532,-0.0,-0.008276262614040606,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7010381627664981,-0.49742274278246984,-0.0,-0.0
2019-02-06,1.0,-0.0,-0.0,-0.0,-0.14213480427735037,-0.0,-0.07410364348962115,-0.0,-0.006241834809115982,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6991822712536895,-0.49762907049886296,-0.0,-0.0
2019-02-07,1.0,-0.0,-0.0,-0.0,-0.14334793022524375,-0.0,-0.07570222340502746,-0.0,-0.005177461108557328,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6968282002274212,-0.49831853482689376,-0.0,-0.0
2019-02-08,1.0,-0.0,-0.0,-0.0,-0.13964062008754746,-0.0,-0.07855087184696123,-0.0,-0.008512902367650971,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6959297685554668,-0.49580400977049016,-0.0,-0.0
2019-02-11,1.0,-0.0,-0.0,-0.0,-0.14596633778293674,-0.0,-0.06964596633778293,-0.0,-0.009624685625846391,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6989746566066938,-0.4940268910814471,-0.0,-0.0
2019-02-12,1.0,-0.0,-0.0,-0.0,-0.14554160922876005,-0.0,-0.07020726015139422,-0.0,-0.009697937072238746,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.698783525599168,-0.49420784057655565,-0.0,-0.0
2019-02-13,1.0,-0.0,-0.0,-0.0,-0.1298240532908551,-0.0,-0.07776410107885019,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7199575217821544,-0.485965293365192,-0.0,-0.0
2019-02-14,1.0,-0.0,-0.0,-0.0,-0.12791287339112797,-0.0,-0.08041341672502476,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7158242978918646,-0.4906908792349859,-0.0,-0.0
2019-02-15,1.0,-0.0,-0.0,-0.0,-0.1322857488214674,-0.0,-0.0803336153753173,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7122446512752326,-0.4926387042185422,-0.0,-0.0
2019-02-19,1.0,-0.0,-0.0,-0.0,-0.13080658018697006,-0.0,-0.07903954392830398,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.71316762084209,-0.4925960818416793,-0.0,-0.0
2019-02-20,1.0,-0.0,-0.0,-0.0,-0.12737546181150847,-0.0,-0.08176176562915027,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7158863158911454,-0.48965300750971913,-0.0,-0.0
2019-02-21,1.0,-0.0,-0.0,-0.0,-0.10844662791546075,-0.0,-0.0979643456477856,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7421990904005643,-0.483473988861055,-0.0,-0.0
2019-02-22,1.0,-0.0,-0.0,-0.0,-0.11138427086629507,-0.0,-0.0988243312318964,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7328578730861914,-0.4910303531874498,-0.0,-0.0
2019-02-25,1.0,-0.0,-0.0,-0.0,-0.11123816938760614,-0.0,-0.10145738546507385,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.723169752560765,-0.4971411887788619,-0.0,-0.0
