Date,IBM,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.25805680913193524,-0.4049641624634988,-0.08346164056278206,-0.44741173347491375,-0.4607645341120255,0.0
2018-09-25,1.0,-0.25757615999575045,-0.4058856338477066,-0.08241480969960957,-0.4482218267775092,-0.46187352261560116,0.0
2018-09-26,1.0,-0.25713526441668877,-0.4056603773584906,-0.08070688280627158,-0.44913632739835235,-0.46481530693595535,0.0
2018-09-27,1.0,-0.26552828175026677,-0.3959978655282817,-0.0844983991462113,-0.4537886872998933,-0.4682497331910352,0.0
2018-09-28,1.0,-0.26446810213719685,-0.39696896928946873,-0.08487419621654793,-0.45364070546172525,-0.4682088636302996,0.0
2018-10-01,1.0,-0.264962510339675,-0.3964831763481602,-0.08487872561837927,-0.4538516957067001,-0.4681271179656857,0.0
2018-10-02,1.0,-0.2672952614990117,-0.3807628612639564,-0.0906832629948181,-0.4588653240023506,-0.47344943640151715,0.0
2018-10-03,1.0,-0.2670601746748217,-0.3734675890067039,-0.08952752330333057,-0.4620603082182633,-0.47875323842846074,0.0
2018-10-04,1.0,-0.2697874385814997,-0.36907177953428755,-0.08999145481734673,-0.46560563982055114,-0.47588656270027774,0.0
2018-10-05,1.0,-0.2657219721386144,-0.36568734517752977,-0.0851823242681725,-0.46807660549236874,-0.4789441440481581,0.0
2018-10-08,1.0,-0.26591520771711036,-0.36624297172702325,-0.08516534761638288,-0.4680896421243372,-0.4793082314067205,0.0
2018-10-09,1.0,-0.266234977482879,-0.36618967676606173,-0.08583153462840089,-0.4677432248780878,-0.47874863431662534,0.0
2018-10-10,1.0,-0.2658865550698369,-0.3668301524682802,-0.0850836976223478,-0.4678803710416889,-0.47982194263780786,0.0
2018-10-11,1.0,-0.2465146750524109,-0.36071802935010483,-0.05961740041928721,-0.464937106918239,-0.48875786163522017,0.0
2018-10-12,1.0,-0.24688623690656106,-0.3563499921830215,-0.05641252801083954,-0.4612798999426755,-0.48473083537443323,0.0
2018-10-15,1.0,-0.2429668184775537,-0.36124918672739104,-0.05074821080026025,-0.46160052049446976,-0.4859336369551074,0.0
2018-10-16,1.0,-0.24130298927195085,-0.369258410582231,-0.044995312988230396,-0.4622435163003854,-0.48609519841683163,0.0
2018-10-17,1.0,-0.23752071251035625,-0.3601387738193869,-0.041916942833471416,-0.46142294946147466,-0.4880385252692626,0.0
2018-10-18,1.0,-0.2718612806140763,-0.4408150868376729,-0.014744457022945027,-0.4980257889941188,-0.5357152718336693,0.0
2018-10-19,1.0,-0.2694787304386158,-0.4387535816618911,-0.009808243332598632,-0.4998071412827859,-0.5372492836676218,0.0
2018-10-22,1.0,-0.26896570735472486,-0.4412007939133311,-0.012625427279744183,-0.49807034954239715,-0.535781232770978,0.0
2018-10-23,1.0,-0.2717595146166575,-0.4411748483177055,-0.018284611141754,-0.4933535576392719,-0.5332873690016547,0.0
