Date,FRG,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-03-27,1.0,-0.16920731707317072,-1.1972560975609754,-0.37217987804878044,-2.599618902439024,-2.283689024390244,0.0
2019-03-28,1.0,-0.16558763043643843,-1.1994058953461804,-0.371086906847437,-2.5979130169853,-2.2827328814075716,0.0
2019-03-29,1.0,-0.16293589157910762,-1.188137657986904,-0.3753616567686919,-2.5995127150906043,-2.2878787878787876,0.0
2019-04-01,1.0,-0.15139290607398387,-1.2006393667224844,-0.37585629471761306,-2.6057238544679553,-2.277896179022682,0.0
2019-04-02,1.0,-0.14275982136098703,-1.1961244417530845,-0.4226780713042162,-2.587162213307092,-2.2207251532813563,0.0
2019-04-03,1.0,-0.1498371335504886,-1.1954397394136809,-0.42027119157639575,-2.5925308688735704,-2.217029012953564,0.0
2019-04-04,1.0,-0.14893939393939393,-1.191439393939394,-0.4290909090909091,-2.597272727272727,-2.209090909090909,0.0
2019-04-05,1.0,-0.15240763173834038,-1.1863264688067836,-0.4364778921865536,-2.5947910357359176,-2.2010902483343426,0.0
2019-04-08,1.0,-0.15430649193242937,-1.1735474585258694,-0.4412544504204228,-2.601696841148398,-2.2044542080145444,0.0
2019-04-09,1.0,-0.1548367547913037,-1.1733959548519053,-0.4414817059313689,-2.601166578289524,-2.2043027043405807,0.0
2019-04-10,1.0,-0.15193599516944675,-1.1532945882708128,-0.45029813570835536,-2.6034417691901277,-2.1888444410898935,0.0
2019-04-11,1.0,-0.15546503733876443,-1.1271780945915366,-0.45689069925322473,-2.6146186920117676,-2.1890322093988086,0.0
2019-04-12,1.0,-0.1554145899410965,-1.1281528470019633,-0.4546896239238785,-2.619090771786739,-2.194457030660021,0.0
2019-04-15,1.0,-0.1485178463399879,-1.1314277071990322,-0.4587114337568058,-2.6195553539019962,-2.203871748336358,0.0
2019-04-16,1.0,-0.1502084122773778,-1.1371731716559301,-0.4570670708601743,-2.62379689276241,-2.2104585070102307,0.0
2019-04-17,1.0,-0.15131080466737387,-1.1356266100924384,-0.46582815578117903,-2.6228216396423707,-2.2012426125170483,0.0
2019-04-18,1.0,-0.15449863677673434,-1.1277643138442897,-0.459103302029688,-2.624280521054226,-2.207815813389882,0.0
2019-04-22,1.0,-0.15416443184430312,-1.1586851582254234,-0.4635660102674125,-2.6530534058692825,-2.2328557198682097,0.0
2019-04-23,1.0,-0.15989867198894606,-1.157826053581024,-0.4639594687955784,-2.6618561449297613,-2.2327473708451677,0.0
2019-04-24,1.0,-0.15097978706989662,-1.1301496682610708,-0.4816386360129609,-2.683227896929486,-2.2688628298102143,0.0
