Date,IWF,IWM,MSC,MTUM,SPY,VLUE,VXX
2019-06-17,-0.0,-1.0480427046263345,1.0,-2.422392554065152,-5.268820147823707,-3.9479879551053925,0.0
2019-06-18,-0.0,-1.0520049267825373,1.0,-2.4221978924319147,-5.265772546872862,-3.9455316819488164,0.0
2019-06-19,-0.0,-1.0510190124469978,1.0,-2.473806592805362,-5.274244289426892,-3.8789495281083304,0.0
2019-06-20,-0.0,-1.048107147738144,1.0,-2.4630312969796364,-5.276616099494328,-3.8790487904879054,0.0
2019-06-21,-0.0,-1.0841903194844373,1.0,-2.450980392156863,-5.2672425613602085,-3.9092280268750863,0.0
2019-06-24,-0.0,-1.0419502708709543,1.0,-2.4571468259480485,-5.388942908737325,-4.002778163633838,0.0
2019-06-25,-0.0,-1.030803385597336,1.0,-2.459691966144027,-5.38545858193423,-3.9994449840432913,0.0
2019-06-26,-0.0,-1.0399443284620737,1.0,-2.423103688239388,-5.36812804453723,-4.086569241475296,0.0
2019-06-27,-0.0,-1.049616724738676,1.0,-2.439581881533101,-5.3777003484320565,-4.070383275261324,0.0
2019-06-28,-0.0,-0.9478699551569507,1.0,-2.4927130044843047,-5.469590807174887,-4.103279147982063,0.0
2019-07-01,-0.0,-0.914245810055866,1.0,-2.510614525139665,-5.48086592178771,-4.060614525139665,0.0
2019-07-02,-0.0,-0.9506657323055362,1.0,-2.490539593552908,-5.48521373510862,-4.0888577435178695,0.0
2019-07-03,-0.0,-0.935946059839865,1.0,-2.505969939598258,-5.5083579154375615,-4.096642786908274,0.0
2019-07-05,-0.0,-0.9352085082563673,1.0,-2.480408620207109,-5.48516652672824,-4.0930590540162335,0.0
2019-07-08,-0.0,-0.9420654911838792,1.0,-2.4749510215505177,-5.482367758186398,-4.0944584382871545,0.0
2019-07-09,-0.0,-0.9115217695646088,1.0,-2.4808903821923565,-5.493070138597228,-4.11409771804564,0.0
2019-07-10,-0.0,-0.9125017499650008,1.0,-2.4804703905921883,-5.491670166596669,-4.115077698446031,0.0
2019-07-11,-0.0,-0.92456533931576,1.0,-2.47896803140774,-5.494251261918116,-4.123387549074594,0.0
2019-07-12,-0.0,-0.9325858444288718,1.0,-2.477785564120533,-5.488717589348283,-4.116187806587246,0.0
2019-07-15,-0.0,-0.9302193913658882,1.0,-2.5338995046001416,-5.586694975230007,-4.103609341825902,0.0
2019-07-16,-0.0,-0.9152470187393525,1.0,-2.5477001703577513,-5.610590573537762,-4.122941510505394,0.0
2019-07-17,-0.0,-0.92302239863907,1.0,-2.538559682449674,-5.598100368585199,-4.116813155656365,0.0
2019-07-18,-0.0,-0.9140602986756832,1.0,-2.536066497604959,-5.562271062271062,-4.075936883629192,0.0
2019-07-19,-0.0,-0.9262353107744585,1.0,-2.5380150077870596,-5.610930199631884,-4.0831091604134215,0.0
2019-07-22,-0.0,-0.9181046676096181,1.0,-2.5164073550212165,-5.5995756718529,-4.11018387553041,0.0
2019-07-23,-0.0,-0.9241867043847242,1.0,-2.5113154172560117,-5.596746817538897,-4.112022630834511,0.0
2019-07-24,-0.0,-0.9231855408076814,1.0,-2.5440553515955946,-5.578085286642192,-4.074978819542503,0.0
2019-07-25,-0.0,-0.866835229667088,1.0,-2.562157606405394,-5.586880179800533,-4.031043685910943,0.0
2019-07-26,-0.0,-0.814553659568467,1.0,-2.592018051050627,-5.637709772951629,-4.058242843040474,0.0
2019-07-29,-0.0,-0.7827920708561789,1.0,-2.5847040629832705,-5.6222409672430755,-4.069169126950653,0.0
2019-07-30,-0.0,-0.7822478548319032,1.0,-2.5846110564073705,-5.628499085666057,-4.0711773807849205,0.0
2019-07-31,-0.0,-0.8198958773040665,1.0,-2.5777402560855496,-5.617982271000423,-4.055016181229774,0.0
2019-08-01,-0.0,-0.8478865406006675,1.0,-2.488876529477197,-5.5816184649610685,-3.986095661846496,0.0
2019-08-02,-0.0,-0.7878494326044838,1.0,-2.5521727096595623,-5.569886520896762,-3.9288679767506225,0.0
2019-08-05,-0.0,-0.7699310344827587,1.0,-2.526896551724138,-5.581931034482759,-3.914344827586207,0.0
2019-08-06,-0.0,-0.7532085561497326,1.0,-2.4177807486631018,-5.346925133689839,-3.851069518716577,0.0
2019-08-07,-0.0,-0.7985756517065304,1.0,-2.3466809997312548,-5.36697124428917,-3.925020155872078,0.0
2019-08-08,-0.0,-0.8000268781077812,1.0,-2.345652466066389,-5.366751780674639,-3.9266227657572905,0.0
2019-08-09,-0.0,-0.7174840085287847,1.0,-2.2963752665245205,-5.316231343283582,-3.9960021321961623,0.0
2019-08-12,-0.0,-0.6827421283379832,1.0,-2.335326159160356,-5.33134050750631,-3.9359638634250036,0.0
2019-08-13,-0.0,-0.6612029081295441,1.0,-2.313152676801058,-5.327428949107733,-3.916986120290813,0.0
2019-08-14,-0.0,-0.6982520699172032,1.0,-2.2904455250361413,-5.27112629780523,-3.8825075568405834,0.0
2019-08-15,-0.0,-0.7821882951653943,1.0,-2.283587786259542,-5.095801526717557,-3.561068702290076,0.0
2019-08-16,-0.0,-0.7870229007633587,1.0,-2.280916030534351,-5.091094147582697,-3.563613231552163,0.0
2019-08-19,-0.0,-0.6923368740515934,1.0,-2.3109509357612543,-5.1188669701568035,-3.5233940313606475,0.0
2019-08-20,-0.0,-0.7022054190296155,1.0,-2.327788279773157,-5.099306868304978,-3.4729678638941395,0.0
2019-08-21,-0.0,-0.7135495223730517,1.0,-2.3371040723981897,-5.083836098541981,-3.434640522875817,0.0
2019-08-22,-0.0,-0.7150564617314932,1.0,-2.3288582183186954,-5.095357590966124,-3.4077791718946053,0.0
2019-08-23,-0.0,-0.714393273936504,1.0,-2.3287739992470824,-5.096749905885306,-3.40870874639227,0.0
2019-08-26,-0.0,-0.6025294695481337,1.0,-2.3031679764243616,-5.055992141453832,-3.3174115913555995,0.0
2019-08-27,-0.0,-0.5899791743231656,1.0,-2.2777165257870884,-5.043856425333823,-3.338968516476786,0.0
2019-08-28,-0.0,-0.5469342797699179,1.0,-2.3125688410231304,-5.0591114918614615,-3.319789499449272,0.0
2019-08-29,-0.0,-0.5228494623655915,1.0,-2.341275659824047,-5.069159335288368,-3.2856793743890518,0.0
2019-08-30,-0.0,-0.47195522569655673,1.0,-2.362696191750821,-5.0843168268645815,-3.2479620391775157,0.0
2019-09-03,-0.0,-0.47548363547876865,1.0,-2.3647645698990147,-5.085046842681591,-3.2416352354301012,0.0
2019-09-04,-0.0,-0.4211550151975683,1.0,-2.3691185410334348,-5.101033434650455,-3.2667477203647413,0.0
2019-09-05,-0.0,-0.4651810584958217,1.0,-2.3549715392999877,-5.105244035363934,-3.1854184328448585,0.0
2019-09-06,-0.0,-0.4181226653813713,1.0,-2.4151102542475,-5.128328714302929,-3.0880829015544045,0.0
2019-09-09,-0.0,-0.4237859983130498,1.0,-2.416315218701049,-5.126039281841186,-3.0835040366309197,0.0
2019-09-10,-0.0,-0.4145988918332932,1.0,-2.452782462057336,-5.123705131293665,-3.0542038063117323,0.0
