Date,IWF,IWM,MTUM,SPY,SWKS,VLUE,VXX
2018-09-24,-0.4721992892781507,-0.675221651889874,-0.14415449226461827,-0.6116156358806849,1.0,-0.6863491151871927,0.0
2018-09-25,-0.4770612538171367,-0.673360876594216,-0.1505658343811748,-0.6096281659780852,1.0,-0.6819831147835459,0.0
2018-09-26,-0.4765504085231976,-0.6739372997876398,-0.14649245941762948,-0.6126768167584494,1.0,-0.6896663427275672,0.0
2018-09-27,-0.47572710563304144,-0.6786319241719826,-0.14560132626950661,-0.6135077666053987,1.0,-0.6905251018128086,0.0
2018-09-28,-0.47405031355871124,-0.6800619909176098,-0.14618323361926044,-0.6133857132559649,1.0,-0.6904418654941252,0.0
2018-10-01,-0.4734242030866868,-0.6817395067070532,-0.14665368527333045,-0.6132265974325688,1.0,-0.6908625414683398,0.0
2018-10-02,-0.4750432775533756,-0.668133294864397,-0.15172388920946336,-0.6168493941142527,1.0,-0.6947129255626081,0.0
2018-10-03,-0.47470340052648663,-0.658613104467924,-0.15026504633803325,-0.6209657062493238,1.0,-0.701525368720926,0.0
2018-10-04,-0.47570470766347056,-0.6561531252252901,-0.1507822074832384,-0.6221613438108283,1.0,-0.6998774421454834,0.0
2018-10-05,-0.4683389635592611,-0.6508301588442464,-0.14141450442032633,-0.6265003953137354,1.0,-0.7066772083662761,0.0
2018-10-08,-0.4726411341361976,-0.6601207912914543,-0.14393692814003112,-0.6281870456764674,1.0,-0.7115836678601136,0.0
2018-10-09,-0.4714647377938517,-0.6604701627486437,-0.14075949367088608,-0.6299095840867992,1.0,-0.7140325497287522,0.0
2018-10-10,-0.4750199116646151,-0.6592209108681485,-0.14401563970747955,-0.6326478893635507,1.0,-0.7093983056983564,0.0
2018-10-11,-0.44338485536018146,-0.6535380034032899,-0.09802183777651731,-0.6248227453204764,1.0,-0.725361599546228,0.0
2018-10-12,-0.46352626390649204,-0.6519152232079989,-0.09488100267567948,-0.6061118152372905,1.0,-0.7041965920292916,0.0
2018-10-15,-0.4594337963777036,-0.6579567434499737,-0.08749780200457183,-0.606119219272024,1.0,-0.7057851239669422,0.0
2018-10-16,-0.4578995498030388,-0.6643570624648283,-0.08279403489026448,-0.6064293753517163,1.0,-0.7056837366347777,0.0
2018-10-17,-0.4448147762385863,-0.632399402839982,-0.06860396486477102,-0.6074367253411103,1.0,-0.718605700795056,0.0
2018-10-18,-0.44457559451484124,-0.6320083318868253,-0.06866863391772263,-0.6077417115084187,1.0,-0.7186252386738414,0.0
2018-10-19,-0.43862254766510084,-0.6245164410058027,-0.06009947499309201,-0.6098715114672562,1.0,-0.7208828405636917,0.0
2018-10-22,-0.4382600884466556,-0.6259328358208955,-0.06225815367606413,-0.6087271973466004,1.0,-0.7197692095080155,0.0
2018-10-23,-0.43948604586902457,-0.6253453992815694,-0.06531500414479138,-0.605830339872893,1.0,-0.7180160265266649,0.0
2018-10-24,-0.4398646782656725,-0.6240334161833747,-0.06189588511460923,-0.6066349074841204,1.0,-0.7196561723280861,0.0
2018-10-25,-0.42469470827679784,-0.5986770691994573,-0.058751696065128894,-0.6058683853459973,1.0,-0.7041723202170963,0.0
2018-10-26,-0.41818059253766554,-0.5918298560787354,-0.05190602986281978,-0.609188041390003,1.0,-0.6994168997943981,0.0
2018-10-29,-0.4055089015787705,-0.6020490426603964,-0.03889821968424588,-0.6038629492777965,1.0,-0.7087672153174336,0.0
2018-10-30,-0.39128532974427993,-0.6068304172274562,-0.027759084791386272,-0.6100942126514132,1.0,-0.7287685060565275,0.0
2018-10-31,-0.3916372795969773,-0.6025188916876574,-0.028278757346767422,-0.608832913518052,1.0,-0.7272208228379513,0.0
2018-11-01,-0.3930587286655019,-0.6010280876226313,-0.029666711463512966,-0.6088227388791829,1.0,-0.7271536083859697,0.0
