Date,IWF,IWM,MTUM,PCAR,SPY,VLUE,VXX
2018-09-24,-0.3035510081251881,-0.44354498946734877,-0.1274751730364129,1.0,-0.5407463135720734,-0.5940114354498948,0.0
2018-09-25,-0.3020221589877096,-0.4527456559907973,-0.12063328691651025,1.0,-0.5484349458134044,-0.6033480656293515,0.0
2018-09-26,-0.3014683575025787,-0.4532795340088586,-0.11652812329348947,1.0,-0.5514835264850433,-0.6110369516412839,0.0
2018-09-27,-0.30202583853945536,-0.4514465942864075,-0.11709225450354825,1.0,-0.5513131558197368,-0.6108145811851763,0.0
2018-09-28,-0.30219580249909017,-0.45144364915686036,-0.11734198714060415,1.0,-0.5511949532937037,-0.6106696591046948,0.0
2018-10-01,-0.30497250994805747,-0.45068497311746303,-0.11676437532274232,1.0,-0.5536283830989338,-0.6114941830442574,0.0
2018-10-02,-0.3072527205301234,-0.4350416438689282,-0.12259103896893428,1.0,-0.5583318134841024,-0.6164508480758709,0.0
2018-10-03,-0.3073062416352354,-0.4247171188709089,-0.12072636573792433,1.0,-0.5638763839883197,-0.6251368779656893,0.0
2018-10-04,-0.30736470659812004,-0.4248775590910473,-0.12101116417728836,1.0,-0.5636844827061722,-0.6250418276397043,0.0
2018-10-05,-0.29782008913682806,-0.41763938998878214,-0.1116939029196859,1.0,-0.5704756996028256,-0.6342358184519297,0.0
2018-10-08,-0.29997869685626466,-0.4225326394595088,-0.11315012629720929,1.0,-0.5708329529200523,-0.6368118323746919,0.0
2018-10-09,-0.29862421622937846,-0.42293175868996163,-0.10960613623911852,1.0,-0.5728982772265173,-0.6396785779509345,0.0
2018-10-10,-0.29811135939269645,-0.431509994184089,-0.1049006703602804,1.0,-0.5763567908414706,-0.6501270317426306,0.0
2018-10-11,-0.27324113048707155,-0.42369212266987366,-0.0732711966325917,1.0,-0.5730306674684306,-0.6634095009019844,0.0
2018-10-12,-0.2785137991604394,-0.4154633957545625,-0.0706779005031409,1.0,-0.561106314567269,-0.6514335050165232,0.0
2018-10-15,-0.25773134328358205,-0.45943283582089545,-0.03731343283582089,1.0,-0.5671940298507463,-0.6633731343283582,0.0
2018-10-16,-0.2562326456274445,-0.4660675365001642,-0.03248439972531574,1.0,-0.5675812856417759,-0.6633624936553907,0.0
