Date,GRTX,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-07-06,1.0,-1.2077569169960474,-0.6378458498023715,-0.9107213438735178,-1.184387351778656,-0.0,0.0
2020-07-07,1.0,-1.2000295901760614,-0.6448685703013265,-0.9045716822015091,-1.1822261675790304,-0.0,0.0
2020-07-08,1.0,-1.2030309013722973,-0.6367361042551091,-0.9136637377826043,-1.1828413466284924,-0.0,0.0
2020-07-09,1.0,-1.198845413726748,-0.6379829279123699,-0.9125672275127055,-1.1847831450140622,-0.0,0.0
2020-07-10,1.0,-1.1979670383894205,-0.6396920951347084,-0.9113293200434224,-1.1854337313727425,-0.0,0.0
2020-07-13,1.0,-1.2085947147443814,-0.632156087922944,-0.9150901457149915,-1.183650284020746,-0.0,0.0
2020-07-14,1.0,-1.1961549866561234,-0.6356133241079371,-0.9029850746268657,-1.207423149154888,-0.0,0.0
2020-07-15,1.0,-1.1976433310228736,-0.636845232201208,-0.9053371620952569,-1.2111595207446282,-0.0,0.0
2020-07-16,1.0,-1.1936878727634195,-0.662375745526839,-0.9005467196819086,-1.213568588469185,-0.0,0.0
2020-07-17,1.0,-1.191462929835023,-0.6625919300337905,-0.9005664877757901,-1.2145696680580402,-0.0,0.0
2020-07-20,1.0,-1.2028985507246377,-0.6636181909045477,-0.9048975512243879,-1.2260869565217392,-0.0,0.0
2020-07-21,1.0,-1.1923153692614772,-0.6721057884231537,-0.8971556886227545,-1.2284930139720558,-0.0,0.0
2020-07-22,1.0,-1.1850576433597844,-0.6818885062634127,-0.8912511853071817,-1.2325697459699556,-0.0,0.0
2020-07-23,1.0,-1.1856850102464136,-0.6856100364872294,-0.8945868945868946,-1.2323686709651622,-0.0,0.0
2020-07-24,1.0,-1.17101521576453,-0.6989773010725868,-0.8859565976552757,-1.2328261411823398,-0.0,0.0
2020-07-27,1.0,-1.1712889066241021,-0.6983739026336792,-0.8851755786113329,-1.2331903431763769,-0.0,0.0
2020-07-28,1.0,-1.1699157401405993,-0.6983098170214888,-0.8836815077030463,-1.233933290123149,-0.0,0.0
