Date,IWF,IWM,MTUM,SPY,SRPT,VLUE,VXX
2018-09-24,-1.4998182809376703,-2.286298382700345,-0.8678902416863528,-1.7822097037979283,1.0,-1.649736507359622,0.0
2018-09-25,-1.5122730176110957,-2.293183684642759,-0.8796423031298476,-1.7880281047540834,1.0,-1.6517930468108402,0.0
2018-09-26,-1.5127292636189433,-2.293731179852176,-0.880463545943973,-1.787754357149375,1.0,-1.6503330595857284,0.0
2018-09-27,-1.524023062139654,-2.2871785485494645,-0.8874347945456209,-1.7959183673469385,1.0,-1.6570879472865379,0.0
2018-09-28,-1.5218266678868855,-2.2890088770934383,-0.8880754095360117,-1.7956438180653427,1.0,-1.6571794637137365,0.0
2018-10-01,-1.521735151459687,-2.2890088770934383,-0.888258442390409,-1.795552301638144,1.0,-1.6571794637137365,0.0
2018-10-02,-1.5438727086628827,-2.368474923234391,-0.8911324090443845,-1.820414999534754,1.0,-1.6810272634223504,0.0
2018-10-03,-1.546454198117603,-2.374988351504985,-0.8935793495480384,-1.8220109961792936,1.0,-1.681763116205386,0.0
2018-10-04,-1.5463437354448069,-2.3735444806707036,-0.8928737773637634,-1.8220773171867721,1.0,-1.68048439683279,0.0
2018-10-05,-1.5229417206290472,-2.3593894542090657,-0.86577243293247,-1.8212765957446808,1.0,-1.6813135985198888,0.0
2018-10-08,-1.5202771362586605,-2.356951501154734,-0.8622632794457276,-1.8195842956120094,1.0,-1.6787066974595843,0.0
2018-10-09,-1.5239108315604477,-2.3602811950790863,-0.866432337434095,-1.820738137082601,1.0,-1.6784756266765333,0.0
2018-10-10,-1.5237214464071025,-2.360122075279756,-0.8659946360861925,-1.8205863312679182,1.0,-1.6776102839175067,0.0
2018-10-11,-1.4005133651973802,-2.3343954682244643,-0.6972915560276155,-1.7602230483271375,1.0,-1.6586121437422554,0.0
2018-10-12,-1.4104248795444592,-2.3289531318440644,-0.6786684187472624,-1.7266754270696452,1.0,-1.6156811213315814,0.0
2018-10-15,-1.3953752181500874,-2.3453752181500875,-0.6518324607329844,-1.7219895287958116,1.0,-1.611343804537522,0.0
2018-10-16,-1.3917633714335573,-2.3577349271442283,-0.6425268301195358,-1.7219265334613034,1.0,-1.6112904633103569,0.0
2018-10-17,-1.3436277012080993,-2.2777777777777777,-0.5926493108728943,-1.6940615960524075,1.0,-1.5995405819295558,0.0
2018-10-18,-1.3439577296744505,-2.2780807908641556,-0.5951934549173342,-1.7012953809442646,1.0,-1.603715697971706,0.0
2018-10-19,-1.318764765440432,-2.258184272696591,-0.5646304421194734,-1.69937563280459,1.0,-1.5965237934525818,0.0
2018-10-22,-1.3188222390955875,-2.256475153969459,-0.5667763435417195,-1.6984729604319582,1.0,-1.5960516324981018,0.0
