Date,IWF,IWM,MTUM,RS,SPY,VLUE,VXX
2018-09-24,-0.30170012486792813,-0.6960266384913393,-0.1403323407933916,1.0,-0.513975602727884,-0.5497070406301028,0.0
2018-09-25,-0.30152427308825414,-0.6963302164723966,-0.14000256180350967,1.0,-0.5142500320225439,-0.5501152811579352,0.0
2018-09-26,-0.304021550894747,-0.6999230325187609,-0.1440574690526586,1.0,-0.514303123596947,-0.544673208902572,0.0
2018-09-27,-0.3030215364834459,-0.7069109611057538,-0.1425908068145291,1.0,-0.5157184185149469,-0.5461266473802636,0.0
2018-09-28,-0.30295724847315975,-0.7068788171006107,-0.14288010286081648,1.0,-0.5156541305046609,-0.5460623593699775,0.0
2018-10-01,-0.3030215364834459,-0.7067502410800386,-0.14304082288653167,1.0,-0.5155898424943748,-0.5459980713596915,0.0
2018-10-02,-0.3052875337707449,-0.690788627299627,-0.1488164157982761,1.0,-0.5203267721600412,-0.5510742313135212,0.0
2018-10-03,-0.30522863206637085,-0.6893690912598881,-0.14878770338928549,1.0,-0.5205801016142517,-0.5516753488970352,0.0
2018-10-04,-0.30642880102860814,-0.6868209578913533,-0.14921247187399553,1.0,-0.5218900675024108,-0.5500482160077146,0.0
2018-10-05,-0.2960815097241357,-0.6818749799750088,-0.13963025856268624,1.0,-0.528083047643459,-0.558296754349428,0.0
2018-10-08,-0.2956984081227379,-0.6817526664744884,-0.13904103007591045,1.0,-0.528266231062426,-0.5582460523365683,0.0
2018-10-09,-0.29252465546596423,-0.6858877573966398,-0.12724469144527611,1.0,-0.5372161007420733,-0.5695974814481672,0.0
2018-10-10,-0.2923091750192753,-0.6861989205859677,-0.12686327422256488,1.0,-0.5372976098689283,-0.5698727833461835,0.0
2018-10-11,-0.2567295597484277,-0.6871069182389937,-0.08169811320754716,1.0,-0.5318867924528302,-0.5872641509433962,0.0
2018-10-12,-0.2651784046329161,-0.6832928575876455,-0.07958154305996637,1.0,-0.5158789463852045,-0.5695871473939846,0.0
2018-10-15,-0.2529146587906109,-0.7035286802424996,-0.06245919477693145,1.0,-0.5165552619306699,-0.5734804912171616,0.0
2018-10-16,-0.2527202636324069,-0.704315115339178,-0.06186656718273954,1.0,-0.5165392028850339,-0.5734004849841448,0.0
2018-10-17,-0.2404729003531399,-0.6759711346537693,-0.04854905573468448,1.0,-0.5189927836634424,-0.5868570551205282,0.0
2018-10-18,-0.23874081588736204,-0.6736757969811552,-0.05013987518829353,1.0,-0.5234406222140244,-0.5881521104245442,0.0
2018-10-19,-0.23160471164142576,-0.6692978430472695,-0.04353679057671715,1.0,-0.5255009943399113,-0.5895976747743613,0.0
2018-10-22,-0.23287755039613353,-0.6660854669480897,-0.04086751705362333,1.0,-0.5277293444678964,-0.5913860083815118,0.0
2018-10-23,-0.23517895380850412,-0.6657081676353624,-0.04582441113490364,1.0,-0.5234016518813093,-0.5889262771489752,0.0
