Date,EGRX,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.7060307268975006,-1.5773331804631965,-0.034911717495987156,-1.2251203852327448,-1.1892341206145378,0.0
2018-09-25,1.0,-0.715879038748994,-1.5776704610785328,-0.0459353800160975,-1.2247901575255835,-1.184833850753133,0.0
2018-09-26,1.0,-0.7157991708889913,-1.5790534315983418,-0.04220405343159834,-1.2282358360202672,-1.1923652694610778,0.0
2018-09-27,1.0,-0.724139918169769,-1.565262490635625,-0.04742695787471907,-1.2314297239670373,-1.1944332392093588,0.0
2018-09-28,1.0,-0.724255172016366,-1.5648014752492365,-0.04829136172419755,-1.231083962427246,-1.194260358439463,0.0
2018-10-01,1.0,-0.7243286850293881,-1.5643655641350698,-0.048864815028235566,-1.2307825285236833,-1.194076293649879,0.0
2018-10-02,1.0,-0.7249162914213139,-1.5796097448331599,-0.04624177346726705,-1.2296501558711463,-1.1925874610322134,0.0
2018-10-03,1.0,-0.7240265359100087,-1.5686184020767233,-0.04511104701471012,-1.232535333141044,-1.198327083934237,0.0
2018-10-04,1.0,-0.7292123169184638,-1.5591627263291432,-0.04659208857109907,-1.2387844539268826,-1.1926536731634185,0.0
2018-10-05,1.0,-0.706534858325191,-1.5502040347146389,-0.018966607276280245,-1.2572561641473647,-1.2144376113569744,0.0
2018-10-08,1.0,-0.7057100183823529,-1.5498046874999998,-0.017348345588235295,-1.257525275735294,-1.2140969669117647,0.0
2018-10-09,1.0,-0.7129272088064089,-1.5554723070716387,-0.027145409486484928,-1.257333871246614,-1.2105354158261772,0.0
2018-10-10,1.0,-0.7133886392441525,-1.5543841456388983,-0.027422514114529322,-1.2576333678995275,-1.2082037101048506,0.0
2018-10-11,1.0,-0.5849056603773585,-1.5377080202593645,-0.0,-1.2174542216285411,-1.2257472032058776,0.0
2018-10-12,1.0,-0.5854859894921192,-1.5204137478108581,-0.0,-1.1814798598949212,-1.185529772329247,0.0
2018-10-15,1.0,-0.544655530079703,-1.556392619281581,-0.0,-1.1726170979364559,-1.1854460093896713,0.0
2018-10-16,1.0,-0.5391712616694874,-1.5655948026423543,-0.0,-1.1708795108369274,-1.183763716765846,0.0
2018-10-17,1.0,-0.49917214121668535,-1.4947925012017305,-0.0,-1.15627837419217,-1.1908348021150457,0.0
2018-10-18,1.0,-0.49975949975949974,-1.4973544973544972,-0.0,-1.155844155844156,-1.1914916359360803,0.0
2018-10-19,1.0,-0.4713507221840114,-1.477911221628485,-0.0,-1.1541717369451352,-1.1873445849425956,0.0
