Date,APPS,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.2781633742658836,-2.771667556504716,-0.1482470190425343,-1.909325502758498,-1.7909770421783238,0.0
2018-09-25,1.0,-1.278148642634624,-2.772585669781931,-0.1478415665331553,-1.9101913662661325,-1.7919893190921228,0.0
2018-09-26,1.0,-1.2827598502406845,-2.779372437154573,-0.15394901051880905,-1.9118381173114636,-1.7862364057764308,0.0
2018-09-27,1.0,-1.2992041491549673,-2.7636591254582847,-0.16274702673701155,-1.9221139229187159,-1.7944201019404453,0.0
2018-09-28,1.0,-1.2964419810477383,-2.7643482925084926,-0.16422313606293582,-1.9209726443768995,-1.793760057214375,0.0
2018-10-01,1.0,-1.298283261802575,-2.762249642346209,-0.16478898426323318,-1.922120886981402,-1.7939914163090132,0.0
2018-10-02,1.0,-1.2988546886184682,-2.7696850393700787,-0.16481746599856836,-1.921170365068003,-1.7932176091624912,0.0
2018-10-03,1.0,-1.2973625391148857,-2.7507375949932946,-0.1628073312472061,-1.9263299061242736,-1.8032185963343763,0.0
2018-10-04,1.0,-1.2974253531199715,-2.7495977114249954,-0.16404434114071162,-1.9258001072769533,-1.8028785982478097,0.0
2018-10-05,1.0,-1.3198605615225174,-2.870736762766158,-0.11682683248539665,-2.1162615413604673,-1.9978330506877708,0.0
2018-10-08,1.0,-1.3207368918280586,-2.8740670760510154,-0.1024090694378838,-2.1418044402456307,-2.008313651393481,0.0
2018-10-09,1.0,-1.3290383704405493,-2.8827096162955943,-0.11141639033633348,-2.1441023211747985,-2.0070108953102794,0.0
2018-10-10,1.0,-1.341354384630017,-2.889005136009131,-0.11917443408788282,-2.157599391287807,-2.0039946737683088,0.0
2018-10-11,1.0,-1.151243959190979,-2.793628065151244,-0.0,-2.041166994809379,-1.9633076785394665,0.0
2018-10-12,1.0,-1.1556902002107483,-2.7653670530382857,-0.0,-1.9740955391640325,-1.8859325605900947,0.0
2018-10-15,1.0,-1.100017470300489,-2.802847658979734,-0.0,-1.9550139762403915,-1.8772711390635919,0.0
2018-10-16,1.0,-1.0884683098591548,-2.8598591549295773,-0.0,-1.9662852112676057,-1.8882042253521125,0.0
2018-10-17,1.0,-1.0201444963875903,-2.7255418614534634,-0.0,-1.9036124096897575,-1.8505737356566085,0.0
