Date,IWF,IWM,MTUM,SPY,VLUE,VXX,XLRN
2018-09-24,-1.4723286694590498,-1.9795918367346939,-1.0403707334462169,-1.755904108368238,-1.6635772212815256,0.0,1.0
2018-09-25,-1.4791461998749664,-1.9821380726980442,-1.0476020362597125,-1.758328123604537,-1.6637492185406806,0.0,1.0
2018-09-26,-1.4794141287844957,-1.9824060016075735,-1.0482272037152809,-1.7581495043315174,-1.6628561221755827,0.0,1.0
2018-09-27,-1.4790681067571185,-1.9800053557082922,-1.0483798982415424,-1.7570293671338033,-1.6617870213335713,0.0,1.0
2018-09-28,-1.4774187790074973,-1.9811674401999286,-1.0484648339878615,-1.7566940378436273,-1.66163870046412,0.0,1.0
2018-10-01,-1.4775080328454122,-1.9809889325240986,-1.0485540878257764,-1.7566940378436273,-1.66163870046412,0.0,1.0
2018-10-02,-1.4789059706828747,-1.9918662853056848,-1.0482659992849481,-1.7569717554522704,-1.662138005005363,0.0,1.0
2018-10-03,-1.47771724569081,-1.9872287219791016,-1.0476020362597125,-1.756274001964812,-1.6621416450835045,0.0,1.0
2018-10-04,-1.4777132648503797,-1.988387673068334,-1.047074586869138,-1.75676641357749,-1.662706565430996,0.0,1.0
2018-10-05,-1.4590876819311325,-1.9757720979765707,-1.0253816116435925,-1.7538161164359247,-1.6606318778842741,0.0,1.0
2018-10-08,-1.4530738611233966,-1.9675364882795223,-1.018310482087572,-1.7513489606368864,-1.6552852720035383,0.0,1.0
2018-10-09,-1.4520693314467634,-1.967279801910152,-1.0165369649805447,-1.7515917934205871,-1.6558188892819241,0.0,1.0
2018-10-10,-1.4553436807095343,-1.9754323725055434,-1.0173835920177383,-1.7570731707317073,-1.6639467849223946,0.0,1.0
2018-10-11,-1.3532836715472214,-1.9589862145731654,-0.8719068413391557,-1.7187259183149242,-1.6593886462882095,0.0,1.0
2018-10-12,-1.3594665760638749,-1.953282935530451,-0.8571307228403975,-1.6951499193068886,-1.629066508111781,0.0,1.0
2018-10-15,-1.333614936216947,-1.9792177071893216,-0.8187885443946946,-1.689110416490665,-1.6273549041142181,0.0,1.0
2018-10-16,-1.332432660643418,-1.9797348644769064,-0.8173604660981171,-1.688001351009035,-1.626361563792958,0.0,1.0
2018-10-17,-1.2853265339694029,-1.9119098535943413,-0.7686297088336899,-1.655453199539398,-1.6037177167297252,0.0,1.0
2018-10-18,-1.284703947368421,-1.9108552631578948,-0.7688322368421053,-1.6558388157894737,-1.6035361842105262,0.0,1.0
2018-10-19,-1.267643687571639,-1.9005239888652368,-0.7454560340592763,-1.6647289995087606,-1.608973309317177,0.0,1.0
2018-10-22,-1.2683026584867076,-1.8929243353783232,-0.739959100204499,-1.6673210633946831,-1.6113701431492842,0.0,1.0
2018-10-23,-1.2683086490467228,-1.8937075525734393,-0.7394648555764668,-1.6686850503232142,-1.6125521643073397,0.0,1.0
2018-10-24,-1.2699672667757773,-1.8913256955810147,-0.7306055646481178,-1.673076923076923,-1.618330605564648,0.0,1.0
2018-10-25,-1.1945623133741943,-1.797972654408298,-0.6773534496306772,-1.6425428257111423,-1.5454974068835452,0.0,1.0
2018-10-26,-1.1636181214787373,-1.7648375395539093,-0.6450567260940033,-1.6266110982480513,-1.5177124334336654,0.0,1.0
2018-10-29,-1.1543933708567855,-1.825984990619137,-0.6221075672295184,-1.648686679174484,-1.5662914321450907,0.0,1.0
2018-10-30,-1.1655286084294796,-1.83250922219606,-0.6298563692017896,-1.6545012165450121,-1.5662820814692724,0.0,1.0
2018-10-31,-1.1918927494843725,-1.827939076630176,-0.6377122005394257,-1.685229255909884,-1.5899571632555924,0.0,1.0
2018-11-01,-1.183084104755123,-1.8318696099374951,-0.6259988923174301,-1.68328190521402,-1.5877838436585172,0.0,1.0
2018-11-02,-1.1854179761156505,-1.7922690131992456,-0.6128221244500314,-1.6885606536769326,-1.5777812696417346,0.0,1.0
2018-11-05,-1.1835173501577287,-1.8221608832807572,-0.6127760252365931,-1.6970031545741326,-1.5709779179810726,0.0,1.0
2018-11-06,-1.184706346078045,-1.8230193141505717,-0.6115096570752858,-1.695388253843122,-1.5686243594797005,0.0,1.0
2018-11-07,-1.1825853773956934,-1.8247495859294895,-0.6165312721823487,-1.6943765281173593,-1.5688145752819622,0.0,1.0
