Date,IWF,IWM,MTUM,NJR,SPY,VLUE,VXX
2018-09-24,-0.20882328642634868,-0.6617740203233001,-0.0,1.0,-0.4956076336298295,-0.38765731280808524,0.0
2018-09-25,-0.20779005981751525,-0.6630371860958735,-0.0,1.0,-0.4965680734349588,-0.3891997684483282,0.0
2018-09-26,-0.20611911809455313,-0.6637804641898808,-0.0,1.0,-0.4994052394257103,-0.39705109408282385,0.0
2018-09-27,-0.2046669636890176,-0.6766261973713522,-0.0,1.0,-0.5027567386945867,-0.40053464023167745,0.0
2018-09-28,-0.20895814135321547,-0.6763843511770127,-0.0,1.0,-0.5047890313032308,-0.4022786294713915,0.0
2018-10-01,-0.20936112828004722,-0.6853683205034556,-0.0,1.0,-0.5078664943529808,-0.40686632578524473,0.0
2018-10-02,-0.20828285674038596,-0.6986336103676575,-0.0,1.0,-0.5057050288773066,-0.40464854204817585,0.0
2018-10-03,-0.2078398195149464,-0.6884940778341793,-0.0,1.0,-0.5108009024252679,-0.4129441624365482,0.0
2018-10-04,-0.21078597203428057,-0.6838351375732973,-0.0,1.0,-0.5142929634641408,-0.4102108705457826,0.0
2018-10-05,-0.19986527828454348,-0.6791939150691853,-0.0,1.0,-0.515928036150327,-0.4117151758399057,0.0
2018-10-08,-0.196875614621674,-0.6772498665392936,-0.0,1.0,-0.5228288050349807,-0.41271669804163974,0.0
2018-10-09,-0.18918613200610826,-0.6820315593009445,-0.0,1.0,-0.5317289746055087,-0.42497596289802614,0.0
2018-10-10,-0.1906363970484295,-0.6811794973283197,-0.0,1.0,-0.532724548358825,-0.4226626332306126,0.0
2018-10-11,-0.1250103030469544,-0.6752204852048246,-0.0,1.0,-0.5152622468884799,-0.4320136274967717,0.0
2018-10-12,-0.11907565095966925,-0.6762040358130493,-0.0,1.0,-0.5142239136982176,-0.42849711140924895,0.0
2018-10-15,-0.08219064926482736,-0.7221763312957762,-0.0,1.0,-0.5133817941516603,-0.4357068120491216,0.0
2018-10-16,-0.07783226801851444,-0.7301355521269562,-0.0,1.0,-0.512425611637646,-0.43473109984571306,0.0
2018-10-17,-0.06623542521675319,-0.7085586932296905,-0.0,1.0,-0.5073519419454788,-0.43576223738211073,0.0
2018-10-18,-0.06601261006631155,-0.7084193934123274,-0.0,1.0,-0.5075279921730623,-0.4357538862919883,0.0
2018-10-19,-0.04939304019422714,-0.6995683841381172,-0.0,1.0,-0.5121661721068249,-0.4364715403291071,0.0
2018-10-22,-0.04992960034658291,-0.6881566121520633,-0.0,1.0,-0.5230152713094336,-0.44657749377233835,0.0
2018-10-23,-0.04966421143847487,-0.6882311525129983,-0.0,1.0,-0.5233156412478336,-0.4467612651646447,0.0
2018-10-24,-0.047683481273002815,-0.6882712708378437,-0.0,1.0,-0.5236252435592119,-0.4466334704481489,0.0
2018-10-25,-0.011358811040339702,-0.6566348195329087,-0.0,1.0,-0.5570594479830149,-0.42887473460721864,0.0
2018-10-26,-0.0,-0.6503765379719982,-0.0,1.0,-0.5754136614340263,-0.42588565973695375,0.0
2018-10-29,-0.0,-0.6507116164427129,-0.0,1.0,-0.575388937478466,-0.4242665182475948,0.0
2018-10-30,-0.0,-0.6490985848179911,-0.0,1.0,-0.5717813238456841,-0.43424581153917635,0.0
2018-10-31,-0.0,-0.6393684988647764,-0.0,1.0,-0.5697238502560853,-0.43096256402133165,0.0
2018-11-01,-0.0,-0.6701358311317482,-0.0,1.0,-0.5659007818962987,-0.432551437034665,0.0
2018-11-02,-0.0,-0.6463207597220012,-0.0,1.0,-0.5763170459971352,-0.43002281288132,0.0
2018-11-05,-0.0,-0.6498024553867366,-0.0,1.0,-0.5757696285100629,-0.42600694720653354,0.0
2018-11-06,-0.0,-0.6475206941524048,-0.0,1.0,-0.5807138484469405,-0.43341939261664586,0.0
2018-11-07,-0.0,-0.6485312150130619,-0.0,1.0,-0.5825558458175615,-0.4345844218158555,0.0
2018-11-08,-0.0,-0.6433573825946775,-0.0,1.0,-0.5679854118766352,-0.431433177409551,0.0
2018-11-09,-0.0,-0.6432780993155209,-0.0,1.0,-0.568011839636354,-0.4314860329289886,0.0
2018-11-12,-0.0,-0.6270100701217904,-0.0,1.0,-0.578662940897348,-0.43051088733062687,0.0
2018-11-13,-0.0,-0.6193452225302024,-0.0,1.0,-0.5743684953715811,-0.4212122796924847,0.0
