Date,IWF,IWM,MTUM,SPY,VLUE,VXX,ZUO
2018-12-10,-0.592112145621927,-2.539700805523591,-0.0,-3.724029710220735,-2.6053980541897688,0.0,1.0
2018-12-11,-0.5990378581886635,-2.5373352855051245,-0.0,-3.7215017778707384,-2.6002928257686677,0.0,1.0
2018-12-12,-0.6056544502617801,-2.5390575916230365,-0.0,-3.729214659685864,-2.5973821989528796,0.0,1.0
2018-12-13,-0.6050349942546747,-2.5170792854904422,-0.0,-3.742191580486786,-2.581740311292176,0.0,1.0
2018-12-14,-0.6114762649973917,-2.4976525821596245,-0.0,-3.7460615545122584,-2.5777777777777775,0.0,1.0
2018-12-17,-0.5071495668510594,-2.5257280033399434,-0.0,-3.6883415092370315,-2.7161047907316562,0.0,1.0
2018-12-18,-0.4703172978505629,-2.470317297850563,-0.0,-3.6276356192425796,-2.6672466734902764,0.0,1.0
2018-12-19,-0.4956361022692268,-2.46996611561762,-0.0,-3.6277851935516994,-2.67460724920423,0.0,1.0
2018-12-20,-0.4623868484028717,-2.4346061804182706,-0.0,-3.786182499219644,-2.7215690354801794,0.0,1.0
2018-12-21,-0.44240246406570843,-2.4390143737166325,-0.0,-3.784907597535934,-2.600616016427105,0.0,1.0
2018-12-24,-0.3543370695748763,-2.338382308391396,-0.0,-3.7423003130364534,-2.6629304251236996,0.0,1.0
2018-12-26,-0.3732556972191547,-2.4597931934544723,-0.0,-3.6044573837968077,-2.6015460295151085,0.0,1.0
2018-12-27,-0.21637749013127697,-2.300651794730561,-0.0,-3.118883686771321,-2.5443863031304508,0.0,1.0
2018-12-28,-0.20361202786945362,-2.3182984965163183,-0.0,-3.1145947928126145,-2.531078107810781,0.0,1.0
2018-12-31,-0.2087498853526552,-2.311198752636889,-0.0,-3.1168485737870313,-2.5348986517472256,0.0,1.0
2019-01-02,-0.19831686791072084,-2.3074460300036588,-0.0,-3.1076655689718256,-2.5340285400658615,0.0,1.0
2019-01-03,-0.22918188458729,-2.2946493791088383,-0.0,-3.12463476990504,-2.4822863403944484,0.0,1.0
2019-01-04,-0.08119349005424954,-2.360397830018083,-0.0,-3.0765822784810126,-2.5234177215189875,0.0,1.0
